Run,Pod Count,Workflow,Scheduler,Start Time,End Time,Duration(sec),Duration(human),Duration(min)
synthetic-blast-500-4c7rz,498,Blast,rank-fair,1767963023,1767963578,555,9m 15s,9.25
synthetic-blast-500-6hjwd,498,Blast,rank-fair,1767959448,1767960028,580,9m 40s,9.666666666666666
synthetic-blast-500-kqp74,498,Blast,rank-fair,1767962176,1767962733,557,9m 17s,9.283333333333333
synthetic-blast-500-l8rvg,498,Blast,rank-fair,1767961243,1767961786,543,9m 3s,9.05
synthetic-blast-500-xwc5x,498,Blast,rank-fair,1767960378,1767960935,557,9m 17s,9.283333333333333
synthetic-blast-500-bwfjq,498,Blast,rank-random,1768022517,1768023093,576,9m 36s,9.6
synthetic-blast-500-k6lzf,498,Blast,rank-random,1768020143,1768020760,617,10m 17s,10.283333333333333
synthetic-blast-500-mqbh2,498,Blast,rank-random,1768023314,1768023938,624,10m 24s,10.4
synthetic-blast-500-pjz6m,498,Blast,rank-random,1768020981,1768021528,547,9m 7s,9.116666666666667
synthetic-blast-500-tpcw2,498,Blast,rank-random,1768021755,1768022299,544,9m 4s,9.066666666666666
synthetic-blast-500-7rbs5,498,Blast,rank-roundrobin,1767996418,1767996985,567,9m 27s,9.45
synthetic-blast-500-hf57t,498,Blast,rank-roundrobin,1767994870,1767995434,564,9m 24s,9.4
synthetic-blast-500-j8p5j,498,Blast,rank-roundrobin,1767994062,1767994632,570,9m 30s,9.5
synthetic-blast-500-qxhvd,498,Blast,rank-roundrobin,1767993266,1767993835,569,9m 29s,9.483333333333333
synthetic-blast-500-tqpw5,498,Blast,rank-roundrobin,1767995653,1767996209,556,9m 16s,9.266666666666667
synthetic-blast-500-4szmk,498,Blast,vanilla,1767928057,1767928673,616,10m 16s,10.266666666666667
synthetic-blast-500-hbkdz,498,Blast,vanilla,1767925544,1767926165,621,10m 21s,10.35
synthetic-blast-500-mjkn9,498,Blast,vanilla,1767928903,1767929534,631,10m 31s,10.516666666666667
synthetic-blast-500-qt6x5,498,Blast,vanilla,1767927183,1767927793,610,10m 10s,10.166666666666666
synthetic-blast-500-zgf77,498,Blast,vanilla,1768052258,1768052873,615,10m 15s,10.25
synthetic-bwa-500-48fgh,498,Bwa,rank-fair,1768052913,1768053522,609,10m 9s,10.15
synthetic-bwa-500-5vqzg,498,Bwa,rank-fair,1767964901,1767965495,594,9m 54s,9.9
synthetic-bwa-500-c9885,498,Bwa,rank-fair,1767963622,1767964205,583,9m 43s,9.716666666666667
synthetic-bwa-500-cxcnn,498,Bwa,rank-fair,1767965536,1767966122,586,9m 46s,9.766666666666667
synthetic-bwa-500-v7s9x,498,Bwa,rank-fair,1767966173,1767966757,584,9m 44s,9.733333333333333
synthetic-bwa-500-8d6mh,498,Bwa,rank-random,1768024654,1768025244,590,9m 50s,9.833333333333334
synthetic-bwa-500-jn28p,498,Bwa,rank-random,1768023987,1768024609,622,10m 22s,10.366666666666667
synthetic-bwa-500-kqhjz,498,Bwa,rank-random,1768026578,1768027191,613,10m 13s,10.216666666666667
synthetic-bwa-500-r6948,498,Bwa,rank-random,1768025286,1768025889,603,10m 3s,10.05
synthetic-bwa-500-xhxmz,498,Bwa,rank-random,1768025933,1768026536,603,10m 3s,10.05
synthetic-bwa-500-2jt9z,498,Bwa,rank-roundrobin,1767997684,1767998293,609,10m 9s,10.15
synthetic-bwa-500-gt2tk,498,Bwa,rank-roundrobin,1767999628,1768000221,593,9m 53s,9.883333333333333
synthetic-bwa-500-mcsjl,498,Bwa,rank-roundrobin,1767998993,1767999587,594,9m 54s,9.9
synthetic-bwa-500-rnnxn,498,Bwa,rank-roundrobin,1767998338,1767998953,615,10m 15s,10.25
synthetic-bwa-500-s4fgp,498,Bwa,rank-roundrobin,1767997028,1767997636,608,10m 8s,10.133333333333333
synthetic-bwa-500-b7w75,498,Bwa,vanilla,1768053568,1768054165,597,9m 57s,9.95
synthetic-bwa-500-d77dt,498,Bwa,vanilla,1767929576,1767930215,639,10m 39s,10.65
synthetic-bwa-500-gr2sv,498,Bwa,vanilla,1767930897,1767931515,618,10m 18s,10.3
synthetic-bwa-500-qd7qv,498,Bwa,vanilla,1767931563,1767932174,611,10m 11s,10.183333333333334
synthetic-bwa-500-s2gmb,498,Bwa,vanilla,1767918718,1767919352,634,10m 34s,10.566666666666666
synthetic-cycles-500-45rb2,497,Cycles,rank-fair,1767968398,1767969002,604,10m 4s,10.066666666666666
synthetic-cycles-500-7bx9c,497,Cycles,rank-fair,1767966892,1767967512,620,10m 20s,10.333333333333334
synthetic-cycles-500-fjqwk,497,Cycles,rank-fair,1767969119,1767969766,647,10m 47s,10.783333333333333
synthetic-cycles-500-kjn5j,497,Cycles,rank-fair,1767967632,1767968285,653,10m 53s,10.883333333333333
synthetic-cycles-500-p788h,497,Cycles,rank-fair,1767969880,1767970514,634,10m 34s,10.566666666666666
synthetic-cycles-500-7cx84,497,Cycles,rank-random,1768028746,1768029393,647,10m 47s,10.783333333333333
synthetic-cycles-500-hmnb6,497,Cycles,rank-random,1768028008,1768028645,637,10m 37s,10.616666666666667
synthetic-cycles-500-j9xsf,497,Cycles,rank-random,1768027291,1768027905,614,10m 14s,10.233333333333333
synthetic-cycles-500-jw8fk,497,Cycles,rank-random,1768029491,1768030114,623,10m 23s,10.383333333333333
synthetic-cycles-500-tnmd8,497,Cycles,rank-random,1768030215,1768030806,591,9m 51s,9.85
synthetic-cycles-500-6tcml,497,Cycles,rank-roundrobin,1768054271,1768054871,600,10m 0s,10.0
synthetic-cycles-500-bbnrw,497,Cycles,rank-roundrobin,1768001822,1768002452,630,10m 30s,10.5
synthetic-cycles-500-d87js,497,Cycles,rank-roundrobin,1768001080,1768001726,646,10m 46s,10.766666666666667
synthetic-cycles-500-j6cvn,497,Cycles,rank-roundrobin,1768000316,1768000974,658,10m 58s,10.966666666666667
synthetic-cycles-500-jbdzz,497,Cycles,rank-roundrobin,1768003412,1768004043,631,10m 31s,10.516666666666667
synthetic-cycles-500-5m94c,497,Cycles,vanilla,1767919451,1767920087,636,10m 36s,10.6
synthetic-cycles-500-7bjls,497,Cycles,vanilla,1767932984,1767933622,638,10m 38s,10.633333333333333
synthetic-cycles-500-pg8dl,497,Cycles,vanilla,1767933716,1767934400,684,11m 24s,11.4
synthetic-cycles-500-vkrjm,497,Cycles,vanilla,1767934501,1767935116,615,10m 15s,10.25
synthetic-cycles-500-xt28j,497,Cycles,vanilla,1767932278,1767932884,606,10m 6s,10.1
synthetic-genome-500-826w7,498,Genome,rank-fair,1767971551,1767972101,550,9m 10s,9.166666666666666
synthetic-genome-500-8t5jx,498,Genome,rank-fair,1767970742,1767971317,575,9m 35s,9.583333333333334
synthetic-genome-500-lp576,498,Genome,rank-fair,1767973111,1767973682,571,9m 31s,9.516666666666667
synthetic-genome-500-q8dc5,498,Genome,rank-fair,1767973941,1767974525,584,9m 44s,9.733333333333333
synthetic-genome-500-t7bdv,498,Genome,rank-fair,1767972353,1767972937,584,9m 44s,9.733333333333333
synthetic-genome-500-b46bq,498,Genome,rank-random,1768032469,1768033057,588,9m 48s,9.8
synthetic-genome-500-g8tkc,498,Genome,rank-random,1768030976,1768031573,597,9m 57s,9.95
synthetic-genome-500-rk58c,498,Genome,rank-random,1768033970,1768034530,560,9m 20s,9.333333333333334
