cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena13,76/f249b9,nf-76f249b9a62a49262b9eb68e6bc86df2-37b9c,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762067688168,1762067695000,1762067700000,11832,0,-,13.6,0.0,2957312,11575296,2957312,11579392,692032,9280,251,19,5029888,20480,2,1,/input/data/work/76/f249b9a62a49262b9eb68e6bc86df2,true,-
-,2,siena12,90/e3b4ab,nf-90e3b4ab1be81d0cb8ce4a6e7a07a9a1-37b9c,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762067688426,1762067693000,1762067709000,20574,15000,-,78.0,0.0,4911104,12410880,4911104,12414976,3147404891,5950,48265,21,36864,16384,33,1443,/input/data/work/90/e3b4ab1be81d0cb8ce4a6e7a07a9a1,true,-
-,1,siena15,19/36a01a,nf-1936a01a0baa2d6f42104edceba1be1e-37b9c,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762067688260,1762067698000,1762067722000,33740,22000,-,95.3,1.4,2905251840,2926784512,2905251840,2926788608,916297698,25693119,112014,3155,2461696,25702400,48,910,/input/data/work/19/36a01a0baa2d6f42104edceba1be1e,true,-
-,214,siena09,2f/316cf3,nf-2f316cf3b0c5850bfb2440a747686315-01ad1,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762067719941,1762067720000,1762067722000,2059,0,-,89.9,0.0,2969600,11575296,2969600,11579392,103890,26544,199,24,1077248,20480,4,4,/input/data/work/2f/316cf3b0c5850bfb2440a747686315,true,-
-,52,siena13,36/cd2d31,nf-36cd2d3149d02fde6fa07e40b7b991b6-b3ec2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710033,1762067710000,1762067768000,57967,56000,-,104.9,0.2,403288064,3677044736,403795968,3678343168,610683843,1723934,1159003,5470,23834624,2134016,12,10,/input/data/work/36/cd2d3149d02fde6fa07e40b7b991b6,true,-
-,57,siena12,64/d0c45f,nf-64d0c45feb2f047344f3bba77c59ae5c-de343,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710177,1762067710000,1762067768000,57823,56000,-,105.4,0.2,400764928,3608883200,400891904,3673899008,595300509,1730283,1128958,5487,23904256,2129920,11,9,/input/data/work/64/d0c45feb2f047344f3bba77c59ae5c,true,-
-,58,siena07,9f/091432,nf-9f091432ddd81ce1508d474756017276-89c48,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710266,1762067711000,1762067767000,56734,54000,-,103.3,0.2,401113088,3745206272,402497536,3812319232,589143775,1729978,1116933,5484,19636224,2138112,3,2,/input/data/work/9f/091432ddd81ce1508d474756017276,true,-
-,61,siena12,5e/99a4ea,nf-5e99a4ea861b4bb8fa7c32959da037e6-a098c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710369,1762067711000,1762067769000,58631,56000,-,105.2,0.2,457490432,3891351552,458129408,3956367360,601057081,1719653,1140202,5470,4194304,2146304,10,9,/input/data/work/5e/99a4ea861b4bb8fa7c32959da037e6,true,-
-,62,siena14,12/c7927e,nf-12c7927ee7314bd2fe7771782469f8cc-7761b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710470,1762067711000,1762067764000,53530,51000,-,104.3,0.2,489160704,3825287168,489172992,3829493760,569624561,1717386,1078807,5438,19197952,2125824,11,8,/input/data/work/12/c7927ee7314bd2fe7771782469f8cc,true,-
-,66,siena15,b7/5bc9c4,nf-b75bc9c438ca4c232af1f934dc483618-b55b3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762067710640,1762067711000,1762067769000,58360,55000,-,105.0,0.2,400371712,3677044736,400871424,3678351360,591770301,1719338,1122065,5461,23900160,2187264,12,13,/input/data/work/b7/5bc9c438ca4c232af1f934dc483618,true,-
