cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena15,fd/37df5f,nf-fd37df5fd6e796ad2c441b1c9944a358-f22af,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762058173854,1762058183000,1762058185000,11146,0,-,29.3,0.0,2949120,11575296,2949120,11579392,691626,9276,251,19,5201920,20480,2,0,/input/data/work/fd/37df5fd6e796ad2c441b1c9944a358,true,-
-,2,siena12,ef/327342,nf-ef32734247cd5f29cf000f6c2b2f2dcb-f22af,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762058173950,1762058183000,1762058198000,24050,14000,-,86.7,0.0,4718592,12410880,4718592,12414976,3147404891,5950,48265,21,4243456,16384,27,1761,/input/data/work/ef/32734247cd5f29cf000f6c2b2f2dcb,true,-
-,214,siena07,69/85dc9c,nf-6985dc9c686f0b13a3a96c6707512ebc-4a6ff,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762058204845,1762058205000,1762058209000,4155,2000,-,2.0,0.0,10784768,53891072,10784768,53895168,103884,26543,199,24,4911104,20480,14,2,/input/data/work/69/85dc9c686f0b13a3a96c6707512ebc,true,-
-,1,siena13,31/052965,nf-31052965f7659145ac0c9b17e3ed1d04-f22af,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762058173735,1762058183000,1762058209000,35265,24000,-,88.9,1.4,2865487872,2886553600,2865487872,2886557696,916298080,25693123,112014,3155,2453504,25702400,46,698,/input/data/work/31/052965f7659145ac0c9b17e3ed1d04,true,-
-,53,siena11,3c/809890,nf-3c809890e9a6bb1a8f8cbc548b7ce1dc-17856,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058195255,1762058195000,1762058255000,59745,58000,-,104.0,0.2,428716032,3889254400,428781568,3956367360,610683828,1723934,1159003,5428,4194304,2187264,11,10,/input/data/work/3c/809890e9a6bb1a8f8cbc548b7ce1dc,true,-
-,55,siena07,2a/ed923b,nf-2aed923b6502bf23519642bea654655a-9440c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058195453,1762058196000,1762058254000,58547,56000,-,105.3,0.2,460259328,3957415936,461066240,3960000512,633530354,1726382,1203628,5471,0,2211840,3,1,/input/data/work/2a/ed923b6502bf23519642bea654655a,true,-
-,60,siena07,8f/451c2b,nf-8f451c2b9f6ac9fc0be3bbfc2583a599-c27c0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058195653,1762058196000,1762058251000,55347,53000,-,104.6,0.2,402935808,3608883200,403574784,3675996160,589143773,1729978,1116932,5463,6057984,2166784,3,3,/input/data/work/8f/451c2b9f6ac9fc0be3bbfc2583a599,true,-
-,64,siena13,5e/c3096f,nf-5ec3096f81f97b8b2fcdaa7c67220909-45ed8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058195856,1762058196000,1762058252000,56144,54000,-,105.5,0.2,401485824,3677044736,402202624,3744157696,569624818,1717386,1078809,5438,23900160,2154496,10,8,/input/data/work/5e/c3096f81f97b8b2fcdaa7c67220909,true,-
-,65,siena11,0a/9a33ec,nf-0a9a33ec7112e704c4efd7999c4358fe-56607,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058195952,1762058196000,1762058251000,55048,53000,-,106.1,0.2,452669440,3821092864,452669440,3823677440,555674716,1718993,1051564,5467,28094464,2134016,10,11,/input/data/work/0a/9a33ec7112e704c4efd7999c4358fe,true,-
-,82,siena14,d7/b5f3ad,nf-d7b5f3ad0a583a1f0c28521a74da14c8-b5c8d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762058196930,1762058198000,1762058256000,59070,56000,-,104.4,0.2,459829248,3961610240,459829248,3961614336,599628696,1727117,1137410,5453,23834624,2134016,11,12,/input/data/work/d7/b5f3ad0a583a1f0c28521a74da14c8,true,-
