task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena15,3b/07439d,nf-3b07439d71a352cf24412777a2c50a84-a5546,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1762227544841,1762227549000,1762227550000,5159,0,-,76.2,0.0,2883584,11575296,2883584,11579392,691807,9274,249,18,8192,20480,4,0,/input/data/work/3b/07439d71a352cf24412777a2c50a84,true,-,-,-,6,96
3,siena13,4b/b66889,nf-4bb66889c420511fba3bd4bf18d9c64e-a5546,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1762227544734,1762227567000,1762227587000,42266,19000,-,95.8,1.4,2854285312,2875166720,2854285312,2875170816,916298126,25693121,112012,3154,2322432,25702400,49,265,/input/data/work/4b/b66889c420511fba3bd4bf18d9c64e,true,-,-,-,55,307
2,siena12,ba/760e8a,nf-ba760e8a08195601913f475198e9ae5a-a5546,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1762227544878,1762227572000,1762227587000,42122,15000,-,73.1,0.0,4796416,12410880,4796416,12414976,3147404939,5948,48263,20,0,16384,20,456,/input/data/work/ba/760e8a08195601913f475198e9ae5a,true,-,-,-,5,30
214,siena15,61/baabab,nf-61baababaede62f58fa3f83baca108e1-af60d,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1762227588541,1762227589000,1762227590000,1459,0,-,57.5,0.0,2834432,11575296,2834432,11579392,103672,26538,197,23,573440,20480,4,3,/input/data/work/61/baababaede62f58fa3f83baca108e1,true,-,-,-,6,82
5,siena15,ca/7eddd0,nf-ca7eddd0a5a814547b9fb35c7b260017-1410c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227555833,1762227559000,1762227627000,71167,66000,-,104.4,0.5,1084035072,4909101056,1085050880,4940156928,836340669,1751057,1599731,5489,23363584,2211840,66,7,/input/data/work/ca/7eddd0a5a814547b9fb35c7b260017,true,-,-,-,94,303
20,siena07,8c/e45486,nf-8ce4548655cb4c499acc8fd51decaa72-beec2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227558932,1762227559000,1762227626000,67068,66000,-,104.5,0.5,1039581184,4765052928,1039581184,4766359552,827169214,1751198,1581816,5490,19636224,2191360,4,2,/input/data/work/8c/e4548655cb4c499acc8fd51decaa72,true,-,-,-,5,198
11,siena07,97/399095,nf-973990955bfc4e732a72ddbc838eb3d7-bc4eb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227557434,1762227558000,1762227633000,75566,74000,-,104.7,0.5,1040666624,4833214464,1040666624,4898230272,942087408,1753534,1806271,5512,31297536,2244608,117,0,/input/data/work/97/3990955bfc4e732a72ddbc838eb3d7,true,-,-,-,89,110
16,siena11,d9/5e3e57,nf-d95e3e57809e0a09a974ca556d8f5938-866cf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227558237,1762227566000,1762227638000,79763,71000,-,104.3,0.5,1090646016,5045424128,1091403776,5045428224,886092676,1754307,1696907,5523,0,2199552,6,1,/input/data/work/d9/5e3e57809e0a09a974ca556d8f5938,true,-,-,-,4,104
12,siena15,f1/7f43fb,nf-f17f43fbca85bdfeb18f4240462cbcd5-06023,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227557634,1762227559000,1762227643000,85366,83000,-,103.8,0.5,1077555200,4977262592,1077555200,5044375552,1042606672,1756181,2002540,5501,4198400,2277376,14,5,/input/data/work/f1/7f43fbca85bdfeb18f4240462cbcd5,true,-,-,-,7,192
7,siena14,e7/ebaa50,nf-e7ebaa501e099d81dd96def4aa3cda58-1410c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762227556126,1762227583000,1762227646000,89874,62000,-,105.1,0.5,1098469376,4981456896,1098469376,5044375552,770945036,1748397,1472007,5501,20119552,2162688,5,4,/input/data/work/e7/ebaa501e099d81dd96def4aa3cda58,true,-,-,-,7,285
