task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
2,siena15,6e/e37ce5,nf-6ee37ce582cf986e1a242d3981ff2599-1f6b2,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1765328992744,1765329000000,1765329007000,14256,5000,-,1.2,0.0,2945024,11575296,2945024,11579392,692114,9280,249,18,5029888,20480,2,0,/input/data/work/6e/e37ce582cf986e1a242d3981ff2599,true,-
1,siena12,58/2ac727,nf-582ac7274408b6fc6b53e681e4a0e052-54012,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1765328992556,1765328999000,1765329012000,19444,12000,-,95.3,0.0,4808704,12410880,4808704,12414976,3147405053,5951,48263,20,0,16384,17,712,/input/data/work/58/2ac7274408b6fc6b53e681e4a0e052,true,-
3,siena13,b4/d751fc,nf-b4d751fcc0e60e279aa1d4ada6e93e0b-bf5af,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1765328992656,1765328998000,1765329018000,25344,18000,-,97.3,1.4,2855317504,2876383232,2855317504,2876387328,916298250,25693125,112012,3154,2322432,25702400,49,275,/input/data/work/b4/d751fcc0e60e279aa1d4ada6e93e0b,true,-
214,siena12,50/e83ea0,nf-50e83ea0477c5a4dd2d53bd3cf783fae-22d41,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1765329021735,1765329022000,1765329023000,1265,0,-,56.1,0.0,2965504,11575296,2965504,11579392,104057,26545,197,23,1515520,20480,4,2,/input/data/work/50/e83ea0477c5a4dd2d53bd3cf783fae,true,-
10,siena15,3f/17e38a,nf-3f17e38a79ea1a5bdf62a43d6b257642-3e596,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329009745,1765329010000,1765329076000,66255,65000,-,104.5,0.5,1039687680,4765052928,1039687680,4766416896,807660667,1747930,1543717,5509,29253632,2179072,75,4,/input/data/work/3f/17e38a79ea1a5bdf62a43d6b257642,true,-
13,siena15,9a/266395,nf-9a26639592aece3002efe47bec0d054f-eb512,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329010734,1765329011000,1765329076000,65266,64000,-,105.5,0.5,1039396864,4765052928,1039396864,4766351360,821982294,1746354,1571688,5505,0,2179072,11,7,/input/data/work/9a/26639592aece3002efe47bec0d054f,true,-
6,siena14,65/71705a,nf-6571705a1d9bf05af766b20a2e8e0c7d-56480,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329009133,1765329015000,1765329081000,71867,64000,-,101.6,0.5,1037254656,4628729856,1037254656,4630093824,770945308,1748406,1472008,5480,6049792,2179072,6,0,/input/data/work/65/71705a1d9bf05af766b20a2e8e0c7d,true,-
4,siena11,db/5530fd,nf-db5530fddaf75eda003e0de2faad20a5-16a3e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329009432,1765329013000,1765329081000,71568,67000,-,104.3,0.6,1141063680,4913295360,1144885248,4917329920,836341082,1751066,1599733,5468,50806784,2183168,125,5,/input/data/work/db/5530fddaf75eda003e0de2faad20a5,true,-
11,siena13,0f/07d211,nf-0f07d2117ceb300552c7edf2df9843d2-bc200,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329010137,1765329010000,1765329086000,75863,75000,-,104.2,0.5,1039949824,4765052928,1039949824,4766416896,942087485,1753539,1806270,5491,34983936,2232320,76,4,/input/data/work/0f/07d2117ceb300552c7edf2df9843d2,true,-
16,siena14,b5/41a1f9,nf-b541a1f954925f83299e60297d2a1962-dcea2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1765329010929,1765329015000,1765329085000,74071,69000,-,104.3,0.5,1039151104,4765052928,1039151104,4766351360,886092420,1754312,1696906,5523,14077952,2215936,76,2,/input/data/work/b5/41a1f954925f83299e60297d2a1962,true,-
