memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,c1/fdc49e,nf-c1fdc49edb3d4d78cf58b86c3e3753e8-0eb85,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762122274870,1762122275000,1762122295000,20130,19000,-,95.4,1.4,2855858176,2876923904,2855858176,2876928000,916298081,25693121,112012,3154,2453504,25702400,37,642,/input/data/work/c1/fdc49edb3d4d78cf58b86c3e3753e8,true,-
-,3,siena09,7d/179af1,nf-7d179af19edb4e4a38ab4f132ffacf4c-0eb85,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762122275024,1762122284000,1762122298000,22976,13000,-,89.4,0.0,4886528,12410880,4886528,12414976,3147404892,5947,48263,20,86016,16384,12,1828,/input/data/work/7d/179af19edb4e4a38ab4f132ffacf4c,true,-
-,2,siena13,6f/09c46d,nf-6f09c46ddf75656fd4c8414fda22a905-0eb85,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762122275132,1762122285000,1762122296000,20868,5000,-,1.2,0.0,2859008,11575296,2859008,11579392,692042,9276,249,18,5029888,20480,2,0,/input/data/work/6f/09c46ddf75656fd4c8414fda22a905,true,-
-,4,siena14,82/1de202,nf-821de202c8c10daa65c5a8c965ef4e95-bb493,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762122300634,1762122307000,1762122309000,8366,0,-,49.7,0.0,2945024,11575296,2945024,11579392,103912,26541,197,23,716800,20480,2,1,/input/data/work/82/1de202c8c10daa65c5a8c965ef4e95,true,-
-,63,siena09,68/1e68f0,nf-681e68f09886b140038ac23acf218985-1d95b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122307041,1762122307000,1762122361000,53959,53000,-,105.3,0.2,436154368,3957415936,436621312,3957420032,569624544,1717383,1078806,5416,19705856,2138112,11,9,/input/data/work/68/1e68f09886b140038ac23acf218985,true,-
-,66,siena13,ea/9044da,nf-ea9044da202b7845c5ec2252af8ead07-50979,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122307063,1762122308000,1762122359000,51937,50000,-,103.3,0.2,401408000,3608883200,401809408,3675996160,555674230,1718990,1051560,5445,23896064,2113536,11,13,/input/data/work/ea/9044da202b7845c5ec2252af8ead07,true,-
-,53,siena13,70/589f7a,nf-70589f7a79be5087b3c9ec54d96e7586-3fdf0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122306352,1762122306000,1762122362000,55648,54000,-,105.3,0.2,401858560,3608883200,403255296,3675996160,610684112,1723931,1159002,5448,4263936,2166784,10,11,/input/data/work/70/589f7a79be5087b3c9ec54d96e7586,true,-
-,58,siena07,23/fe03d9,nf-23fe03d910372e39be7a34e37df9325b-00606,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122306571,1762122307000,1762122362000,55429,54000,-,105.7,0.2,401928192,3608883200,403337216,3675996160,595300571,1730281,1128956,5465,19185664,2129920,3,2,/input/data/work/23/fe03d910372e39be7a34e37df9325b,true,-
-,55,siena15,33/9fa40c,nf-339fa40c6c328b7fe96c899789f699ed-eb0c9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122306447,1762122307000,1762122366000,59553,58000,-,105.3,0.2,403570688,3677044736,403570688,3678351360,633531249,1726375,1203631,5470,28098560,2166784,11,9,/input/data/work/33/9fa40c6c328b7fe96c899789f699ed,true,-
-,60,siena14,b0/e03992,nf-b0e0399297c0c3db449482c1ead8b7ab-96945,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762122306742,1762122309000,1762122365000,58258,55000,-,103.8,0.2,401424384,3608883200,402210816,3675996160,589144257,1729975,1116933,5462,6094848,2195456,11,12,/input/data/work/b0/e0399297c0c3db449482c1ead8b7ab,true,-
