cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena07,36/e56581,nf-36e56581f09dfd0fa3989e03297e5887-67448,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762202714769,1762202715000,1762202717000,2231,0,-,92.9,0.0,9498624,32706560,9498624,32710656,692063,9281,251,19,5029888,20480,37,1,/input/data/work/36/e56581f09dfd0fa3989e03297e5887,true,-
-,-,3,siena09,70/e838fa,nf-70e838fa3f2ecc31e21cbf96ece5ae9c-67448,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762202714926,1762202720000,1762202739000,24074,16000,-,87.8,0.0,5001216,12410880,5001216,12414976,3147404922,5951,48265,21,0,16384,26,1459,/input/data/work/70/e838fa3f2ecc31e21cbf96ece5ae9c,true,-
-,-,214,siena07,90/ac9342,nf-90ac9342d4586d7f3ae84ccfcc63b52d-5d021,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762202740656,1762202741000,1762202743000,2344,0,-,107.5,0.0,2875392,11575296,2875392,11579392,103930,26546,199,24,704512,20480,1,0,/input/data/work/90/ac9342d4586d7f3ae84ccfcc63b52d,true,-
-,-,1,siena13,60/b3f04c,nf-60b3f04cf152bcdb99484c6b79d1e8ae-67448,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762202714961,1762202717000,1762202748000,33039,25000,-,88.4,1.4,2854092800,2875174912,2854092800,2875179008,916298123,25693124,112014,3155,208896,25702400,24,810,/input/data/work/60/b3f04cf152bcdb99484c6b79d1e8ae,true,-
-,-,64,siena12,3d/4b3498,nf-3d4b34983c80465d7b05cfd86037dbbe-235d5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202726840,1762202727000,1762202780000,53160,51000,-,105.3,0.2,401428480,3677044736,401428480,3678351360,569624605,1717387,1078808,5459,4194304,2113536,15,12,/input/data/work/3d/4b34983c80465d7b05cfd86037dbbe,true,-
-,-,59,siena13,68/ee04e3,nf-68ee04e34a2b383fcff6e2c46bdfc692-c4881,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202726555,1762202727000,1762202783000,56445,54000,-,104.4,0.2,402145280,3677044736,402735104,3678343168,589143774,1729978,1116932,5484,4194304,2191360,10,10,/input/data/work/68/ee04e34a2b383fcff6e2c46bdfc692,true,-
-,-,65,siena09,24/363812,nf-24363812e9e8603ca4e41fc77e91cc6a-c73b6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202726942,1762202727000,1762202785000,58058,56000,-,104.8,0.2,401666048,3813367808,401969152,3814731776,555674742,1718994,1051565,5488,4198400,2183168,11,11,/input/data/work/24/363812e9e8603ca4e41fc77e91cc6a,true,-
-,-,67,siena13,c7/5a1654,nf-c75a16545fc193e5bd58a586ce7a6de6-01313,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202726968,1762202727000,1762202784000,57032,55000,-,104.7,0.2,400441344,3608883200,400556032,3675996160,591770726,1719343,1122065,5461,4198400,2174976,11,11,/input/data/work/c7/5a16545fc193e5bd58a586ce7a6de6,true,-
-,-,42,siena12,27/f98df1,nf-27f98df1e2b49ad976fe8373ab314002-a668e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202725424,1762202726000,1762202789000,63576,61000,-,104.6,0.2,466984960,3961610240,466984960,3961614336,670680561,1758075,1276182,5530,0,2228224,11,9,/input/data/work/27/f98df1e2b49ad976fe8373ab314002,true,-
-,-,51,siena07,3a/f1e63f,nf-3af1e63fb9bbccfecc996dccd0193a27-cc421,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762202726024,1762202726000,1762202786000,59976,58000,-,102.9,0.2,407445504,3747303424,407445504,3812319232,610683676,1723935,1159002,5428,0,2179072,4,3,/input/data/work/3a/f1e63fb9bbccfecc996dccd0193a27,true,-
