cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena07,56/4d7fdf,nf-564d7fdf122f4b87364e5e7649d44e70-1feca,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1768832134887,1768832135000,1768832140000,5113,3000,-,2.2,0.0,12857344,40148992,12996608,40153088,691851,9278,251,19,5029888,20480,90,3,/input/data/work/56/4d7fdf122f4b87364e5e7649d44e70,true,-
-,-,1,siena09,d8/a8f57b,nf-d8a8f57be36f2ef2b77c2b0a252436be-1feca,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1768832135050,1768832138000,1768832150000,14950,11000,-,98.9,0.0,4796416,12410880,4796416,12414976,3147404693,5948,48265,21,5328896,16384,19,747,/input/data/work/d8/a8f57be36f2ef2b77c2b0a252436be,true,-
-,-,2,siena13,f5/0c4db8,nf-f50c4db88c045dc5ee8881f841ce1f25-1feca,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1768832135147,1768832141000,1768832165000,29853,21000,-,85.9,1.4,2903351296,2924486656,2903351296,2924490752,916297902,25693121,112014,3155,2781184,25702400,65,256,/input/data/work/f5/0c4db88c045dc5ee8881f841ce1f25,true,-
-,-,214,siena13,16/5653cc,nf-165653cc1f2e8bd6ed407b2e04b85dd2-4cbdc,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1768832161865,1768832162000,1768832164000,2135,0,-,60.8,0.0,2908160,11575296,2908160,11579392,103718,26542,199,24,1159168,20480,5,5,/input/data/work/16/5653cc1f2e8bd6ed407b2e04b85dd2,true,-
-,-,6,siena15,8e/4a392a,nf-8e4a392aee3f87f6ee1d5df475e4a481-a75f5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832146348,1768832149000,1768832211000,64652,60000,-,104.4,0.5,1042116608,4765052928,1042116608,4766351360,770944778,1748399,1472010,5481,19898368,2162688,12,1,/input/data/work/8e/4a392aee3f87f6ee1d5df475e4a481,true,-
-,-,4,siena14,fb/06e0ec,nf-fb06e0ec028a5ba0aa7149ff3fe28e7c-a75f5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832146048,1768832148000,1768832216000,69952,65000,-,104.6,0.5,1038155776,4696891392,1038155776,4698255360,836340710,1751062,1599735,5490,51036160,2183168,125,0,/input/data/work/fb/06e0ec028a5ba0aa7149ff3fe28e7c,true,-
-,-,10,siena12,97/13153d,nf-9713153daf1ad62c0401df2aba8d16a1-c43a0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832146866,1768832156000,1768832222000,75134,64000,-,101.8,0.5,1038630912,4765052928,1038630912,4766416896,807660392,1747928,1543718,5489,19636224,2179072,6,4,/input/data/work/97/13153daf1ad62c0401df2aba8d16a1,true,-
-,-,13,siena14,bd/c75560,nf-bdc755605df1fa40265c30a63f0e0e21-ed17b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832147858,1768832149000,1768832219000,71142,68000,-,103.8,0.5,1039482880,4696891392,1039482880,4764004352,821982033,1746351,1571690,5485,0,2228224,12,10,/input/data/work/bd/c755605df1fa40265c30a63f0e0e21,true,-
-,-,14,siena15,01/9561d3,nf-019561d388d790b04baf5e87f82dcfa4-449ae,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832148054,1768832149000,1768832220000,71946,69000,-,102.6,0.5,1040408576,4765052928,1040408576,4766416896,886092039,1754309,1696908,5524,31105024,2220032,124,0,/input/data/work/01/9561d388d790b04baf5e87f82dcfa4,true,-
-,-,18,siena12,f7/726e9d,nf-f7726e9d85b42e2899dc71e085e0f192-269b9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832148766,1768832156000,1768832224000,75234,66000,-,104.3,0.5,1040224256,4969537536,1040224256,5036650496,827168932,1751200,1581819,5491,31395840,2191360,122,3,/input/data/work/f7/726e9d85b42e2899dc71e085e0f192,true,-
-,-,22,siena09,3b/d607ab,nf-3bd607ab0b80d265d569be6c71fb3bbf-1746b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832149455,1768832149000,1768832222000,72545,70000,-,104.6,0.5,1039200256,4696891392,1039200256,4698255360,873363667,1762716,1672045,5511,23908352,2260992,11,7,/input/data/work/3b/d607ab0b80d265d569be6c71fb3bbf,true,-
-,-,11,siena07,0e/457286,nf-0e457286cafcb852bb0aca24d25fa2cc-6aab6,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832147071,1768832147000,1768832225000,77929,76000,-,103.6,0.5,1041092608,4765052928,1041092608,4766416896,942087200,1753536,1806273,5492,50925568,2215936,115,0,/input/data/work/0e/457286cafcb852bb0aca24d25fa2cc,true,-
-,-,19,siena07,10/1e157b,nf-101e157be2fa11218ac1cbe2230bbf8c-a785e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832149153,1768832149000,1768832228000,78847,77000,-,103.8,0.5,1096830976,4774875136,1096830976,4774879232,955618259,1768102,1832700,5520,69632,2273280,3,0,/input/data/work/10/1e157be2fa11218ac1cbe2230bbf8c,true,-
-,-,12,siena09,a3/9ac5f6,nf-a39ac5f6dc153b3a42f89efd1409fb0e-b923e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832147360,1768832147000,1768832231000,83640,82000,-,104.2,0.5,1097682944,4977262592,1097682944,4979847168,1042606680,1756187,2002541,5502,31289344,2277376,120,3,/input/data/work/a3/9ac5f6dc153b3a42f89efd1409fb0e,true,-
-,-,15,siena11,08/07025d,nf-0807025db4d25e4afbf019d027a0add1-3e290,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832148654,1768832151000,1768832232000,83346,79000,-,103.2,0.5,1038675968,4901376000,1040158720,4902739968,1006891394,1751387,1932845,5538,34656256,2228224,96,6,/input/data/work/08/07025db4d25e4afbf019d027a0add1,true,-
-,-,8,siena11,08/104f71,nf-08104f715c25e42bfbfa1a5abe7553ee-87c27,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832146558,1768832151000,1768832251000,104442,98000,-,103.5,0.5,1041481728,4901376000,1041481728,4902739968,1241573469,1747021,2391147,5505,16240640,2318336,124,2,/input/data/work/08/104f715c25e42bfbfa1a5abe7553ee,true,-
1.044,1176502272,66,siena12,2b/5f7d43,nf-2b5f7d433fdd43538299af3eb426d584-34bd3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832152865,1768832215000,1768832262000,109135,45000,-,107.4,0.5,1037570048,4765052928,1038209024,4766416896,555673515,1718993,1051561,5425,0,2146304,5,2,/input/data/work/2b/5f7d433fdd43538299af3eb426d584,true,-
1.044,1176502272,65,siena11,12/ae9514,nf-12ae95142b9a383905c9aafa6868f1e2-e81a8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832152754,1768832215000,1768832263000,110246,46000,-,106.7,0.5,1086955520,4909101056,1087762432,4976214016,569624105,1717386,1078806,5438,0,2154496,5,2,/input/data/work/12/ae95142b9a383905c9aafa6868f1e2,true,-
1.044,1176502272,53,siena12,34/8be309,nf-348be309479730903cdf6ac352604c22-aacc5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832152060,1768832215000,1768832266000,113940,49000,-,106.9,0.5,1039548416,4901376000,1039548416,4902674432,610683396,1723934,1159001,5449,4194304,2207744,5,2,/input/data/work/34/8be309479730903cdf6ac352604c22,true,-
1.044,1176502272,54,siena11,d8/5e94a5,nf-d85e94a5d36096af87917108231a58ab-4960d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768832152250,1768832214000,1768832268000,115750,52000,-,106.2,0.5,1080328192,4977262592,1080328192,5044375552,633529341,1726383,1203625,5450,0,2215936,5,0,/input/data/work/d8/5e94a5d36096af87917108231a58ab,true,-
