cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena13,8b/3583c6,nf-8b3583c6e7444d45d43c942012ad342a-26524,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1768421154491,1768421156000,1768421159000,4509,0,-,59.7,0.0,2891776,11575296,2891776,11579392,691458,9272,250,19,5029888,20480,4,0,/input/data/work/8b/3583c6e7444d45d43c942012ad342a,true,-
-,-,1,siena07,55/e2d792,nf-55e2d792b2772cef3b6e7b33fd2a27c2-26524,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1768421154284,1768421154000,1768421177000,22716,20000,-,96.7,1.4,2777796608,2798952448,2777796608,2798956544,916297530,25693115,112013,3155,2338816,25702400,168,21575,/input/data/work/55/e2d792b2772cef3b6e7b33fd2a27c2,true,-
-,-,3,siena09,1b/427f34,nf-1b427f347dcd503464b09ae97727377d-26524,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1768421154450,1768421165000,1768421179000,24550,13000,-,85.8,0.0,4894720,12410880,4894720,12414976,3147404321,5942,48264,21,6582272,16384,63,653,/input/data/work/1b/427f347dcd503464b09ae97727377d,true,-
-,-,214,siena14,9f/d9601c,nf-9fd9601cfe6d5164cc400c92f8a46d35-24ef1,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1768421180582,1768421181000,1768421183000,2418,0,-,74.6,0.0,2863104,11575296,2863104,11579392,103362,26536,198,24,5464064,20480,5,5,/input/data/work/9f/d9601cfe6d5164cc400c92f8a46d35,true,-
-,-,20,siena12,d6/a48e83,nf-d6a48e83886c630258f4e5b824efd741-22ca1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421168047,1768421168000,1768421235000,66953,65000,-,105.1,0.5,1038311424,4765052928,1038311424,4766359552,827168555,1751195,1581818,5491,23900160,2191360,8,6,/input/data/work/d6/a48e83886c630258f4e5b824efd741,true,-
-,-,6,siena14,16/e1f0ab,nf-16e1f0ab48e7e6a4a7015385534a62db-03dbe,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421165250,1768421177000,1768421240000,74750,61000,-,105.6,0.5,1039949824,4765052928,1040433152,4766416896,770944457,1748393,1472010,5502,37658624,2195456,115,3,/input/data/work/16/e1f0ab48e7e6a4a7015385534a62db,true,-
-,-,13,siena15,b1/720b2b,nf-b1720b2b8e3868cec7fa9a4ebf7c63d9-386af,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421167348,1768421171000,1768421238000,70652,65000,-,104.9,0.5,1041231872,4833214464,1041231872,4900638720,821981657,1746345,1571689,5506,55222272,2179072,126,4,/input/data/work/b1/720b2b8e3868cec7fa9a4ebf7c63d9,true,-
-,-,5,siena15,8c/5f31d9,nf-8c5f31d9a2e3d6a5a14802d53229c515-fbd03,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421165461,1768421171000,1768421240000,74539,67000,-,100.7,0.5,1073197056,4977262592,1073274880,5044375552,836340484,1751058,1599733,5490,0,2203648,6,3,/input/data/work/8c/5f31d9a2e3d6a5a14802d53229c515,true,-
-,-,10,siena11,4b/db2749,nf-4bdb2749bbd4770e03f48c230fae61c7-ec47f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421165755,1768421173000,1768421243000,77245,65000,-,103.7,0.5,1042239488,4833214464,1042239488,4900327424,807660178,1747921,1543717,5510,19705856,2195456,6,2,/input/data/work/4b/db2749bbd4770e03f48c230fae61c7,true,-
-,-,16,siena11,04/cacb7f,nf-04cacb7f7f08818049475c2e4a8b9736-79677,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768421167461,1768421174000,1768421247000,79539,69000,-,104.3,0.5,1041694720,4901376000,1041694720,4902764544,886091840,1754302,1696908,5524,31313920,2232320,122,1,/input/data/work/04/cacb7f7f08818049475c2e4a8b9736,true,-
