cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena07,a5/31f540,nf-a531f540f471c05c9c1fbe5aa511b66c-e999e,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762211088233,1762211088000,1762211091000,2767,1000,-,6.0,0.0,3063808,23150592,3063808,23154688,692062,9280,251,19,5029888,20480,2,0,/input/data/work/a5/31f540f471c05c9c1fbe5aa511b66c,true,-
-,-,2,siena13,36/7a55b6,nf-367a55b689a0563cb59bf9b2432ad5e1-e999e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762211088446,1762211095000,1762211111000,22554,15000,-,89.2,0.0,4894720,12410880,4894720,12414976,3147404941,5951,48265,21,0,16384,18,1492,/input/data/work/36/7a55b689a0563cb59bf9b2432ad5e1,true,-
-,-,214,siena14,7e/0b1ca2,nf-7e0b1ca2aa12d103ee7beb1c03ad00f2-f31f3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762211114551,1762211115000,1762211117000,2449,0,-,90.6,0.0,2842624,11575296,2842624,11579392,103944,26545,199,24,4689920,20480,5,5,/input/data/work/7e/0b1ca2aa12d103ee7beb1c03ad00f2,true,-
-,-,1,siena09,45/5322ae,nf-455322ae3aefc7174799be836cbb6f7a-e999e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762211088346,1762211095000,1762211120000,31654,23000,-,95.9,1.4,2881761280,2902781952,2881761280,2902786048,916298110,25693124,112014,3155,2453504,25702400,50,788,/input/data/work/45/5322ae3aefc7174799be836cbb6f7a,true,-
-,-,60,siena13,0d/cf9493,nf-0dcf949385c286c174f9e05c17d4de09-e9b99,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211099829,1762211100000,1762211156000,56171,54000,-,105.2,0.2,402132992,3677044736,402296832,3678408704,595300814,1730284,1128959,5487,4194304,2179072,11,9,/input/data/work/0d/cf949385c286c174f9e05c17d4de09,true,-
-,-,65,siena07,17/bb25b5,nf-17bb25b58f26b3be85b765af996921af-eea06,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211100070,1762211100000,1762211155000,54930,53000,-,105.5,0.2,440623104,3821092864,440754176,3821096960,569624652,1717387,1078808,5459,19636224,2134016,3,2,/input/data/work/17/bb25b58f26b3be85b765af996921af,true,-
-,-,64,siena09,a9/8b32d2,nf-a98b32d2d7b1aa41a0440ae84d98691e-eea06,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211100144,1762211100000,1762211158000,57856,56000,-,104.6,0.2,402051072,3608883200,402325504,3675996160,601057075,1719636,1140201,5470,4198400,2162688,11,9,/input/data/work/a9/8b32d2d7b1aa41a0440ae84d98691e,true,-
-,-,68,siena15,39/7325ad,nf-397325ad77d82dd4fef0ea0ccdae3fa2-83899,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211100261,1762211103000,1762211157000,56739,52000,-,104.7,0.2,437522432,3889254400,438198272,3954270208,555674226,1718990,1051563,5446,4198400,2134016,11,9,/input/data/work/39/7325ad77d82dd4fef0ea0ccdae3fa2,true,-
-,-,53,siena15,53/380560,nf-533805608c5be5a34029a878112235ae-f14c7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211099559,1762211102000,1762211161000,61441,57000,-,104.9,0.2,477368320,3620802560,478765056,3675996160,610683851,1723931,1159004,5449,4198400,2174976,11,9,/input/data/work/53/3805608c5be5a34029a878112235ae,true,-
-,-,56,siena11,5a/5e51a5,nf-5a5e51a5ca0d88090d4f8dcd3210adfe-bb74f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211099631,1762211102000,1762211163000,63369,59000,-,104.2,0.2,402313216,3677044736,402898944,3744157696,633530079,1726384,1203627,5471,4194304,2207744,10,6,/input/data/work/5a/5e51a5ca0d88090d4f8dcd3210adfe,true,-
-,-,61,siena11,ed/0b2ed4,nf-ed0b2ed4f3530f74b7e3e1b5f3c92c82-d85fd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211099956,1762211102000,1762211160000,60044,56000,-,105.6,0.2,401104896,3677044736,401694720,3678351360,589144269,1729978,1116935,5484,23302144,2138112,11,9,/input/data/work/ed/0b2ed4f3530f74b7e3e1b5f3c92c82,true,-
-,-,70,siena11,69/12f9b8,nf-6912f9b837b038f9879b46262220fdd3-6769f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211100335,1762211103000,1762211160000,59665,55000,-,104.4,0.2,402132992,3745206272,402132992,3812319232,591770710,1719343,1122064,5419,0,2129920,11,4,/input/data/work/69/12f9b837b038f9879b46262220fdd3,true,-
-,-,86,siena12,3e/f0cf6c,nf-3ef0cf6caf7ac4fc7240467e0e702cf2-c478d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,H3K18ac_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762211101048,1762211103000,1762211163000,61952,57000,-,105.3,0.2,447115264,3821092864,448155648,3822190592,599628745,1727118,1137410,5432,19099648,2142208,11,7,/input/data/work/3e/f0cf6caf7ac4fc7240467e0e702cf2,true,-
