task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,siena07,ae/0eff2d,nf-ae0eff2dd1d9936dcaad8c27bff5c557-56c44,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762131010268,1762131010000,1762131012000,1732,1000,-,7.1,0.0,3182592,23150592,3182592,23154688,692034,9277,249,18,5029888,20480,2,0,wow://input/data/work/ae/0eff2dd1d9936dcaad8c27bff5c557,true,-,-,-,6,38
1,siena07,e9/06ac1a,nf-e906ac1a7c5e6711eb681f20cf15d276-56c44,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762131010057,1762131010000,1762131022000,11943,12000,-,93.5,0.0,4812800,12410880,4812800,12414976,3147404896,5948,48263,20,12288,16384,2,79,wow://input/data/work/e9/06ac1a7c5e6711eb681f20cf15d276,true,-,-,-,93,301
214,siena07,5e/bec0b8,nf-5ebec0b8dce502555121bfd6b0e88521-52e60,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762131030943,1762131031000,1762131032000,1057,0,-,104.3,0.0,2904064,11575296,2904064,11579392,103901,26543,197,23,696320,20480,1,0,wow://input/data/work/5e/bec0b8dce502555121bfd6b0e88521,true,-,-,-,3,84
2,siena07,32/010533,nf-32010533811213a29645dfe67050071d-56c44,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762131010156,1762131011000,1762131039000,28844,27000,-,84.8,1.4,2887159808,2908663808,2887159808,2908667904,916298083,25693121,112012,3154,217088,25702400,116,40849,wow://input/data/work/32/010533811213a29645dfe67050071d,true,-,-,-,7,85
49,siena14,68/c5bb30,nf-68c5bb30d096f3af8cbee846bb7b9f3a-49dcf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131020133,1762131020000,1762131078000,57867,57000,-,104.8,0.2,458883072,3891351552,459714560,3892658176,610684600,1723931,1159001,5469,27914240,2150400,99,10,wow://input/data/work/68/c5bb30d096f3af8cbee846bb7b9f3a,true,-,-,-,10,82
55,siena14,7f/ed10fd,nf-7fed10fd1f24c5ef62df9a584715122a-1a4da,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131020556,1762131021000,1762131077000,56444,55000,-,103.5,0.2,403550208,3677044736,403550208,3678408704,595300778,1730298,1128955,5486,6045696,2129920,11,9,wow://input/data/work/7f/ed10fd1f24c5ef62df9a584715122a,true,-,-,-,4,24
56,siena14,28/40620a,nf-2840620a571c3099fcdbf4a26000c054-7f397,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131020745,1762131021000,1762131079000,58255,57000,-,103.2,0.2,484093952,3825287168,484102144,3829731328,589144226,1729974,1116931,5483,4268032,2138112,11,15,wow://input/data/work/28/40620a571c3099fcdbf4a26000c054,true,-,-,-,4,88
59,siena14,1f/059aaa,nf-1f059aaaf35631ddf776a12346a9b025-c4d7b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131020930,1762131021000,1762131079000,58070,56000,-,104.4,0.2,483377152,3961610240,489029632,3965399040,601057305,1719632,1140198,5448,4198400,2146304,11,12,wow://input/data/work/1f/059aaaf35631ddf776a12346a9b025,true,-,-,-,5,81
60,siena15,d0/a584d3,nf-d0a584d342397bd50be4ded47504d40b-44f69,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131021037,1762131021000,1762131075000,53963,52000,-,105.5,0.2,425226240,3821092864,425492480,3886108672,569624709,1717380,1078806,5458,4354048,2142208,59,1,wow://input/data/work/d0/a584d342397bd50be4ded47504d40b,true,-,-,-,5,70
62,siena15,f5/0d9445,nf-f50d94459856a89eabee511149bf0ef9-9a44c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762131021169,1762131022000,1762131075000,53831,52000,-,104.6,0.2,447983616,3889254400,448856064,3956367360,555674623,1718987,1051562,5466,23289856,2134016,11,8,wow://input/data/work/f5/0d94459856a89eabee511149bf0ef9,true,-,-,-,4,24
