cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,a5/14dee6,nf-a514dee6ac6ce61ee4a4a64c8ddde73c-c1994,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1762166273248,1762166274000,1762166276000,2752,0,-,59.7,0.0,9527296,32706560,9527296,32710656,692052,9281,251,19,5029888,20480,38,1,wow://input/data/work/a5/14dee6ac6ce61ee4a4a64c8ddde73c,true,-
-,3,siena07,14/697ade,nf-14697ade10ccde9550c9c518650fa379-c1994,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1762166273145,1762166274000,1762166286000,12855,11000,-,92.0,0.0,4964352,12410880,4964352,12414976,3147404910,5951,48265,21,0,16384,1,121,wow://input/data/work/14/697ade10ccde9550c9c518650fa379,true,-
-,1,siena07,2f/f10a93,nf-2ff10a93ec96540c5bfdb14fe9132575-c1994,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1762166272944,1762166273000,1762166297000,24056,22000,-,96.4,1.4,2913464320,2934894592,2913464320,2934898688,916298098,25693124,112014,3155,2322432,25702400,41,184,wow://input/data/work/2f/f10a93ec96540c5bfdb14fe9132575,true,-
-,214,siena14,42/9c4d3e,nf-429c4d3ecf4b6e65439fdd8987c33de4-8472f,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1762166299741,1762166301000,1762166303000,3259,0,-,88.9,0.0,2977792,11575296,2977792,11579392,103934,26545,199,24,4915200,20480,4,2,wow://input/data/work/42/9c4d3ecf4b6e65439fdd8987c33de4,true,-
-,51,siena14,60/19e29b,nf-6019e29b14679ac14d286b9235fb6c71-3b5fd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166288656,1762166289000,1762166346000,57344,55000,-,105.4,0.2,401141760,3608883200,401141760,3675996160,610684876,1723935,1159003,5449,8966144,2166784,12,7,wow://input/data/work/60/19e29b14679ac14d286b9235fb6c71,true,-
-,56,siena14,fb/ba52d9,nf-fbba52d9c8d6f224e047505c557704b2-04763,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166289064,1762166289000,1762166346000,56936,55000,-,103.2,0.2,401412096,3608883200,402788352,3673899008,595300799,1730302,1128956,5466,4194304,2158592,11,10,wow://input/data/work/fb/ba52d9c8d6f224e047505c557704b2,true,-
-,57,siena14,de/f62e0d,nf-def62e0dc6b0a44b28e50fe9db42d811-3f86b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166289254,1762166290000,1762166345000,55746,53000,-,105.1,0.2,402259968,3677044736,402849792,3744157696,589144505,1729978,1116934,5463,19705856,2162688,11,10,wow://input/data/work/de/f62e0dc6b0a44b28e50fe9db42d811,true,-
-,61,siena15,2f/a33fd4,nf-2fa33fd4e22f9547f348d295c179adce-e1a40,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166289474,1762166290000,1762166345000,55526,53000,-,105.0,0.2,401440768,3608883200,401547264,3675996160,569624728,1717383,1078807,5438,35553280,2134016,122,10,wow://input/data/work/2f/a33fd4e22f9547f348d295c179adce,true,-
-,64,siena15,0b/bfba11,nf-0bbfba1168db6aad8ae5487492a76549-40bfd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166289555,1762166291000,1762166344000,54445,51000,-,104.5,0.2,449073152,3893448704,449073152,3893452800,555674642,1718990,1051564,5467,23834624,2129920,11,11,wow://input/data/work/0b/bfba1168db6aad8ae5487492a76549,true,-
-,52,siena14,8b/fd9f12,nf-8bfd9f1233563697c25ddc097ceacced-7aced,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1762166288839,1762166289000,1762166350000,61161,59000,-,104.4,0.2,401436672,3677044736,401436672,3678343168,633530574,1726384,1203627,5471,0,2322432,11,3,wow://input/data/work/8b/fd9f1233563697c25ddc097ceacced,true,-
