task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena15,0a/4bb909,nf-0a4bb909916a6c60fc0e9e6adb9306b3-f3cf5,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1762490788266,1762490794000,1762491591000,802734,787983,-,97.7,0.0,96186368,3453935616,103092224,3833360384,8165796226,38977085,2685212,38943,4980736,37883904,4100,2443,/input/data/work/0a/4bb909916a6c60fc0e9e6adb9306b3,true,-,-,-,57,35
2,siena13,7d/126a7b,nf-7d126a7bffdbe7507feec25ece3b77ea-f3cf5,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1762490788170,1762490798000,1762492596000,1807830,1797547,-,99.0,0.0,277377024,11457626112,279228416,11496857600,8243194053,55722456,2818364,49014,5021696,58970112,11207,2896,/input/data/work/7d/126a7bffdbe7507feec25ece3b77ea,true,-,-,-,188,438
8,siena07,2b/56e603,nf-2b56e6039e1bfe41b74879086f29947f-9c1a1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492600535,1762492601000,1762492722000,121465,121580,-,136.0,1.6,3220905984,3717922816,3281002496,3717971968,603556814,5523,59088,28,708608,28672,6198,4949,/input/data/work/2b/56e6039e1bfe41b74879086f29947f,true,-,-,-,6,103
4,siena13,72/b215a9,nf-72b215a9170713b60b2e320a2d36a487-37605,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492599525,1762492606000,1762492759000,159475,152419,-,133.2,1.6,3275677696,3625824256,3275677696,3625873408,592914670,5524,58986,28,180224,28672,117,351,/input/data/work/72/b215a9170713b60b2e320a2d36a487,true,-,-,-,12,169
408,siena07,06/f65ba7,nf-06f65ba79b96f9bb4e54590855d93e2d-4e11a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492631052,1762492725000,1762492819000,187948,93885,-,163.7,1.5,3127967744,3649912832,3159793664,3649961984,406202792,5523,34523,28,0,28672,3796,2559,/input/data/work/06/f65ba79b96f9bb4e54590855d93e2d,true,-,-,-,62,24
6,siena14,10/0fb936,nf-100fb936631b2b9ccbd2889ce05a95d9-bb24c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860716_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860716_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492600051,1762492601000,1762492861000,260949,258699,-,187.9,2.2,4496265216,8850735104,4496265216,8850784256,590618214,403647987,61909,13606,2920448,405196800,2108,691,/input/data/work/10/0fb936631b2b9ccbd2889ce05a95d9,true,-,-,-,9,115
13,siena14,52/91528e,nf-5291528e769796cd197886a13b6811b4-a7abc,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19841030_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19841030_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492601034,1762492601000,1762492863000,261966,261314,-,188.2,2.2,4499927040,8853803008,4499927040,8853852160,571867547,388814950,61741,13103,229376,390283264,643,712,/input/data/work/52/91528e769796cd197886a13b6811b4,true,-,-,-,6,102
5,siena12,dd/dd9e01,nf-dddd9e01710d424866085a2efe55dfc1-244c8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492599843,1762492607000,1762492864000,264157,256195,-,188.6,2.2,4493627392,8845131776,4493627392,8845180928,592854123,406674249,61894,13699,2781184,408215552,795,689,/input/data/work/dd/dd9e01710d424866085a2efe55dfc1,true,-,-,-,10,105
11,siena15,be/26c8b9,nf-be26c8b9c6706293792a61115a37c3e3-e3e13,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850830_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850830_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492600747,1762492605000,1762492864000,263253,259238,-,186.9,2.2,4497596416,8851521536,4497596416,8851570688,582359439,393298037,61983,13319,1142784,394878976,1955,530,/input/data/work/be/26c8b9c6706293792a61115a37c3e3,true,-,-,-,82,18
15,siena09,c6/a2264e,nf-c6a2264ecfab2cc40d6d58bc3a887a4a-b03c0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840710_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840710_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762492601240,1762492611000,1762492867000,265760,255604,-,188.5,2.2,4450193408,8791711744,4450193408,8791760896,579842335,382950501,61882,12963,823296,384462848,921,673,/input/data/work/c6/a2264ecfab2cc40d6d58bc3a887a4a,true,-,-,-,5,96
