task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena13,5f/7b8457,nf-5f7b84577ae7309ab1dde4443ce01cc7-cb858,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1762336366831,1762336382000,1762336458000,91169,67429,-,938.8,0.0,67686400,168587264,67694592,168636416,8165787692,38952461,2684854,38931,72773632,35418112,4970,588,/input/data/work/5f/7b84577ae7309ab1dde4443ce01cc7,true,-,-,-,127,806
2,siena15,01/f463a5,nf-01f463a5b2265a2cbe0738aebf5f1d34-cb858,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1762336367037,1762336388000,1762337304000,936963,916009,-,195.2,0.0,71049216,172802048,71057408,172851200,8254867482,60035345,2851354,51114,74133504,63795200,11559,1963,/input/data/work/01/f463a5b2265a2cbe0738aebf5f1d34,true,-,-,-,6,195
24,siena13,db/c099f2,nf-dbc099f2577f7822446bd7b5b9e3f046-86105,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337310831,1762337317000,1762337359000,48169,41926,-,155.1,1.5,3132624896,3506991104,3132624896,3507040256,563322284,5521,58756,28,450560,28672,151,150,/input/data/work/db/c099f2577f7822446bd7b5b9e3f046,true,-,-,-,81,101
45,siena13,be/95ab28,nf-be95ab281a6afeeb62e2005682edbc56-2fb3e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860502_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860502_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337313234,1762337317000,1762337359000,45766,41125,-,157.0,1.6,3164246016,3626618880,3164246016,3626668032,484660645,5521,54072,28,4325376,28672,146,147,/input/data/work/be/95ab281a6afeeb62e2005682edbc56,true,-,-,-,7,96
51,siena07,c7/dcf163,nf-c7dcf163342bec5732c08f449d0e885c-9c428,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860705_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860705_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337313849,1762337314000,1762337356000,42151,41569,-,161.9,1.6,3229470720,3637776384,3229470720,3637825536,534015247,5522,55995,28,4202496,28672,55,113,/input/data/work/c7/dcf163342bec5732c08f449d0e885c,true,-,-,-,5,18
58,siena07,67/c61ef6,nf-67c61ef636c092c68f7cc4b0cfc53df8-db9c1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860331_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860331_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337314540,1762337315000,1762337360000,45460,45549,-,161.3,1.6,3243143168,3649765376,3243143168,3649814528,553611391,5522,56405,28,0,28672,54,151,/input/data/work/67/c61ef636c092c68f7cc4b0cfc53df8,true,-,-,-,71,16
67,siena15,d0/05d800,nf-d005d8008ff1ffc8249564008c10a3b4-b5c5f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337315447,1762337316000,1762337359000,43553,43114,-,157.7,1.6,3206238208,3590881280,3206238208,3590930432,568954839,5518,58849,28,4325376,28672,100,151,/input/data/work/d0/05d8008ff1ffc8249564008c10a3b4,true,-,-,-,80,20
19,siena12,40/696429,nf-406964297105b291876e8c83b6bffbd9-15d71,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337310230,1762337322000,1762337364000,53770,41814,-,158.2,1.5,3115106304,3488432128,3115106304,3488481280,580802418,5521,58719,28,0,28672,115,139,/input/data/work/40/6964297105b291876e8c83b6bffbd9,true,-,-,-,9,96
34,siena12,2b/22ca84,nf-2b22ca84e0f442425b4f66c018fe610a-5371f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337311849,1762337323000,1762337364000,52151,40403,-,158.2,1.6,3212541952,3635372032,3212541952,3635421184,539179102,5521,56775,28,4202496,28672,102,121,/input/data/work/2b/22ca84e0f442425b4f66c018fe610a,true,-,-,-,86,21
35,siena11,c9/6987f2,nf-c96987f2d1760729346f3803280744ae-4a5e4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1762337312129,1762337324000,1762337368000,55871,44379,-,158.3,1.5,3011715072,3416526848,3249303552,3654221824,557564088,5521,56583,28,4202496,28672,86,112,/input/data/work/c9/6987f2d1760729346f3803280744ae,true,-,-,-,80,99
