task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,siena14,a7/406bbc,nf-a7406bbcfab5a5e8da4ff16c6732cfe9-efe5a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1762519947771,1762519954000,1762520739000,791229,776920,-,97.7,0.0,103563264,3835551744,105410560,3891544064,8165977618,38993519,2685396,38951,5259264,38453248,4173,2448,/input/data/work/a7/406bbcfab5a5e8da4ff16c6732cfe9,true,-
2,siena13,c1/71161c,nf-c171161ca48c24d07496138028376bc4-b20e1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1762519947650,1762519955000,1762521766000,1818350,1810891,-,99.0,0.0,416022528,19033714688,429592576,19204964352,8243458949,55706026,2818312,49006,5107712,58621952,11398,2931,/input/data/work/c1/71161ca48c24d07496138028376bc4,true,-
8,siena09,94/35e92e,nf-9435e92e7f3e7e56fdd0fac8d3d050f9-8e1ad,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521770128,1762521772000,1762521892000,121872,119720,-,135.6,1.6,3221147648,3717926912,3281244160,3717976064,603556810,5523,59088,28,208896,28672,169,305,/input/data/work/94/35e92e7f3e7e56fdd0fac8d3d050f9,true,-
4,siena13,49/634d85,nf-49634d850ecff1777e729f89fedb80cc-4fc98,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521769441,1762521774000,1762521928000,158559,153073,-,133.5,1.6,3275927552,3625820160,3275927552,3625869312,592914671,5524,58986,28,229376,28672,135,540,/input/data/work/49/634d850ecff1777e729f89fedb80cc,true,-
17,siena09,8f/cdd397,nf-8fcdd397661933bde35aedaff984ce87-d1f5d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521770747,1762521894000,1762521992000,221253,97174,-,132.8,1.5,3116871680,3573153792,3280695296,3573202944,552381166,5523,58603,28,0,28672,71,103,/input/data/work/8f/cdd397661933bde35aedaff984ce87,true,-
15,siena09,17/152f80,nf-17152f80ec590ef036d91a315bacd995-d29ef,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840710_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840710_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521770639,1762521772000,1762522029000,258361,256142,-,188.4,2.2,4449320960,8791711744,4449320960,8791760896,579842366,382950519,61883,12963,2904064,384462848,757,642,/input/data/work/17/152f80ec590ef036d91a315bacd995,true,-
11,siena15,6f/a13df4,nf-6fa13df40aed00b3f4e8d77ad25309a5-53f8c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850830_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850830_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521770342,1762521775000,1762522032000,261658,256342,-,187.7,2.2,4497170432,8851525632,4497170432,8851574784,582359434,393298037,61982,13319,3145728,394878976,713,845,/input/data/work/6f/a13df40aed00b3f4e8d77ad25309a5,true,-
6,siena15,48/7c0ca0,nf-487c0ca06b957073d025a7fe03c0c106-041a8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860716_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860716_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521769847,1762521775000,1762522035000,265153,258438,-,187.1,2.2,4496900096,8850735104,4496900096,8850784256,590663625,403647875,61909,13606,266240,405204992,2358,664,/input/data/work/48/7c0ca06b957073d025a7fe03c0c106,true,-
19,siena09,c0/12bb86,nf-c012bb8621fa98f936514a87c802b254-773d1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521770938,1762521994000,1762522035000,264062,40947,-,163.2,1.5,3114864640,3488428032,3114864640,3488477184,580802423,5522,58719,28,0,28672,61,153,/input/data/work/c0/12bb8621fa98f936514a87c802b254,true,-
5,siena11,b1/b57bd0,nf-b1b57bd051a60a4a2ae5163fa2d1e081-ef0ab,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1762521769749,1762521777000,1762522036000,266251,257505,-,188.8,2.2,4492374016,8845135872,4492374016,8845185024,592854126,406674249,61895,13699,1097728,408215552,578,553,/input/data/work/b1/b57bd051a60a4a2ae5163fa2d1e081,true,-
