cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena09,7d/9363d9,nf-7d9363d943aed37c58455afc0b5bc587-f1497,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1768557359182,1768557384000,1768558178000,818818,783756,-,97.2,0.0,160899072,7612923904,162680832,7668867072,8165672282,38936112,2684909,38924,4014080,38551552,4204,2461,/input/data/work/7d/9363d943aed37c58455afc0b5bc587,true,-
-,-,1,siena07,74/479030,nf-744790308df07889b33ba7d04403207e-f1497,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1768557359078,1768557359000,1768559092000,1732922,1731790,-,98.6,0.0,413507584,18921627648,438575104,19139313664,8242270314,55763629,2818413,49035,4829184,58937344,11174,2470,/input/data/work/74/4790308df07889b33ba7d04403207e,true,-
-,-,8,siena07,cc/1cf8de,nf-cc1cf8dedf50bb604b6d6b2161c5c886-b69e4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559096162,1768559096000,1768559218000,121838,121773,-,136.5,1.6,3281575936,3717926912,3281575936,3717976064,603556411,5521,59090,29,270336,28672,135,345,/input/data/work/cc/1cf8dedf50bb604b6d6b2161c5c886,true,-
-,-,4,siena14,a5/20b7cb,nf-a520b7cb99ca1387ac7be52efa46f04f-69e3d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559095378,1768559122000,1768559275000,179622,152350,-,133.3,1.6,3275743232,3625820160,3275743232,3625869312,592914240,5521,58988,29,2076672,28672,160,512,/input/data/work/a5/20b7cb99ca1387ac7be52efa46f04f,true,-
1.365,3416260608,1200,siena13,11/ecfa47,nf-11ecfa475367025d66273993283ebb33-18cfa,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202031_19850812_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202031_19850812_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559154967,1768559240000,1768559281000,126033,41000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/11/ecfa475367025d66273993283ebb33,true,RETRY
1.365,3416260608,1203,siena07,48/d89eac,nf-48d89eac3312f973cdccf6d342e925a8-3c316,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202031_19840521_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202031_19840521_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559155062,1768559241000,1768559288000,132938,47000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/48/d89eac3312f973cdccf6d342e925a8,true,RETRY
1.365,3416260608,43,siena09,70/0e9c28,nf-700e9c287abb2a4f7c2854c0ffe22233-7bc85,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850819_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850819_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559100372,1768559240000,1768559287000,186628,47000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/70/0e9c287abb2a4f7c2854c0ffe22233,true,RETRY
1.365,3416260608,953,siena15,24/867e6c,nf-24867e6c6007306f837d3a994e27d0db-fb210,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202033_19860409_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202033_19860409_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559147547,1768559241000,1768559304000,156453,63000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/24/867e6c6007306f837d3a994e27d0db,true,RETRY
1.365,3416260608,964,siena07,d6/4ee452,nf-d64ee45245ae27074389d7c9e6389bf1-d9f2b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202033_19840606_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202033_19840606_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559147829,1768559240000,1768559297000,149171,57000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/d6/4ee45245ae27074389d7c9e6389bf1,true,RETRY
-,-,408,siena07,8f/6cc79f,nf-8f6cc79f88f0cd934570bc3760354959-6e942,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768559127296,1768559221000,1768559318000,190704,96558,-,164.8,1.6,3160297472,3649912832,3160297472,3649961984,406202390,5521,34525,29,0,28672,92,337,/input/data/work/8f/6cc79f88f0cd934570bc3760354959,true,-
