cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,33/88030c,nf-3388030cad96bc77ecbc3559aaed7d63-ca5c0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1768485604892,1768485605000,1768486365000,760108,753459,-,97.3,0.0,32239616,37060608,34091008,38948864,8166388599,39010045,2685649,38960,4841472,38412288,4346,2456,wow://input/data/work/33/88030cad96bc77ecbc3559aaed7d63,true,-
-,1,siena07,16/9e912b,nf-169e912bbf85c8706abff9a2386eb43c-ca5c0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1768485604994,1768485605000,1768487381000,1776006,1775581,-,98.7,0.0,35364864,41283584,37212160,43167744,8244881514,56650919,2825307,49467,61440,59760640,11370,3008,wow://input/data/work/16/9e912bbf85c8706abff9a2386eb43c,true,-
-,8,siena09,92/8b3f6d,nf-928b3f6d0e1c837d7915557a8d3d5eed-72b70,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487385866,1768487386000,1768487506000,120134,119364,-,135.8,1.6,3239473152,3717926912,3281375232,3717976064,603556350,5519,59090,29,8790016,28672,159,262,wow://input/data/work/92/8b3f6d0e1c837d7915557a8d3d5eed,true,-
-,4,siena07,88/34dd0d,nf-8834dd0d57d7ee65d81440bba1aebe98-08be6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487385369,1768487385000,1768487542000,156631,155370,-,133.9,1.6,3172503552,3625824256,3276570624,3625873408,592914227,5519,58988,29,217088,28672,2230,1798,wow://input/data/work/88/34dd0d57d7ee65d81440bba1aebe98,true,-
-,408,siena09,a6/de2967,nf-a6de29673dc7427651c5f788f0d49389-bcb89,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487417053,1768487509000,1768487603000,185947,93079,-,163.9,1.5,3128619008,3649912832,3160444928,3649961984,406202329,5519,34525,29,0,28672,91,317,wow://input/data/work/a6/de29673dc7427651c5f788f0d49389,true,-
-,6,siena13,d2/d3bba1,nf-d2d3bba17752477480b309ed318d11bb-a725c,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860716_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860716_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487385570,1768487386000,1768487645000,259430,258331,-,187.5,2.2,4497301504,8850726912,4497301504,8850776064,590617747,403647981,61913,13607,2424832,405196800,2423,566,wow://input/data/work/d2/d3bba17752477480b309ed318d11bb,true,-
-,5,siena09,da/8bbc12,nf-da8bbc12c2b53ee77579442caf2a5346-e183b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487385663,1768487386000,1768487645000,259337,257512,-,188.6,2.2,4493615104,8845135872,4493615104,8845185024,592853693,406674263,61899,13700,2498560,408219648,665,596,wow://input/data/work/da/8bbc12c2b53ee77579442caf2a5346,true,-
-,11,siena14,2d/8ff456,nf-2d8ff456ad7c67b083039d234d7170d8-4fac8,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850830_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850830_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487386151,1768487387000,1768487643000,256849,255669,-,187.9,2.2,4498604032,8851525632,4498604032,8851574784,582312725,393298147,61986,13320,5304320,394883072,1079,748,wow://input/data/work/2d/8ff456ad7c67b083039d234d7170d8,true,-
-,15,siena11,6a/4161ea,nf-6a4161ea24d923f6e865cf435a053c0a-461bf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840710_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840710_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487386652,1768487387000,1768487642000,255348,254923,-,187.9,2.2,4449087488,8791711744,4449087488,8791760896,579841898,382950498,61886,12964,6606848,384462848,1461,571,wow://input/data/work/6a/4161ea24d923f6e865cf435a053c0a,true,-
-,13,siena12,d0/5c61c2,nf-d05c61c2702672c4141ed563732dd000-2c872,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19841030_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19841030_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1768487386454,1768487387000,1768487652000,265546,264522,-,186.7,2.2,4500471808,8853798912,4500471808,8853848064,571867099,388814945,61745,13104,5492736,390275072,1846,1058,wow://input/data/work/d0/5c61c2702672c4141ed563732dd000,true,-
