cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena12,23/571adb,nf-23571adb46871d3b446ac99faf97a77a-d8cce,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762713646025,1762713648000,1762713649000,2975,0,-,61.7,0.0,3284992,5640192,3284992,5644288,714680,4921,283,19,1196032,16384,4,0,/input/data/work/23/571adb46871d3b446ac99faf97a77a,true,-
-,1,siena13,7f/32a0d3,nf-7f32a0d3bb37e43c53966b8fc495e67f-d8cce,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762713645649,1762713647000,1762713666000,20351,17000,-,78.0,0.6,1173561344,1186750464,1173561344,1186754560,4064230320,838279379,496320,104482,6746112,838291456,312,3457,/input/data/work/7f/32a0d3bb37e43c53966b8fc495e67f,true,-
-,3,siena15,21/32136f,nf-2132136f2dfe636e3b54d6aff614948c-d8cce,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762713645842,1762713654000,1762713670000,24158,14000,-,84.6,0.0,5959680,12550144,5959680,12554240,3147404834,5958,48265,21,9588736,16384,45,1547,/input/data/work/21/32136f2dfe636e3b54d6aff614948c,true,-
-,51,siena13,3f/e4886e,nf-3fe4886e16f8b46d109fafd16351b222-b1b87,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713657944,1762713658000,1762713725000,67056,65000,-,196.2,0.2,466354176,3815464960,466399232,3815469056,1417786783,3669191,2736073,11269,45297664,4268032,87,8,/input/data/work/3f/e4886e16f8b46d109fafd16351b222,true,-
-,13,siena09,e4/34f14e,nf-e434f14e74a6a39b88aaf47761f72842-1576e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713655546,1762713661000,1762713747000,91454,84000,-,192.8,0.3,538804224,3825287168,539938816,3852148736,1740181936,3670770,3365697,11231,32776192,4308992,6,3,/input/data/work/e4/34f14e74a6a39b88aaf47761f72842,true,-
-,16,siena12,50/b656a4,nf-50b656a4502006f1ffe9632da38cae52-aa96b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713655631,1762713658000,1762713756000,100369,96000,-,195.3,0.2,458399744,3745206272,458989568,3812319232,2183680257,3676839,4231894,11237,60280832,4354048,126,4,/input/data/work/50/b656a4502006f1ffe9632da38cae52,true,-
-,77,siena09,02/7ab436,nf-027ab436aa8bcfd415cac4ffd88ead64-78c53,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713659654,1762713661000,1762713754000,94346,91000,-,190.9,0.3,537628672,3825287168,544104448,3828830208,1831961310,3672469,3544946,11268,4198400,4341760,12,11,/input/data/work/02/7ab436aa8bcfd415cac4ffd88ead64,true,-
-,33,siena14,45/e25aae,nf-45e25aaee93d7e612b8169c5925f22c0-ef004,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713656663,1762713657000,1762713758000,101337,99000,-,195.3,0.2,473780224,3887157248,474611712,3887898624,2256943462,3675339,4375045,11243,32370688,4362240,12,9,/input/data/work/45/e25aaee93d7e612b8169c5925f22c0,true,-
-,21,siena15,e4/247e9b,nf-e4247e9bc2ca353f8f71e2501e276a5d-36b3d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713656046,1762713656000,1762713770000,113954,112000,-,196.4,0.3,557596672,4029771776,560119808,4092690432,2518978065,3693321,4886780,11307,5021696,4464640,13,10,/input/data/work/e4/247e9bc2ca353f8f71e2501e276a5d,true,-
-,45,siena15,5f/7811a8,nf-5f7811a8d6084ec52cc4d520466059da-9396f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762713657347,1762713657000,1762713770000,112653,111000,-,196.1,0.2,464547840,3677044736,465137664,3677052928,2508000091,3695796,4865334,11281,0,4452352,12,19,/input/data/work/5f/7811a8d6084ec52cc4d520466059da,true,-
