cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena13,34/936efb,nf-34936efbae1106761e449afb5bb66551-0dca0,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762723652928,1762723657000,1762723658000,5072,0,-,50.2,0.0,3158016,5640192,3158016,5644288,714685,4922,283,19,9846784,16384,4,0,/input/data/work/34/936efbae1106761e449afb5bb66551,true,-
-,2,siena12,70/0708b9,nf-700708b9c16761e8862a1cf06605274d-0dca0,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762723653241,1762723655000,1762723674000,20759,18000,-,76.5,0.6,1173671936,1186750464,1173671936,1186754560,4064230319,838279378,496320,104482,10969088,838291456,311,3512,/input/data/work/70/0708b9c16761e8862a1cf06605274d,true,-
-,1,siena15,fd/3e5487,nf-fd3e54874282843bd9a9c3e776339442-0dca0,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762723653126,1762723663000,1762723679000,25874,15000,-,82.1,0.0,6393856,12550144,6393856,12554240,3147404834,5958,48265,21,9535488,16384,47,1565,/input/data/work/fd/3e54874282843bd9a9c3e776339442,true,-
-,43,siena14,7f/24b7bc,nf-7f24b7bcb2037ad4b91c1b918f62bbf6-ce268,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664668,1762723667000,1762723734000,69332,65000,-,195.3,0.2,457314304,3677044736,457764864,3677052928,1417968862,3669191,2736241,11227,28360704,4247552,12,1,/input/data/work/7f/24b7bcb2037ad4b91c1b918f62bbf6,true,-
-,11,siena14,31/03a84c,nf-3103a84c70d11b1274097a97b74969af-b5f82,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723662833,1762723667000,1762723748000,85167,79000,-,195.2,0.2,501501952,4025577472,501501952,4092690432,1740182978,3670770,3365701,11189,35663872,4317184,129,5,/input/data/work/31/03a84c70d11b1274097a97b74969af,true,-
-,72,siena13,9d/96e0ae,nf-9d96e0ae500f64e880e57cbaf1fe0fbc-61186,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723666543,1762723668000,1762723753000,86457,83000,-,195.2,0.3,519618560,3961610240,520036352,4024528896,1831959532,3672469,3544939,11226,32690176,4308992,12,14,/input/data/work/9d/96e0ae500f64e880e57cbaf1fe0fbc,true,-
-,14,siena07,fd/3083ed,nf-fd3083ed075b08f9e53f9797766970e1-a1162,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723662870,1762723663000,1762723763000,100130,98000,-,196.5,0.2,494927872,3889254400,495366144,3952836608,2183803782,3676839,4232004,11195,59883520,4366336,117,0,/input/data/work/fd/3083ed075b08f9e53f9797766970e1,true,-
-,28,siena11,cb/9d8dd6,nf-cb9d8dd6c5d9d6edc14b82cd87fda012-f4a4c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723663868,1762723671000,1762723774000,110132,101000,-,195.7,0.2,455467008,3677044736,455467008,3677052928,2256974941,3675338,4375049,11243,11886592,4358144,56,3,/input/data/work/cb/9d8dd6c5d9d6edc14b82cd87fda012,true,-
-,41,siena15,22/f2ae73,nf-22f2ae739913b6cf479ecb3bb7fe1c05-7927e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664558,1762723665000,1762723774000,109442,107000,-,195.3,0.3,556425216,3961610240,556490752,3965399040,2401473805,3695699,4657276,11267,52027392,4427776,12,10,/input/data/work/22/f2ae739913b6cf479ecb3bb7fe1c05,true,-
-,6,siena15,99/228081,nf-9922808102f0e6abd5115153f3d6faf9-7896f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723662434,1762723663000,1762723777000,114566,112000,-,194.7,0.3,537276416,3961610240,537276416,4024528896,2508434839,3693313,4866154,11354,46395392,4464640,125,5,/input/data/work/99/22808102f0e6abd5115153f3d6faf9,true,-
-,10,siena12,ae/069597,nf-ae06959772232edf94ecf3ff4afe211a-d46a9,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723662545,1762723663000,1762723777000,114455,112000,-,194.8,0.3,550035456,4029771776,551632896,4092690432,2589107543,3695791,5023753,11313,38948864,4448256,129,1,/input/data/work/ae/06959772232edf94ecf3ff4afe211a,true,-
-,18,siena12,e8/250aed,nf-e8250aed0c4fe4861f01863ce85fc479-a47ae,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723663232,1762723664000,1762723777000,113768,111000,-,195.7,0.3,581898240,4029771776,585838592,4031950848,2518980027,3693341,4886787,11349,21405696,4464640,12,3,/input/data/work/e8/250aed0c4fe4861f01863ce85fc479,true,-
-,35,siena15,3e/d0d795,nf-3ed0d79554bba547fd0dea223f421ae2-1a84a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664324,1762723664000,1762723777000,112676,111000,-,195.6,0.2,459157504,3677044736,459440128,3677052928,2508434957,3694699,4866183,11312,4231168,4456448,11,9,/input/data/work/3e/d0d79554bba547fd0dea223f421ae2,true,-
-,38,siena14,7b/27b4c7,nf-7b27b4c78a73ca7967669cf0af1721aa-4ba4d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664435,1762723667000,1762723780000,115565,110000,-,196.3,0.2,462295040,3677044736,462737408,3677052928,2508001524,3695799,4865339,11281,0,4476928,12,11,/input/data/work/7b/27b4c78a73ca7967669cf0af1721aa,true,-
-,82,siena09,06/0c91ae,nf-060c91ae2e9f0f60d8d03252079b7319-14b7f,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762723675748,1762723676000,1762723779000,103252,100000,-,62.1,0.6,1189519360,1522274304,1190920192,1522278400,4568156781,1562136158,522506,3509960,60047360,1562169344,52797,56173,/input/data/work/06/0c91ae2e9f0f60d8d03252079b7319,true,-
-,5,siena13,48/c71e68,nf-48c71e68301cb30f28fd20267d2eaf32-e8479,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723661528,1762723668000,1762723783000,121472,113000,-,195.3,0.3,548302848,3961610240,548302848,3965480960,2508435501,3693316,4866155,11354,4345856,4448256,6,3,/input/data/work/48/c71e68301cb30f28fd20267d2eaf32,true,-
-,4,siena14,12/7994a7,nf-127994a76b9cb36dd23c623468a634ac-e8479,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723661742,1762723667000,1762723782000,120258,113000,-,196.3,0.3,525512704,4029771776,526098432,4092690432,2508436787,3693315,4866161,11354,0,4468736,7,2,/input/data/work/12/7994a76b9cb36dd23c623468a634ac,true,-
-,17,siena07,17/808d80,nf-17808d80403beff7383e37ab7b622e08-7e9f6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723663153,1762723663000,1762723784000,120847,119000,-,195.9,0.3,524767232,4029771776,524767232,4031160320,2677433148,3684426,5196256,11298,0,4456448,4,1,/input/data/work/17/808d80403beff7383e37ab7b622e08,true,-
-,26,siena07,d8/3d8346,nf-d83d83462008826816f4530a0f610b21-8b364,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723663643,1762723664000,1762723785000,121357,117000,-,194.4,0.3,540987392,4029771776,553189376,4096884736,2627197032,3685679,5098144,11307,4096,4460544,4,2,/input/data/work/d8/3d83462008826816f4530a0f610b21,true,-
-,32,siena13,1f/0c8c9d,nf-1f0c8c9d1c1c36a4e6239cf25e0d1ced-7b4f2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664051,1762723668000,1762723783000,118949,112000,-,195.7,0.3,550707200,3893448704,550707200,3956367360,2560121967,3690879,4966995,11304,4198400,4448256,12,7,/input/data/work/1f/0c8c9d1c1c36a4e6239cf25e0d1ced,true,-
-,37,siena13,a8/c85675,nf-a8c8567522df451f1df42825dd2c06e2-93c9d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664242,1762723667000,1762723783000,118758,114000,-,195.4,0.2,485806080,3752931328,485806080,3812319232,2544324897,3679548,4936285,11252,35016704,4431872,125,8,/input/data/work/a8/c8567522df451f1df42825dd2c06e2,true,-
-,44,siena15,04/1c7437,nf-041c743752bd55bac43ae519415fb0b7-980de,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664835,1762723665000,1762723784000,119165,117000,-,196.5,0.3,554450944,3961610240,554450944,3961614336,2652432925,3690234,5147427,11298,4313088,4546560,13,7,/input/data/work/04/1c743752bd55bac43ae519415fb0b7,true,-
-,30,siena09,c9/d1bb8c,nf-c9d1bb8c0fb5aa968d484b99147ee475-72dad,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723663943,1762723664000,1762723788000,124057,122000,-,195.7,0.3,548851712,3961610240,561233920,3988471808,2711664802,3695991,5263122,11280,32075776,4538368,125,10,/input/data/work/c9/d1bb8c0fb5aa968d484b99147ee475,true,-
-,63,siena09,e1/b3a391,nf-e1b3a3918f86483e19bc9beaa89582d7-50024,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723665729,1762723666000,1762723785000,119271,117000,-,195.1,0.3,547045376,3893448704,547045376,3920310272,2651864091,3695489,5146319,11221,32550912,4481024,11,9,/input/data/work/e1/b3a3918f86483e19bc9beaa89582d7,true,-
-,40,siena11,9e/3ecb66,nf-9e3ecb66bd6d917a7957ded8f78b2ded-79598,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723664460,1762723671000,1762723795000,130540,122000,-,196.0,0.3,576036864,4097933312,576036864,4102172672,2761691980,3683681,5360823,11295,0,4546560,7,3,/input/data/work/9e/3ecb66bd6d917a7957ded8f78b2ded,true,-
-,56,siena11,43/6c026d,nf-436c026dca216bc3736dc4b1342aa12a-04c62,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762723665459,1762723671000,1762723791000,125541,118000,-,195.0,0.3,584404992,3961610240,584404992,3965644800,2632367196,3688486,5108241,11270,0,4452352,7,3,/input/data/work/43/6c026dca216bc3736dc4b1342aa12a,true,-
