cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena12,c0/cea1a2,nf-c0cea1a20c16637bb838c5afe9d47802-161c6,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762704212626,1762704217000,1762704218000,5374,0,-,56.2,0.0,3215360,5640192,3215360,5644288,714681,4921,283,19,8192,16384,3,0,/input/data/work/c0/cea1a20c16637bb838c5afe9d47802,true,-
-,2,siena15,58/6a391e,nf-586a391efaf8f6d6e233cdb9a8a0695c-161c6,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762704212439,1762704213000,1762704233000,20561,19000,-,73.1,0.6,1173790720,1186750464,1173790720,1186754560,4064230169,838279376,496320,104482,11079680,838287360,294,3230,/input/data/work/58/6a391efaf8f6d6e233cdb9a8a0695c,true,-
-,3,siena13,e3/4e103e,nf-e34e103e8fbfa00adcf72b066078f379-161c6,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762704212250,1762704216000,1762704231000,18750,14000,-,81.7,0.0,4808704,12550144,4808704,12554240,3147404984,5961,48265,21,13860864,16384,45,1459,/input/data/work/e3/4e103e8fbfa00adcf72b066078f379,true,-
-,47,siena12,f3/563df7,nf-f3563df7a0abdb63d30f474d387d81b2-95151,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704224157,1762704225000,1762704293000,68843,66000,-,195.9,0.3,552583168,3893448704,552583168,3956367360,1417787034,3669190,2736074,11269,28475392,4239360,12,1,/input/data/work/f3/563df7a0abdb63d30f474d387d81b2,true,-
-,11,siena14,9c/993483,nf-9c993483836f7db5f8fb0f9dbdd3249b-d6652,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704222235,1762704228000,1762704308000,85765,78000,-,196.2,0.2,487981056,3889254400,487981056,3920310272,1740181953,3670770,3365696,11273,59789312,4304896,121,2,/input/data/work/9c/993483836f7db5f8fb0f9dbdd3249b,true,-
-,75,siena12,79/759a70,nf-79759a702b6a1fb290e51dd8dbf2d230-9e039,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704226037,1762704226000,1762704311000,84963,83000,-,195.0,0.3,528957440,4025577472,528957440,4092690432,1831959265,3672468,3544939,11310,4194304,4337664,11,11,/input/data/work/79/759a702b6a1fb290e51dd8dbf2d230,true,-
-,14,siena13,ba/90be95,nf-ba90be958fe12ac56170a33cd293f09a-9e1f8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704222352,1762704222000,1762704323000,100648,98000,-,196.5,0.2,488079360,3821092864,488079360,3821096960,2183680006,3676840,4231894,11237,28561408,4399104,12,7,/input/data/work/ba/90be958fe12ac56170a33cd293f09a,true,-
-,29,siena09,d5/52d89b,nf-d552d89b71be2ee16f483f92d6eede91-99617,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704223249,1762704226000,1762704328000,104751,100000,-,194.3,0.2,493670400,3957415936,493670400,3957420032,2256975187,3675339,4375050,11327,59785216,4362240,123,5,/input/data/work/d5/52d89b71be2ee16f483f92d6eede91,true,-
-,4,siena12,f5/1ef343,nf-f51ef343ea63e86b29e22e5164d1c901-39682,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704221024,1762704221000,1762704337000,115976,114000,-,196.3,0.2,503828480,4025577472,504635392,4092690432,2508458017,3693314,4866180,11270,31461376,4509696,125,0,/input/data/work/f5/1ef343ea63e86b29e22e5164d1c901,true,-
-,8,siena13,30/cfbeee,nf-30cfbeee52d5ed52ae3f20abfdf6a7b7-7b976,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704221639,1762704222000,1762704337000,115361,112000,-,196.1,0.3,547602432,3961610240,549842944,3966459904,2508435501,3693316,4866156,11396,35659776,4456448,127,10,/input/data/work/30/cfbeee52d5ed52ae3f20abfdf6a7b7,true,-
-,38,siena09,b1/03dd5e,nf-b103dd5ef26e383d4eb704ece18c1b1b-fde95,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704223670,1762704226000,1762704338000,114330,110000,-,195.5,0.2,493301760,3957415936,493301760,3957420032,2508436374,3694702,4866188,11312,0,4448256,11,10,/input/data/work/b1/03dd5ef26e383d4eb704ece18c1b1b,true,-
-,42,siena09,bc/d70dc7,nf-bcd70dc753b603f809f3e2606856a413-28ee6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704223862,1762704226000,1762704339000,115138,111000,-,195.9,0.2,460218368,3745206272,460451840,3812319232,2508001250,3695799,4865338,11323,0,4448256,12,11,/input/data/work/bc/d70dc753b603f809f3e2606856a413,true,-
-,46,siena13,56/b16652,nf-56b166529c5552d53fa1dd5d11077a60-94ec0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762704224130,1762704224000,1762704335000,110870,109000,-,194.7,0.2,504528896,4025577472,504528896,4092690432,2401604572,3695702,4657396,11267,4198400,4485120,12,12,/input/data/work/56/b166529c5552d53fa1dd5d11077a60,true,-
-,82,siena14,79/a2f891,nf-79a2f8910d9df8cc16eee8f3a9ccb39a-51bc8,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762704235548,1762704236000,1762704338000,102452,98000,-,62.7,0.6,1189261312,1522294784,1190662144,1522298880,4568156781,1562136158,522506,3509960,62812160,1562161152,52789,55911,/input/data/work/79/a2f8910d9df8cc16eee8f3a9ccb39a,true,-
