task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena12,0a/769b04,nf-0a769b04320bc6c9e648cf56b02b59df-3d91e,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1765383804459,1765383809000,1765383809000,4541,0,-,75.8,0.0,3244032,5640192,3244032,5644288,714781,4921,281,18,5353472,16384,10,0,/input/data/work/0a/769b04320bc6c9e648cf56b02b59df,true,-,-,-,77,35
2,siena13,a3/13b0af,nf-a313b0af64054f551b366fb1e5b46c6f-3d91e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1765383804149,1765383807000,1765383822000,17851,15000,-,81.7,0.0,5922816,12550144,5922816,12554240,3147405096,5960,48263,20,13733888,16384,48,1544,/input/data/work/a3/13b0af64054f551b366fb1e5b46c6f,true,-,-,-,43,324
3,siena15,02/e5fcc6,nf-02e5fcc6846affa5c0bea1c05843b15c-3d91e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1765383804344,1765383812000,1765383829000,24656,16000,-,87.7,0.4,908701696,919441408,908701696,919445504,4064230368,838279377,496318,104481,6815744,838287360,199,2728,/input/data/work/02/e5fcc6846affa5c0bea1c05843b15c,true,-,-,-,6,185
48,siena07,03/9f5b79,nf-039f5b79c280a72eeaf3d3d3f5cccb36-80740,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383818143,1765383818000,1765383885000,66857,66000,-,194.9,0.2,460288000,3745206272,460288000,3812319232,1417925021,3669194,2736195,11226,28196864,4239360,4,9,/input/data/work/03/9f5b79c280a72eeaf3d3d3f5cccb36,true,-,-,-,20,78
11,siena07,5e/118c7c,nf-5e118c7c19dd851eb0db2aa1452c30c4-1e9dc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383814326,1765383814000,1765383894000,79674,79000,-,196.0,0.2,476471296,3887157248,479125504,3954270208,1740181119,3670772,3365690,11314,31752192,4321280,118,0,/input/data/work/5e/118c7c19dd851eb0db2aa1452c30c4,true,-,-,-,6,175
76,siena13,8e/17d2d1,nf-8e17d2d11d7d6c6b1e7fa38796524454-7682c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383820534,1765383821000,1765383904000,83466,82000,-,194.6,0.3,532471808,3961610240,532471808,3961618432,1831960668,3672472,3544941,11225,27992064,4333568,12,11,/input/data/work/8e/17d2d11d7d6c6b1e7fa38796524454,true,-,-,-,6,85
14,siena13,fc/36de74,nf-fc36de74c18025b699c4465bc1aaa1ce-eb5cf,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383814441,1765383814000,1765383915000,100559,99000,-,194.7,0.2,502513664,3957415936,503492608,3957420032,2183679092,3676843,4231888,11278,647168,4423680,12,1,/input/data/work/fc/36de74c18025b699c4465bc1aaa1ce,true,-,-,-,6,107
31,siena07,51/fef339,nf-51fef33931271584c1e2882111141323-b341c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383816135,1765383816000,1765383918000,101865,101000,-,195.9,0.2,459227136,3677044736,459227136,3677052928,2256975396,3675341,4375048,11242,69632,4423680,4,2,/input/data/work/51/fef33931271584c1e2882111141323,true,-,-,-,4,98
8,siena13,00/55e718,nf-0055e7185658e9cf067f1bb23e65a499-a2b8b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383813451,1765383814000,1765383928000,114549,113000,-,195.5,0.3,541368320,3961610240,543969280,3964932096,2508435355,3693319,4866153,11353,31461376,4501504,125,0,/input/data/work/00/55e7185658e9cf067f1bb23e65a499,true,-,-,-,6,217
10,siena15,49/699f00,nf-49699f002f6a4db1036efba68dc85231-ab971,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1765383813732,1765383814000,1765383928000,114268,113000,-,196.7,0.3,517488640,3957415936,517488640,3961163776,2589108619,3695794,5023755,11228,64483328,4427776,125,7,/input/data/work/49/699f002f6a4db1036efba68dc85231,true,-,-,-,8,199
