memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena09,9a/8eca59,nf-9a8eca591fa84c12def641639fa7c5db-f23b7,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1762897675455,1762897677000,1762897677000,1545,0,-,55.8,0.0,3211264,5640192,3211264,5644288,714693,4919,281,18,32768,16384,15,0,/input/data/work/9a/8eca591fa84c12def641639fa7c5db,true,-
-,2,siena07,f8/341ddf,nf-f8341ddfa553c6539f2e80748319fedf-f23b7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1762897675335,1762897675000,1762897690000,14665,14000,-,82.5,0.6,1174671360,1186750464,1174671360,1186754560,4064230329,838279375,496318,104481,5857280,838287360,314,747,/input/data/work/f8/341ddfa553c6539f2e80748319fedf,true,-
-,1,siena13,bb/9ec8c7,nf-bb9ec8c7d130f3b9ed8b7508cb2dad86-f23b7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1762897675638,1762897679000,1762897691000,15362,12000,-,89.2,0.0,4878336,12550144,4878336,12554240,3147404989,5958,48263,20,8204288,16384,42,740,/input/data/work/bb/9ec8c7d130f3b9ed8b7508cb2dad86,true,-
-,13,siena12,ed/fef088,nf-edfef0887c8a7ffa5890391fa4096f52-3ab6a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897686146,1762897693000,1762897766000,79854,72000,-,202.1,0.6,1217605632,5049618432,1219706880,5114634240,1740147647,3670769,3365679,11272,11452416,4259840,70,1,/input/data/work/ed/fef0887c8a7ffa5890391fa4096f52,true,-
-,5,siena14,0c/766cea,nf-0c766ceac4802f4b05ffc8eed0c2c258-ac6e3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897684234,1762897686000,1762897790000,105766,103000,-,201.8,0.6,1144025088,4977262592,1144832000,5044375552,2508434496,3693316,4866149,11269,24698880,4390912,81,13,/input/data/work/0c/766ceac4802f4b05ffc8eed0c2c258,true,-
-,9,siena07,63/5df598,nf-635df598389d66cdd11b948a2c173a36-a3a8b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897685432,1762897686000,1762897790000,104568,103000,-,199.8,0.6,1146531840,4977262592,1148379136,5044375552,2508435059,3693316,4866150,11269,50995200,4415488,119,0,/input/data/work/63/5df598389d66cdd11b948a2c173a36,true,-
-,10,siena14,fa/b449a9,nf-fab449a93acca445f961a06d0a51503b-4e87c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897686040,1762897687000,1762897791000,104960,103000,-,202.8,0.5,1094524928,4765052928,1094852608,4766253056,2589106541,3695792,5023746,11312,0,4382720,12,1,/input/data/work/fa/b449a93acca445f961a06d0a51503b,true,-
-,7,siena12,85/44a9bf,nf-8544a9bf35ab2f63e03a788156305f5f-100f5,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897685224,1762897693000,1762897798000,112776,104000,-,200.4,0.5,1095270400,4765052928,1095626752,4832165888,2508614249,3693316,4866317,11353,0,4407296,7,3,/input/data/work/85/44a9bf35ab2f63e03a788156305f5f,true,-
-,17,siena07,f2/0aa1d8,nf-f20aa1d8ee1bf31ffb639e659ea99fc7-3ab26,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897686344,1762897686000,1762897809000,122656,122000,-,200.6,0.6,1212063744,5049618432,1218068480,5053841408,2978873066,3686630,5784997,11254,0,4493312,4,2,/input/data/work/f2/0aa1d8ee1bf31ffb639e659ea99fc7,true,-
1354760192,50,siena07,84/7c6904,nf-847c6904b7bf15bc9790d2fbc7bff7ce-9c41b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1762897689432,1762897769000,1762897831000,141568,61000,-,204.0,0.5,1093562368,4696891392,1094152192,4764004352,1417785060,3669192,2736062,11226,0,4280320,5,1,/input/data/work/84/7c6904b7bf15bc9790d2fbc7bff7ce,true,-
