cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena09,e9/03fa35,nf-e903fa3521fc84014bcea966845c46c9-7eb92,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1769051323474,1769051328000,1769051329000,5526,0,-,63.7,0.0,3293184,5640192,3293184,5644288,714489,4918,283,19,5345280,16384,1,0,/input/data/work/e9/03fa3521fc84014bcea966845c46c9,true,-
-,-,2,siena07,b7/02ac63,nf-b702ac639390227f82a361377e416f44-7eb92,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1769051323274,1769051323000,1769051340000,16726,15000,-,78.1,0.5,957382656,968507392,957382656,968511488,4064230137,838279375,496320,104482,5857280,838287360,279,746,/input/data/work/b7/02ac639390227f82a361377e416f44,true,-
-,-,1,siena13,3b/402eb0,nf-3b402eb0428049efb395ee841110bf65-7eb92,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1769051323578,1769051325000,1769051339000,15422,13000,-,86.8,0.0,4788224,12550144,4788224,12554240,3147404779,5957,48265,21,8192000,16384,40,705,/input/data/work/3b/402eb0428049efb395ee841110bf65,true,-
-,-,11,siena15,cc/f0a0f7,nf-ccf0a0f7c8e52b19cbc7fe0a35cd1c6c-882ee,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051334378,1769051338000,1769051412000,77622,72000,-,202.9,0.6,1219661824,5049618432,1222082560,5054046208,1740147224,3670769,3365680,11315,55054336,4259840,127,3,/input/data/work/cc/f0a0f7c8e52b19cbc7fe0a35cd1c6c,true,-
-,-,14,siena14,06/af5f57,nf-06af5f5799cb6b4978a001b007d2386e-76caa,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051334347,1769051338000,1769051430000,95653,90000,-,201.0,0.5,1093726208,4765052928,1094184960,4766031872,2183676760,3676839,4231881,11279,23212032,4333568,12,4,/input/data/work/06/af5f5799cb6b4978a001b007d2386e,true,-
-,-,9,siena07,d3/cc6e97,nf-d3cc6e975e3d5b14ebca1a94542795b3-f43cd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051333550,1769051334000,1769051439000,105450,103000,-,202.3,0.5,1094443008,4833214464,1094778880,4900327424,2508434104,3693316,4866150,11354,50995200,4407296,118,0,/input/data/work/d3/cc6e975e3d5b14ebca1a94542795b3,true,-
-,-,5,siena14,63/c97fc8,nf-63c97fc83759b1cfddc474f4d5939d8f-6ded6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051332257,1769051338000,1769051443000,110743,103000,-,200.2,0.6,1210384384,5117779968,1210384384,5184892928,2508434043,3693315,4866149,11312,27762688,4399104,121,0,/input/data/work/63/c97fc83759b1cfddc474f4d5939d8f,true,-
-,-,7,siena15,90/fd48c4,nf-90fd48c493503ecb21124658b67792cf-6ded6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051332666,1769051338000,1769051443000,110334,103000,-,200.1,0.6,1214840832,5117779968,1214840832,5180698624,2508434057,3693316,4866150,11270,139264,4435968,7,2,/input/data/work/90/fd48c493503ecb21124658b67792cf,true,-
-,-,10,siena09,08/0da5a2,nf-080da5a2c21e6fa8fe166abe9e57a4f2-910c6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051333858,1769051338000,1769051447000,113142,107000,-,201.4,0.6,1205899264,5049618432,1208176640,5054234624,2589106058,3695792,5023749,11313,37625856,4382720,125,9,/input/data/work/08/0da5a2c21e6fa8fe166abe9e57a4f2,true,-
-,-,18,siena09,32/9c5688,nf-329c5688f157dcdf211aa152ef6b3a40-67221,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1769051334847,1769051338000,1769051453000,118153,113000,-,201.3,0.6,1191161856,5181747200,1191161856,5248860160,2677431850,3684426,5196252,11298,4198400,4440064,12,11,/input/data/work/32/9c5688f157dcdf211aa152ef6b3a40,true,-
