cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena07,a7/c3ca8d,nf-a7c3ca8d7bbf6de387a84c709d51600a-71244,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768632723257,1768632723000,1768632724000,743,0,-,62.7,0.0,13705216,23158784,13705216,23162880,714314,4917,283,19,8192,16384,4,1,/input/data/work/a7/c3ca8d7bbf6de387a84c709d51600a,true,-
-,-,1,siena13,a8/22242e,nf-a822242e28edad1b595fd35c40b8fb95-71244,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1768632723566,1768632727000,1768632740000,16434,13000,-,83.1,0.0,4808704,12550144,4808704,12554240,3147404598,5956,48265,21,8192000,16384,54,675,/input/data/work/a8/22242e28edad1b595fd35c40b8fb95,true,-
-,-,3,siena09,34/89f7e6,nf-3489f7e66bc2fc7f07cb011df3d3dd39-71244,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768632723449,1768632731000,1768632746000,22551,14000,-,80.1,0.6,1174822912,1186750464,1174822912,1186754560,4064229908,838279374,496320,104482,5808128,838287360,295,948,/input/data/work/34/89f7e66bc2fc7f07cb011df3d3dd39,true,-
-,-,13,siena12,3d/f397ef,nf-3df397ef7ede31dedd41b063dec8f415-d14e8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632729166,1768632735000,1768632809000,79834,72000,-,200.3,0.6,1216954368,5049618432,1226338304,5076480000,1740147002,3670768,3365680,11231,32616448,4276224,138,1,/input/data/work/3d/f397ef7ede31dedd41b063dec8f415,true,-
-,-,15,siena09,10/67288d,nf-1067288da84111453d6e2d41fd74f2fb-15a25,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632729468,1768632731000,1768632823000,93532,90000,-,200.6,0.5,1094287360,4765052928,1094651904,4766695424,2183677280,3676838,4231884,11279,19668992,4366336,12,9,/input/data/work/10/67288da84111453d6e2d41fd74f2fb,true,-
-,-,6,siena12,cc/548c40,nf-cc548c407036cce28482a96622e436f5-29e8f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632727858,1768632735000,1768632839000,111142,102000,-,200.9,0.6,1201160192,5049618432,1205665792,5054070784,2508433834,3693314,4866149,11354,18386944,4411392,132,2,/input/data/work/cc/548c407036cce28482a96622e436f5,true,-
-,-,8,siena09,b9/d39a69,nf-b9d39a69de54bd3b117cd7ea1dcc612e-f58cf,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632728550,1768632730000,1768632837000,108450,105000,-,200.6,0.5,1096540160,4765052928,1096540160,4765519872,2508433797,3693315,4866150,11312,35524608,4415488,126,6,/input/data/work/b9/d39a69de54bd3b117cd7ea1dcc612e,true,-
-,-,7,siena11,39/6f298d,nf-396f298d245f66b5fe667763539b6473-29e8f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632727558,1768632736000,1768632844000,116442,106000,-,195.2,0.5,1093488640,4901376000,1093599232,4902305792,2508433989,3693317,4866150,11354,36069376,4390912,143,2,/input/data/work/39/6f298d245f66b5fe667763539b6473,true,-
-,-,12,siena11,8b/f5220a,nf-8bf5220a6146462a777552ff9c9be50e-18a11,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632728948,1768632736000,1768632847000,118052,109000,-,195.4,0.5,1091571712,4833214464,1091915776,4900327424,2589233838,3695793,5023866,11229,14905344,4464640,136,5,/input/data/work/8b/f5220a6146462a777552ff9c9be50e,true,-
2.003,1361051648,50,siena07,18/b8202e,nf-18b8202e4d29ecb3331a778b771bb6bc-f1b37,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768632734655,1768632812000,1768632876000,141345,62000,-,203.4,0.6,1188048896,5117779968,1188585472,5180698624,1417783663,3669191,2736061,11269,59748352,4222976,119,2,/input/data/work/18/b8202e4d29ecb3331a778b771bb6bc,true,-
