cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena13,f7/bf4541,nf-f7bf4541dbc5e7ecb861f599f2694e83-7e298,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762844775627,1762844783000,1762844791000,15373,3000,-,2.2,0.0,3231744,5640192,3231744,5644288,714691,4921,283,19,8192,16384,2,2,/input/data/work/f7/bf4541dbc5e7ecb861f599f2694e83,true,-
-,-,1,siena07,41/0affd3,nf-410affd3bbbfe789cbe32a67079c4ab7-7e298,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762844775228,1762844775000,1762844792000,16772,15000,-,80.7,0.4,881123328,892440576,881123328,892444672,4064230329,838279378,496320,104482,6770688,838287360,307,2034,/input/data/work/41/0affd3bbbfe789cbe32a67079c4ab7,true,-
-,-,3,siena09,9c/6a4cef,nf-9c6a4cef916b43c5e17db1f27a4570ce-7e298,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762844775441,1762844778000,1762844792000,16559,13000,-,83.6,0.0,4829184,12550144,4829184,12554240,3147404994,5961,48265,21,9547776,16384,45,1615,/input/data/work/9c/6a4cef916b43c5e17db1f27a4570ce,true,-
-,-,49,siena12,8d/18bf26,nf-8d18bf26525f739eb2880550a08e8917-81b0b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844796761,1762844801000,1762844868000,71239,65000,-,193.8,0.2,461209600,3745206272,461336576,3812319232,1417785253,3669195,2736067,11227,64094208,4243456,125,8,/input/data/work/8d/18bf26525f739eb2880550a08e8917,true,-
-,-,82,siena15,24/9786dd,nf-249786dd4938a8b1d06c799135210148-bf1b5,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762844799046,1762844800000,1762844868000,68954,64000,-,94.0,0.6,1189392384,1522294784,1190846464,1522298880,4568156635,1562136155,522506,3509960,58851328,1562165248,157,4156,/input/data/work/24/9786dd4938a8b1d06c799135210148,true,-
-,-,11,siena15,d8/bd245d,nf-d8bd245dd6861a6adf66697aa1f9264a-d6e3e,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844794632,1762844800000,1762844882000,87368,80000,-,195.6,0.2,459436032,3677044736,459436032,3678023680,1740182319,3670770,3365699,11273,32915456,4640768,6,2,/input/data/work/d8/bd245dd6861a6adf66697aa1f9264a,true,-
-,-,79,siena12,26/5078d9,nf-265078d9027ddb8c56144568e727f3d9-96731,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844798645,1762844802000,1762844887000,88355,83000,-,195.8,0.3,533065728,3825287168,535560192,3825291264,1831961073,3672472,3544945,11226,4194304,4313088,11,10,/input/data/work/26/5078d9027ddb8c56144568e727f3d9,true,-
-,-,14,siena09,fd/a1fc72,nf-fda1fc72e6203ad025f5205816e636f2-4a45c,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844794844,1762844795000,1762844893000,98156,96000,-,196.5,0.2,463245312,3677044736,463245312,3744157696,2183680000,3676843,4231893,11237,60059648,4354048,122,10,/input/data/work/fd/a1fc72e6203ad025f5205816e636f2,true,-
-,-,32,siena14,18/12c3d1,nf-1812c3d1aac5faf5422bc2ab581ab1ef-3be18,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844795840,1762844798000,1762844901000,105160,101000,-,195.1,0.2,460324864,3677044736,460324864,3677052928,2257093803,3675342,4375162,11285,53166080,4362240,12,6,/input/data/work/18/12c3d1aac5faf5422bc2ab581ab1ef,true,-
-,-,7,siena07,4a/6c2102,nf-4a6c2102051ce464ca524536be079725-ee6ff,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762844794125,1762844794000,1762844909000,114875,113000,-,195.7,0.3,523960320,3891351552,525991936,3956367360,2508436595,3693319,4866159,11270,60162048,4423680,119,0,/input/data/work/4a/6c2102051ce464ca524536be079725,true,-
