task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
1,siena07,33/38e824,nf-3338e8247146b45943c2bcb8c58117e4-188d4,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762773757341,1762773758000,1762773758000,659,0,-,43.9,0.0,12816384,18079744,12816384,20443136,714689,4918,281,18,8192,16384,2,0,wow://input/data/work/33/38e8247146b45943c2bcb8c58117e4,true,-,-,-,57,417
2,siena07,2e/571a9f,nf-2e571a9fd282df615c6af7ff20059ea3-188d4,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762773757727,1762773758000,1762773771000,13273,13000,-,84.8,0.0,4833280,12550144,4833280,12554240,3147404988,5957,48263,20,8192000,16384,126,472,wow://input/data/work/2e/571a9fd282df615c6af7ff20059ea3,true,-,-,-,6,183
3,siena07,7d/0d5eec,nf-7d0d5eec38b584051f9e6d9f0b23b575-188d4,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762773757536,1762773758000,1762773774000,16464,16000,-,89.2,0.5,1031176192,1043005440,1031176192,1043009536,4064230324,838279375,496318,104481,77824,838291456,1157,8009,wow://input/data/work/7d/0d5eec38b584051f9e6d9f0b23b575,true,-,-,-,6,182
49,siena14,05/3524e6,nf-053524e6d51565a21bba48cb8fd0c987-45ea6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773770950,1762773771000,1762773839000,68050,67000,-,193.9,0.3,554876928,3893448704,561876992,3952836608,1417786504,3669192,2736067,11184,32440320,4239360,12,9,wow://input/data/work/05/3524e6d51565a21bba48cb8fd0c987,true,-,-,-,5,94
11,siena07,b8/433528,nf-b843352807a878b887e3049a712842d0-2b5f9,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773766847,1762773767000,1762773847000,80153,79000,-,197.0,0.2,466309120,3815464960,466309120,3815469056,1740181214,3670769,3365690,11314,29798400,4378624,4,3,wow://input/data/work/b8/43352807a878b887e3049a712842d0,true,-,-,-,5,104
82,siena07,2a/3a8f30,nf-2a3a8f30a1c246e93606f08b7dbc8275-fc49d,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762773779051,1762773779000,1762773844000,64949,65000,-,93.9,0.6,1189208064,1522388992,1190670336,1522393088,4568156782,1562136154,522504,3509959,627646464,1562165248,224,37978,wow://input/data/work/2a/3a8f30a1c246e93606f08b7dbc8275,true,-,-,-,4,101
78,siena11,4d/3739d0,nf-4d3739d01e9da40dbed510840dfc43d9-46eec,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773773638,1762773774000,1762773857000,83362,82000,-,196.8,0.3,557555712,3961610240,559435776,3988471808,1832087809,3672467,3545058,11267,33005568,4288512,11,11,wow://input/data/work/4d/3739d01e9da40dbed510840dfc43d9,true,-,-,-,5,62
14,siena07,70/5c08b5,nf-705c08b5d2bfb3d3e9b39dc1459e05e5-a3dd1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773766736,1762773767000,1762773866000,99264,98000,-,195.0,0.3,519839744,4029771776,520355840,4056633344,2183679016,3676840,4231885,11320,0,4485120,4,2,wow://input/data/work/70/5c08b5d2bfb3d3e9b39dc1459e05e5,true,-,-,-,4,95
31,siena13,60/df892b,nf-60df892b44726f217f1979422ee3ed87-2b0b6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773769032,1762773769000,1762773872000,102968,102000,-,195.6,0.3,546050048,3961610240,549642240,3966226432,2256975937,3675339,4375048,11242,57421824,4362240,127,6,wow://input/data/work/60/df892b44726f217f1979422ee3ed87,true,-,-,-,92,98
4,siena07,3c/55bede,nf-3c55bede039789c82fa7ead2aa267a5d-71ee2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762773765127,1762773765000,1762773880000,114873,114000,-,194.7,0.3,528359424,3897233408,528359424,3954270208,2508436046,3693315,4866153,11353,11657216,4583424,68,1,wow://input/data/work/3c/55bede039789c82fa7ead2aa267a5d,true,-,-,-,77,203
