task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
3,siena07,e8/0326dd,nf-e80326dd17f74bb8f3db11c6f92833b4-8f24b,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762753421835,1762753422000,1762753422000,165,0,-,73.3,0.0,13578240,23158784,13578240,23162880,714686,4918,281,18,32768,16384,10,4,wow://input/data/work/e8/0326dd17f74bb8f3db11c6f92833b4,true,-,-,-,5,190
1,siena07,e6/104643,nf-e6104643987a1f89ff36f94b667d533c-8f24b,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762753421638,1762753422000,1762753435000,13362,13000,-,90.5,0.0,4743168,12550144,4743168,12554240,3147404988,5957,48263,20,8200192,16384,38,214,wow://input/data/work/e6/104643987a1f89ff36f94b667d533c,true,-,-,-,7,104
2,siena07,3a/11da3e,nf-3a11da3e37a656b36e9c47822afb79c5-8f24b,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762753421445,1762753422000,1762753440000,18555,18000,-,83.7,0.6,1172602880,1186750464,1172611072,1186754560,4064230325,838279375,496318,104481,8761344,838291456,823,9132,wow://input/data/work/3a/11da3e37a656b36e9c47822afb79c5,true,-,-,-,189,412
48,siena14,16/2f9b97,nf-162f9b97897270c73d49532ae222210d-23fa6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753435342,1762753436000,1762753502000,66658,65000,-,196.1,0.2,457129984,3745206272,457703424,3812319232,1417785990,3669192,2736065,11268,32595968,4239360,10,5,wow://input/data/work/16/2f9b97897270c73d49532ae222210d,true,-,-,-,12,97
82,siena07,95/a66211,nf-95a66211469169e3ba821b280bcdfb2a-26782,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762753443555,1762753444000,1762753510000,66445,66000,-,94.7,0.6,1189187584,1522274304,1190526976,1522278400,4568156781,1562136154,522504,3509959,627298304,1562185728,181,34786,wow://input/data/work/95/a66211469169e3ba821b280bcdfb2a,true,-,-,-,3,115
11,siena07,69/4370ce,nf-694370ce800bd2ba70eb633adeec27c8-5e6b6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753431037,1762753431000,1762753516000,84963,84000,-,193.7,0.3,556531712,3961610240,559759360,3969445888,1740182237,3670769,3365693,11230,37199872,4423680,4,8,wow://input/data/work/69/4370ce800bd2ba70eb633adeec27c8,true,-,-,-,4,88
78,siena11,64/265ede,nf-64265ede6ed46f3d090a846c0448e387-8a58f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753438426,1762753439000,1762753521000,82574,81000,-,196.4,0.3,567058432,3961610240,570609664,3966218240,1832088833,3672467,3545060,11225,32514048,4288512,11,7,wow://input/data/work/64/265ede6ed46f3d090a846c0448e387,true,-,-,-,5,96
14,siena07,57/c686e1,nf-57c686e1f06019377cb6ef143ad6d553-4d408,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753431243,1762753432000,1762753535000,103757,102000,-,195.5,0.3,553312256,4029771776,553701376,4029775872,2183681064,3676840,4231894,11278,0,4517888,4,2,wow://input/data/work/57/c686e1f06019377cb6ef143ad6d553,true,-,-,-,5,98
30,siena09,4b/101096,nf-4b1010965ec4f95c58b001426601f525-fd1db,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753433031,1762753433000,1762753539000,105969,105000,-,195.3,0.3,514789376,3959513088,515788800,4024528896,2256976181,3675339,4375050,11242,32575488,4374528,9,11,wow://input/data/work/4b/1010965ec4f95c58b001426601f525,true,-,-,-,5,91
4,siena07,91/d2fbcd,nf-91d2fbcd5a3a770f111c5adbf0cfbdc2-7a38a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753429243,1762753429000,1762753547000,117757,117000,-,196.0,0.2,457936896,3745206272,458383360,3812319232,2508436300,3693315,4866155,11269,31748096,4583424,118,1,wow://input/data/work/91/d2fbcd5a3a770f111c5adbf0cfbdc2,true,-,-,-,8,110
41,siena13,15/cd2c0e,nf-15cd2c0efa6218fbe10600a819daf12f-977d3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753434439,1762753435000,1762753548000,113561,112000,-,196.2,0.3,545927168,3893448704,547192832,3956367360,2508183562,3695800,4865506,11322,0,4411392,12,10,wow://input/data/work/15/cd2c0efa6218fbe10600a819daf12f,true,-,-,-,5,92
45,siena14,f7/606f5b,nf-f7606f5b57568cf4a99aa6fafb8de8c0-6a54f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753435032,1762753435000,1762753544000,108968,108000,-,196.2,0.3,540819456,4025577472,540819456,4092690432,2401598149,3695702,4657386,11266,31461376,4460544,126,3,wow://input/data/work/f7/606f5b57568cf4a99aa6fafb8de8c0,true,-,-,-,75,102
6,siena07,ee/6c616b,nf-ee6c616bb6977bfa6e1932dc0ec8cad3-a3d39,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753429532,1762753430000,1762753549000,119468,118000,-,194.8,0.3,554168320,3825287168,554168320,3829149696,2508436302,3693316,4866154,11269,4096,4632576,4,64,wow://input/data/work/ee/6c616bb6977bfa6e1932dc0ec8cad3,true,-,-,-,6,200
10,siena07,ee/9781f7,nf-ee9781f72d98f07e21d9b7543b059b57-12dbe,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753430227,1762753430000,1762753552000,121773,121000,-,197.1,0.2,459694080,3677044736,460283904,3678670848,2589108858,3695792,5023755,11270,0,4706304,4,2,wow://input/data/work/ee/9781f72d98f07e21d9b7543b059b57,true,-,-,-,13,187
7,siena07,45/a68c08,nf-45a68c08158570cc58d613b6f1158fa9-8127b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753430526,1762753430000,1762753548000,117474,116000,-,196.0,0.2,460423168,3677044736,460423168,3677052928,2508570502,3693316,4866280,11353,0,4562944,8,3,wow://input/data/work/45/a68c08158570cc58d613b6f1158fa9,true,-,-,-,6,292
19,siena09,0b/be357b,nf-0bbe357b34c3ee85729e5555d35e0ac6-038f8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753431746,1762753432000,1762753549000,117254,116000,-,196.3,0.2,464625664,3745206272,464625664,3745214464,2518978938,3693324,4886779,11306,31461376,4452352,125,8,wow://input/data/work/0b/be357b34c3ee85729e5555d35e0ac6,true,-,-,-,5,86
34,siena13,e1/18b262,nf-e118b262bdb2c48080fc67be80a83142-3d4ad,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753433345,1762753434000,1762753549000,115655,114000,-,196.7,0.2,458809344,3815464960,458809344,3880480768,2559992594,3690880,4966875,11261,31461376,4481024,126,10,wow://input/data/work/e1/18b262bdb2c48080fc67be80a83142,true,-,-,-,5,103
38,siena13,12/c79201,nf-12c7920165cd077a78cb6e6680f413f4-34a57,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753433926,1762753434000,1762753548000,114074,113000,-,195.9,0.3,563798016,3893448704,568340480,3963928576,2508436613,3694703,4866185,11269,33017856,4415488,12,7,wow://input/data/work/12/c7920165cd077a78cb6e6680f413f4,true,-,-,-,4,175
39,siena13,37/a47e56,nf-37a47e5616531a3715405ab8b47ab83b-5f16a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753434131,1762753434000,1762753550000,115869,115000,-,196.9,0.2,481841152,3887157248,483360768,3950739456,2544325631,3679549,4936285,11209,4198400,4472832,12,11,wow://input/data/work/37/a47e5616531a3715405ab8b47ab83b,true,-,-,-,5,84
17,siena07,38/9e7145,nf-389e7145c21bc8625d24fb60e7287efc-7b47b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753431654,1762753432000,1762753555000,123346,122000,-,196.9,0.3,548986880,4029771776,553746432,4094787584,2677434904,3684426,5196260,11213,0,4759552,4,6,wow://input/data/work/38/9e7145c21bc8625d24fb60e7287efc,true,-,-,-,85,22
27,siena09,4e/20a161,nf-4e20a161e43bca4dbaddd73b6ce4cc8c-0ad49,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762753432824,1762753433000,1762753555000,122176,121000,-,194.6,0.3,516222976,3959513088,517058560,4022431744,2627197173,3685678,5098141,11306,0,4489216,12,8,wow://input/data/work/4e/20a161e43bca4dbaddd73b6ce4cc8c,true,-,-,-,6,92
