cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,3c/ad865d,nf-3cad865d372f1f68382a8bda6db83164-cb6c7,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1762793987150,1762793987000,1762793989000,1850,1000,-,49.7,0.0,10887168,16375808,10887168,20443136,714691,4921,283,19,5353472,16384,51,2,wow://input/data/work/3c/ad865d372f1f68382a8bda6db83164,true,-
-,3,siena07,8b/4120a9,nf-8b4120a981909de5fc71b4f14e27ef0d-cb6c7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1762793987027,1762793987000,1762794000000,12973,12000,-,91.8,0.0,6488064,12550144,6488064,12554240,3147404991,5960,48265,21,8192000,16384,37,277,wow://input/data/work/8b/4120a981909de5fc71b4f14e27ef0d,true,-
-,2,siena07,df/d7c333,nf-dfd7c333d34f89283de1cce55ad302eb-cb6c7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1762793987345,1762793987000,1762794004000,16655,15000,-,88.3,0.5,1031827456,1043791872,1031827456,1043795968,4064230327,838279378,496320,104482,565248,838291456,191,2156,wow://input/data/work/df/d7c333d34f89283de1cce55ad302eb,true,-
-,49,siena14,e3/f81d6a,nf-e3f81d6a003ec5dfe1ad1ec63a50fc0b-fa448,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762794000944,1762794001000,1762794070000,69056,67000,-,195.7,0.3,569298944,3961610240,569298944,3963125760,1417786252,3669195,2736069,11311,28454912,4255744,12,8,wow://input/data/work/e3/f81d6a003ec5dfe1ad1ec63a50fc0b,true,-
-,82,siena07,3c/62f032,nf-3c62f032f0e0877e43004326475f0a91-c2d7a,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1762794008662,1762794009000,1762794073000,64338,64000,-,94.1,0.6,1189425152,1522290688,1190748160,1522294784,4568156785,1562136157,522506,3509960,628740096,1562181632,176,41128,wow://input/data/work/3c/62f032f0e0877e43004326475f0a91,true,-
-,11,siena07,78/3f50e2,nf-783f50e2fabf37a9b0e1a515a3f067dc-50316,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793996149,1762793996000,1762794078000,81851,80000,-,195.1,0.2,473432064,3818995712,473432064,3819728896,1740181984,3670772,3365694,11231,19636224,4435968,4,3,wow://input/data/work/78/3f50e2fabf37a9b0e1a515a3f067dc,true,-
-,77,siena11,bc/37522d,nf-bc37522dcebfe59786619b7ac536f4ff-5b9f7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762794003155,1762794003000,1762794087000,83845,81000,-,195.4,0.3,569348096,4029771776,576086016,4096884736,1832093190,3672470,3545067,11268,33292288,4288512,12,12,wow://input/data/work/bc/37522dcebfe59786619b7ac536f4ff,true,-
-,14,siena07,59/32061a,nf-5932061af9f683ae61923a86c2f18802-96fcc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793996250,1762793996000,1762794098000,101750,99000,-,195.5,0.2,464273408,3951788032,464461824,4018900992,2183896932,3676843,4232096,11279,0,4517888,4,2,wow://input/data/work/59/32061af9f683ae61923a86c2f18802,true,-
-,32,siena13,5b/f91176,nf-5bf9117643aec96ea8dd0ddb12040eeb-a6419,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793998731,1762793999000,1762794103000,104269,102000,-,195.9,0.3,560095232,4029771776,564486144,4094787584,2256976452,3675342,4375053,11243,61644800,4358144,125,9,wow://input/data/work/5b/f9117643aec96ea8dd0ddb12040eeb,true,-
-,5,siena07,39/1e0dbd,nf-391e0dbd996e6235449d3cbf817193ca-5afc8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793994634,1762793995000,1762794109000,114366,112000,-,195.3,0.3,532836352,3893448704,534069248,3948642304,2508435536,3693318,4866154,11312,31326208,4587520,118,1,wow://input/data/work/39/1e0dbd996e6235449d3cbf817193ca,true,-
-,8,siena07,f5/79fb76,nf-f579fb7629b9245a91457c3736fd82f4-5afc8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793994925,1762793995000,1762794110000,115075,112000,-,196.7,0.3,563875840,3961610240,564953088,3964538880,2508436049,3693319,4866156,11270,32768,4583424,4,1,wow://input/data/work/f5/79fb7629b9245a91457c3736fd82f4,true,-
-,9,siena07,df/0365d1,nf-df0365d116487552ff30d0df99b182fc-922fa,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1762793995531,1762793996000,1762794109000,113469,111000,-,196.5,0.3,569376768,4029771776,576991232,4096884736,2508436304,3693319,4866157,11270,0,4571136,4,4,wow://input/data/work/df/0365d116487552ff30d0df99b182fc,true,-
