cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena07,0a/5b8069,nf-0a5b8069583997a013ce12d6ed2a5a86-539a1,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768615065078,1768615065000,1768615066000,922,0,-,72.5,0.0,12771328,18079744,12771328,20443136,714306,4917,283,19,8192,16384,2,2,wow://input/data/work/0a/5b8069583997a013ce12d6ed2a5a86,true,-
-,2,siena07,34/67db91,nf-3467db9101aa9c3e2bb74107ecb1deae-539a1,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1768615064756,1768615065000,1768615077000,12244,11000,-,92.6,0.0,6471680,12550144,6471680,12554240,3147404605,5956,48265,21,8192000,16384,26,124,wow://input/data/work/34/67db9101aa9c3e2bb74107ecb1deae,true,-
-,1,siena07,7c/a85a00,nf-7ca85a0099e83d069cfc4480a4a8e96f-539a1,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768615064961,1768615065000,1768615081000,16039,15000,-,81.3,0.4,877551616,887984128,877551616,887988224,4064229941,838279374,496320,104482,233472,838287360,2182,9836,wow://input/data/work/7c/a85a0099e83d069cfc4480a4a8e96f,true,-
-,11,siena12,9b/c9ae67,nf-9bc9ae673ee616b806548e2f6880d542-8de65,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615069758,1768615070000,1768615144000,74242,72000,-,202.6,0.6,1220313088,4913295360,1220792320,4917084160,1740147480,3670768,3365681,11315,50995200,4259840,127,1,wow://input/data/work/9b/c9ae673ee616b806548e2f6880d542,true,-
-,14,siena12,bb/1ba67d,nf-bb1ba67d3d8c48fe1156b3f571b4ece9-ca016,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615069951,1768615070000,1768615162000,92049,90000,-,203.1,0.5,1093091328,4833214464,1093533696,4898230272,2183678305,3676838,4231886,11279,0,4358144,12,8,wow://input/data/work/bb/1ba67d3d8c48fe1156b3f571b4ece9,true,-
-,4,siena07,a1/fba755,nf-a1fba755cd28f6d0e136318aea68be93-307a8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615068057,1768615068000,1768615174000,105943,104000,-,201.4,0.5,1096736768,4833214464,1096736768,4900327424,2508434388,3693314,4866149,11270,50962432,4456448,116,1,wow://input/data/work/a1/fba755cd28f6d0e136318aea68be93,true,-
-,8,siena14,d1/af41ec,nf-d1af41ec869f0b2d68814905c8c96ae6-b35b0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615069156,1768615069000,1768615171000,101844,100000,-,202.3,0.5,1094238208,4765052928,1094561792,4766261248,2508433798,3693315,4866148,11270,23834624,4374528,13,10,wow://input/data/work/d1/af41ec869f0b2d68814905c8c96ae6,true,-
-,6,siena07,a5/cb1b97,nf-a5cb1b97cb06de68ed450f942bfa1985-307a8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615068349,1768615068000,1768615175000,106651,105000,-,199.2,0.5,1100746752,4903473152,1100746752,4968488960,2508434388,3693315,4866151,11270,0,4452352,4,0,wow://input/data/work/a5/cb1b97cb06de68ed450f942bfa1985,true,-
-,10,siena14,a9/19b5e6,nf-a919b5e64807972e38a5dd3f1666c758-da0b7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615068956,1768615069000,1768615176000,107044,105000,-,200.5,0.5,1091489792,4765052928,1091837952,4766253056,2589106356,3695791,5023748,11271,31358976,4403200,125,9,wow://input/data/work/a9/19b5e64807972e38a5dd3f1666c758,true,-
2.025,73,siena12,ae/6aac17,nf-ae6aac176a74a02411d80fe487997721-0ceb7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhINFa2b_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhINFa2b_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768615076077,1768615146000,1768615301000,224923,152000,-,200.8,0.6,1194688512,5049618432,1198067712,5076832256,3805237885,3700897,7398993,11325,0,4558848,7,2,wow://input/data/work/ae/6aac176a74a02411d80fe487997721,true,-
