cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,8,siena12,07/2e8dee,nf-072e8dee68f12af6794f7cffe555343a-e64d5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763015164244,1763015165000,1763015168000,3756,1000,-,86.9,0.0,2904064,11575296,2904064,11579392,9302277,37200252,494,1169,0,37253120,1,0,/input/data/work/07/2e8dee68f12af6794f7cffe555343a,true,-
-,6,siena12,9f/a02a4b,nf-9fa02a4bb8fc76494f194d1a0bdb674c-e64d5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763015164563,1763015165000,1763015171000,6437,3000,-,94.3,0.0,9830400,42328064,9830400,42336256,113276510,388442030,1080,11876,2523136,388448256,54,40,/input/data/work/9f/a02a4bb8fc76494f194d1a0bdb674c,true,-
-,12,siena11,a2/152980,nf-a2152980b9d5c252343e0c2991c0ae57-e64d5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763015164651,1763015165000,1763015168000,3349,0,-,92.6,0.0,2793472,11575296,2793472,11579392,11011487,33652573,509,1059,4198400,33701888,5,0,/input/data/work/a2/152980b9d5c252343e0c2991c0ae57,true,-
-,10,siena11,67/74d1b2,nf-6774d1b29483e231a6ccd59e40bd6e00-e64d5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763015164443,1763015165000,1763015172000,7557,4000,-,88.4,0.0,9736192,42328064,9736192,42336256,114386350,435495668,1088,13312,2670592,435499008,165,56,/input/data/work/67/74d1b29483e231a6ccd59e40bd6e00,true,-
-,3,siena09,37/a57b02,nf-37a57b02e4d688659d7e56355c5f8dbb-e64d5,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763015164533,1763015171000,1763015173000,8467,0,-,111.6,0.0,2961408,11575296,2961408,11579392,54355,2607,149,18,0,12288,2,1,/input/data/work/37/a57b02e4d688659d7e56355c5f8dbb,true,-
-,90,siena09,fa/26a994,nf-fa26a99407ef0ab4cb115255db7c6233-115c8,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763015186050,1763015186000,1763015191000,4950,3000,-,105.1,0.1,140513280,6930505728,140513280,7033184256,53571875,119124,7682,35,127913984,147456,2594,23,/input/data/work/fa/26a99407ef0ab4cb115255db7c6233,true,-
-,89,siena11,eb/d35c79,nf-ebd35c79169f266c82f49b18b234d53b-c4a38,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763015186141,1763015186000,1763015189000,2859,0,-,75.4,0.0,2883584,11575296,2883584,11579392,53442,2615,149,59,8388608,180224,5,5,/input/data/work/eb/d35c79169f266c82f49b18b234d53b,true,-
-,92,siena11,04/c20f00,nf-04c20f007cf07243b1a3cdf1716a2967-ec830,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763015216149,1763015217000,1763015218000,1851,0,-,53.2,0.0,3244032,5640192,3244032,5644288,89364,3417,224,48,8396800,16384,3,7,/input/data/work/04/c20f007cf07243b1a3cdf1716a2967,true,-
-,93,siena09,5a/c9a89b,nf-5ac9a89b829a24afab54bff166d5bdbe-ec830,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763015216251,1763015216000,1763015218000,1749,0,-,49.5,0.0,3194880,5640192,3194880,5644288,89372,3416,216,48,1810432,16384,4,3,/input/data/work/5a/c9a89b829a24afab54bff166d5bdbe,true,-
-,94,siena13,6b/66b7fe,nf-6b66b7fe69866ea376ee8271bf1df4dc-68b31,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763015216351,1763015217000,1763015218000,1649,0,-,17.3,0.0,3268608,5640192,3268608,5644288,89396,3411,223,48,0,16384,7,7,/input/data/work/6b/66b7fe69866ea376ee8271bf1df4dc,true,-
