task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
12,siena15,fc/5e91aa,nf-fc5e91aacd7f657bd5dd26efaa720d8e-6e50a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1765999746726,1765999750000,1765999752000,5274,0,-,42.5,0.0,2953216,11575296,2953216,11579392,54442,2604,147,17,0,12288,5,2,/input/data/work/fc/5e91aacd7f657bd5dd26efaa720d8e,true,-,-,-,7,292
7,siena12,58/ec93f3,nf-58ec93f349fdd8c6ca862c6f85c4bfed-6e50a,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765999746940,1765999755000,1765999757000,10060,0,-,68.4,0.0,2908160,11575296,2908160,11579392,11011610,33652572,507,1058,2523136,33701888,2,0,/input/data/work/58/ec93f349fdd8c6ca862c6f85c4bfed,true,-,-,-,5,207
15,siena11,14/fc2639,nf-14fc26392b6aa10ba5142f535c644a2a-f32b0,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765999747251,1765999751000,1765999757000,9749,3000,-,92.9,0.0,9674752,42328064,9674752,42336256,113276664,388442041,1078,11875,7352320,388448256,110,44,/input/data/work/14/fc26392b6aa10ba5142f535c644a2a,true,-,-,-,5,197
9,siena15,ae/f32500,nf-aef325009b2d97edd1dca6f51f74625c-f32b0,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765999747442,1765999751000,1765999757000,9558,4000,-,91.2,0.0,9981952,42328064,9981952,42336256,114386444,435495667,1086,13311,2523136,435499008,47,42,/input/data/work/ae/f325009b2d97edd1dca6f51f74625c,true,-,-,-,6,82
13,siena12,70/269e07,nf-70269e076bc92950291c39dd0558a7dc-f32b0,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1765999747532,1765999755000,1765999757000,9468,0,-,86.7,0.0,2859008,11575296,2859008,11579392,9302392,37200251,492,1168,0,37253120,4,1,/input/data/work/70/269e076bc92950291c39dd0558a7dc,true,-,-,-,5,84
90,siena15,24/330650,nf-2433065007d4f00be6dadf8173b9d0fb-8ab0b,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1765999756146,1765999756000,1765999761000,4854,4000,-,103.7,0.1,141041664,6915846144,141041664,7033196544,53571963,119122,7680,34,123731968,147456,2598,29,/input/data/work/24/33065007d4f00be6dadf8173b9d0fb,true,-,-,-,8,103
89,siena13,5a/41d4a3,nf-5a41d4a3338e6f77d9447e1539e6691c-45354,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1765999756262,1765999757000,1765999759000,2738,1000,-,68.8,0.0,2871296,11575296,2871296,11579392,53598,2614,147,58,4198400,180224,5,5,/input/data/work/5a/41d4a3338e6f77d9447e1539e6691c,true,-,-,-,93,21
93,siena12,65/7e870f,nf-657e870f86882c9e69fbfc02fc20b77b-cfd67,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999763946,1765999764000,1765999764000,54,0,-,57.4,0.0,3268608,5640192,3268608,5644288,89486,3414,222,47,6004736,16384,5,5,/input/data/work/65/7e870f86882c9e69fbfc02fc20b77b,true,-,-,-,5,16
92,siena15,aa/a391fc,nf-aaa391fc45260a4630e3d5f7b349ebc2-5daa1,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999763924,1765999764000,1765999765000,1076,0,-,50.3,0.0,3297280,5640192,3297280,5644288,89459,3416,212,47,6004736,16384,5,6,/input/data/work/aa/a391fc45260a4630e3d5f7b349ebc2,true,-,-,-,5,91
94,siena13,2e/eb8026,nf-2eeb80264453c53733d9de85f6e66fcf-67fa3,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764125,1765999764000,1765999765000,875,1000,-,48.7,0.0,3178496,5640192,3178496,5644288,89521,3391,213,47,1810432,16384,7,6,/input/data/work/2e/eb80264453c53733d9de85f6e66fcf,true,-,-,-,81,96
97,siena07,61/96d948,nf-6196d948c2e95f9dfb7d4c39e66cf6c5-84d60,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,6_1-171115067,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (6_1-171115067),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764253,1765999764000,1765999765000,747,0,-,91.4,0.0,3297280,5640192,3297280,5644288,89526,3380,222,47,1810432,16384,1,1,/input/data/work/61/96d948c2e95f9dfb7d4c39e66cf6c5,true,-,-,-,5,18
95,siena11,aa/0a955c,nf-aa0a955c13ff1ad12512851208200c72-67fa3,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764229,1765999764000,1765999765000,771,0,-,36.2,0.0,3158016,5640192,3158016,5644288,89512,3388,214,47,6012928,16384,7,6,/input/data/work/aa/0a955c13ff1ad12512851208200c72,true,-,-,-,5,97
96,siena15,46/8cf565,nf-468cf565dea6e343c57cd4b2164aa549-84d60,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764345,1765999765000,1765999765000,655,0,-,83.1,0.0,3231744,5640192,3231744,5644288,89458,3383,223,47,4194304,16384,6,8,/input/data/work/46/8cf565dea6e343c57cd4b2164aa549,true,-,-,-,72,18
98,siena12,d6/ed6c07,nf-d6ed6c079db590ae4e0a3decbe09fc94-d9e2a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764444,1765999765000,1765999765000,556,0,-,82.8,0.0,3293184,5640192,3293184,5644288,89486,3374,218,47,4194304,16384,6,7,/input/data/work/d6/ed6c079db590ae4e0a3decbe09fc94,true,-,-,-,4,93
99,siena09,4e/ba5eaf,nf-4eba5eafb17385e6ed0d65a3d42489aa-d9e2a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764541,1765999765000,1765999765000,459,0,-,15.1,0.0,3379200,5640192,3379200,5644288,89512,3371,212,47,6004736,16384,3,3,/input/data/work/4e/ba5eafb17385e6ed0d65a3d42489aa,true,-,-,-,4,91
100,siena13,a9/c729e0,nf-a9c729e0719e7a98bb5f6cd896718550-57928,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764565,1765999765000,1765999765000,435,0,-,53.5,0.0,3227648,5640192,3227648,5644288,89521,3367,215,47,0,16384,7,6,/input/data/work/a9/c729e0719e7a98bb5f6cd896718550,true,-,-,-,5,18
101,siena14,62/397353,nf-62397353562740438c0ca39d4ba99d30-5b516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,9_1-141213431,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (9_1-141213431),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764639,1765999765000,1765999765000,361,0,-,63.2,0.0,3158016,5640192,3158016,5644288,89496,3365,217,47,6004736,16384,6,6,/input/data/work/62/397353562740438c0ca39d4ba99d30,true,-,-,-,5,68
103,siena07,31/764ac3,nf-31764ac3b34998b0fdb6f3363d0cb949-62e53,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,11_1-135006516,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (11_1-135006516),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764735,1765999765000,1765999765000,265,0,-,68.9,0.0,3198976,5640192,3198976,5644288,89531,3354,212,47,4194304,16384,1,0,/input/data/work/31/764ac3b34998b0fdb6f3363d0cb949,true,-,-,-,4,64
104,siena15,c8/34ba22,nf-c834ba22a5347a7ed1930f5c8c229b7f-1553a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,12_1-133851895,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (12_1-133851895),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1765999764757,1765999765000,1765999765000,243,0,-,67.9,0.0,3309568,5640192,3309568,5644288,89465,3353,218,47,4198400,16384,6,8,/input/data/work/c8/34ba22a5347a7ed1930f5c8c229b7f,true,-,-,-,4,17
