task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
8,siena07,5f/273b84,nf-5f273b8435865acddefb147f5c1bb147-4213c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763111230626,1763111231000,1763111232000,1374,0,-,88.1,0.0,9412608,42192896,9412608,42201088,9302295,37200261,492,1168,3158016,37253120,37,1,wow://input/data/work/5f/273b8435865acddefb147f5c1bb147,true,-,-,-,111,685
3,siena07,22/98cf44,nf-2298cf441fe3240fc215de0c318b9962-4213c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763111230937,1763111231000,1763111232000,1063,0,-,184.6,0.0,0,0,0,0,54357,2603,147,17,4096,12288,2,1,wow://input/data/work/22/98cf441fe3240fc215de0c318b9962,true,-,-,-,7,299
10,siena07,ce/10ee46,nf-ce10ee46ae232f85108ba19448d88fc8-4213c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763111231857,1763111232000,1763111233000,1143,0,-,80.4,0.0,9707520,42328064,9707520,42336256,11011498,33652570,507,1058,0,33701888,14,3,wow://input/data/work/ce/10ee46ae232f85108ba19448d88fc8,true,-,-,-,4,22
9,siena07,7e/00771d,nf-7e00771da98864bd0d4d8c8c9197c7e5-4213c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763111231743,1763111232000,1763111238000,6257,4000,-,88.1,0.0,9691136,42328064,9691136,42336256,114386358,435495665,1086,13311,0,435499008,169,211,wow://input/data/work/7e/00771da98864bd0d4d8c8c9197c7e5,true,-,-,-,5,81
12,siena07,10/eb4197,nf-10eb4197c03e79e11a141fe6a3395ca6-4213c,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763111231830,1763111233000,1763111238000,6170,4000,-,83.4,0.0,9621504,42328064,9621504,42336256,113276510,388442027,1078,11875,0,388448256,140,423,wow://input/data/work/10/eb4197c03e79e11a141fe6a3395ca6,true,-,-,-,9,76
89,siena07,5d/65be78,nf-5d65be7821d3190da8853be4bee0e156-c3ff6,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763111239741,1763111241000,1763111243000,3259,0,-,47.1,0.0,2908160,11575296,2908160,11579392,53430,2597,147,58,0,180224,2,1,wow://input/data/work/5d/65be7821d3190da8853be4bee0e156,true,-,-,-,11,163
90,siena14,48/639b98,nf-48639b98fb3e35eb5eff61b14a261142-8d47f,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763111239566,1763111241000,1763111248000,8434,5000,-,83.8,0.1,140955648,6909419520,140955648,7033196544,53571897,119124,7680,34,127909888,147456,2570,198,wow://input/data/work/48/639b98fb3e35eb5eff61b14a261142,true,-,-,-,13,102
92,siena07,48/bdd3b0,nf-48bdd3b07873b7ba572f85724e8b650d-ea24c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763111246948,1763111248000,1763111248000,1052,0,-,60.8,0.0,3334144,5640192,3334144,5644288,89374,3412,214,47,1810432,16384,3,2,wow://input/data/work/48/bdd3b07873b7ba572f85724e8b650d,true,-,-,-,8,109
91,siena15,d9/b8ca16,nf-d9b8ca16563edb98bafd89f7763b19d8-5112d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763111247042,1763111248000,1763111248000,958,0,-,21.3,0.0,3289088,5640192,3289088,5644288,89259,3429,213,47,1810432,16384,1,1,wow://input/data/work/d9/b8ca16563edb98bafd89f7763b19d8,true,-,-,-,12,80
93,siena11,04/f1247a,nf-04f1247a1989fa44a6e5c4364e559e20-8503e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763111247165,1763111248000,1763111249000,1835,0,-,21.5,0.0,3289088,5640192,3289088,5644288,89364,3389,222,47,1810432,16384,1,0,wow://input/data/work/04/f1247a1989fa44a6e5c4364e559e20,true,-,-,-,9,113
