cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,2,siena07,20/922e40,nf-20922e40a58efa00f8fdb58d5f77b71c-d935d,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763074137326,1763074137000,1763074140000,2674,1000,-,81.2,0.0,10035200,42328064,10035200,42336256,9302281,37200252,494,1169,2523136,37253120,29,3,wow://input/data/work/20/922e40a58efa00f8fdb58d5f77b71c,true,-
-,-,15,siena07,26/d43660,nf-26d436602f4c7fee6a9f6103b91d493a-d935d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763074137524,1763074138000,1763074140000,2476,0,-,126.3,0.0,2863104,11575296,2863104,11579392,54360,2606,149,18,0,12288,2,0,wow://input/data/work/26/d436602f4c7fee6a9f6103b91d493a,true,-
-,-,10,siena07,80/c14308,nf-80c1430834c9bcd7835e24bdf0266b85-d935d,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763074137630,1763074138000,1763074140000,2370,0,-,80.9,0.0,9699328,42328064,9699328,42336256,11011500,33652573,509,1059,0,33701888,4,4,wow://input/data/work/80/c1430834c9bcd7835e24bdf0266b85,true,-
-,-,11,siena07,56/3c945e,nf-563c945e3611a8dcd3140f4c265ac1e7-d935d,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763074137856,1763074138000,1763074144000,6144,4000,-,89.0,0.0,9764864,42328064,9764864,42336256,113276510,388442030,1080,11876,0,388448256,136,600,wow://input/data/work/56/3c945e3611a8dcd3140f4c265ac1e7,true,-
-,-,9,siena07,ab/401917,nf-ab40191762306c545def59982b7afbaa-d935d,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763074137943,1763074138000,1763074145000,7057,5000,-,86.3,0.0,9764864,42328064,9764864,42336256,114386359,435495668,1088,13312,4194304,435499008,132,267,wow://input/data/work/ab/40191762306c545def59982b7afbaa,true,-
-,-,90,siena15,80/1a357d,nf-801a357d4c07dc7a9f795928a68d8282-cd0a8,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763074145897,1763074147000,1763074152000,6103,3000,-,98.5,0.1,106438656,6886891520,106438656,6886895616,53571766,119141,7682,35,123715584,147456,1624,11,wow://input/data/work/80/1a357d4c07dc7a9f795928a68d8282,true,-
-,-,89,siena07,76/f8740a,nf-76f8740ac5f5058b35f0c32f31d4285c-0ea31,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763074146083,1763074147000,1763074149000,2917,0,-,87.3,0.0,2727936,11575296,2727936,11579392,53432,2600,149,59,0,180224,2,3,wow://input/data/work/76/f8740ac5f5058b35f0c32f31d4285c,true,-
-,-,93,siena07,dc/c62e3c,nf-dcc62e3c8cd0a005e631ba6f1a4cd4f2-9580e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763074156573,1763074157000,1763074159000,2427,0,-,30.1,0.0,3325952,5640192,3325952,5644288,89375,3415,214,48,0,16384,1,1,wow://input/data/work/dc/c62e3c8cd0a005e631ba6f1a4cd4f2,true,-
-,-,92,siena15,ca/ade4dd,nf-caade4dda0ac106d02c453232eb828cb-9580e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763074156735,1763074158000,1763074160000,3265,0,-,8.0,0.0,3313664,5640192,3313664,5644288,89234,3413,225,48,0,16384,1,1,wow://input/data/work/ca/ade4dda0ac106d02c453232eb828cb,true,-
-,-,95,siena11,ed/e6b3fc,nf-ede6b3fcfe9652afd657d4e4b7aef937-f8fb5,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,4_1-191154276,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (4_1-191154276),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763074156929,1763074158000,1763074160000,3071,0,-,25.3,0.0,3231744,5640192,3231744,5644288,89364,3389,215,48,0,16384,1,0,wow://input/data/work/ed/e6b3fcfe9652afd657d4e4b7aef937,true,-
