cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,30/14caf5,nf-3014caf5eec96b7645406139d1c49ee6-d7805,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763154200737,1763154201000,1763154203000,2263,0,-,69.6,0.0,0,0,0,0,54361,2605,149,18,0,12288,0,0,wow://input/data/work/30/14caf5eec96b7645406139d1c49ee6,true,-
-,5,siena07,90/27db54,nf-9027db5478ee91216ec1c76d28528ac1-d7805,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763154201040,1763154201000,1763154204000,2960,1000,-,82.8,0.0,9654272,42328064,9654272,42336256,9302283,37200252,494,1169,0,37253120,5,3,wow://input/data/work/90/27db5478ee91216ec1c76d28528ac1,true,-
-,13,siena07,ab/da644b,nf-abda644bc99f51bcc85f065187b61a1d-d7805,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763154201243,1763154202000,1763154204000,2757,0,-,77.0,0.0,9764864,42328064,9764864,42336256,11011502,33652573,509,1059,0,33701888,4,5,wow://input/data/work/ab/da644bc99f51bcc85f065187b61a1d,true,-
-,11,siena07,81/38413e,nf-8138413e3558006f38bcc4a68a23125f-d7805,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763154200440,1763154201000,1763154207000,6560,4000,-,88.0,0.0,9936896,42328064,9936896,42336256,114386364,435495668,1088,13312,2523136,435499008,181,471,wow://input/data/work/81/38413e3558006f38bcc4a68a23125f,true,-
-,15,siena07,b3/7fe764,nf-b37fe764f6d15bf064b804e44011319b-d7805,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763154201071,1763154201000,1763154208000,6929,4000,-,86.6,0.0,9658368,42328064,9658368,42336256,113276515,388442030,1080,11876,0,388448256,121,526,wow://input/data/work/b3/7fe764f6d15bf064b804e44011319b,true,-
-,89,siena07,45/a58d78,nf-45a58d78992a6dac109b23d5c0e5b69e-affa7,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763154209191,1763154211000,1763154214000,4809,0,-,38.2,0.0,2834432,11575296,2834432,11579392,53435,2600,149,59,0,180224,3,1,wow://input/data/work/45/a58d78992a6dac109b23d5c0e5b69e,true,-
-,90,siena11,e8/3e691f,nf-e83e691f57327cb6b277057699daf129-afcc6,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763154208953,1763154210000,1763154215000,6047,3000,-,97.7,0.0,98258944,6876340224,98258944,6876344320,53571875,119126,7682,35,123719680,147456,1544,11,wow://input/data/work/e8/3e691f57327cb6b277057699daf129,true,-
-,93,siena07,d9/dec612,nf-d9dec6122cd6dd8ff9a2a9ad6f6a1604-2a238,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763154218585,1763154219000,1763154221000,2415,0,-,59.7,0.0,3354624,5640192,3354624,5644288,89378,3415,214,48,0,16384,3,1,wow://input/data/work/d9/dec6122cd6dd8ff9a2a9ad6f6a1604,true,-
-,92,siena15,1c/c6195d,nf-1cc6195d2a701c3ae791b88014ef15a2-2a238,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763154218745,1763154220000,1763154222000,3255,0,-,16.7,0.0,3342336,5640192,3342336,5644288,89243,3416,215,48,0,16384,1,1,wow://input/data/work/1c/c6195d2a701c3ae791b88014ef15a2,true,-
-,94,siena11,14/4754ab,nf-144754ab12af1a15c45be5b6e10d689b-8a09c,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763154218849,1763154220000,1763154222000,3151,0,-,13.8,0.0,3198976,5640192,3198976,5644288,89368,3392,222,48,0,16384,1,0,wow://input/data/work/14/4754ab12af1a15c45be5b6e10d689b,true,-
-,96,siena11,66/90fee0,nf-6690fee0439d2f6432b33d73926faae4-0d3c1,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763154219399,1763154221000,1763154223000,3601,0,-,13.7,0.0,3194880,5640192,3194880,5644288,89368,3384,225,48,0,16384,1,1,wow://input/data/work/66/90fee0439d2f6432b33d73926faae4,true,-
-,99,siena11,68/532a92,nf-68532a92b318632970197c064d2879a2-381e5,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,X_1-155270560,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (X_1-155270560),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763154219633,1763154222000,1763154224000,4367,0,-,10.0,0.0,3301376,5640192,3301376,5644288,89368,3372,217,48,0,16384,1,0,wow://input/data/work/68/532a92b318632970197c064d2879a2,true,-
