cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,37/727281,nf-377272817006b630621172ab726abde4-c6d1a,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763170705624,1763170706000,1763170708000,2376,0,-,85.4,0.0,9469952,42328064,9469952,42336256,9302284,37200252,494,1169,2523136,37253120,29,2,wow://input/data/work/37/7272817006b630621172ab726abde4,true,-
-,15,siena07,55/17ba18,nf-5517ba189630fe332913fb495c0f66df-c6d1a,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763170706038,1763170706000,1763170709000,2962,1000,-,85.3,0.0,9768960,42328064,9768960,42336256,11011501,33652573,509,1059,0,33701888,4,2,wow://input/data/work/55/17ba189630fe332913fb495c0f66df,true,-
-,3,siena07,a1/39fdb2,nf-a139fdb26fece6ece0d27ed0919ce8fa-c6d1a,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763170706149,1763170706000,1763170708000,1851,0,-,128.0,0.0,0,0,0,0,54363,2606,149,18,0,12288,0,0,wow://input/data/work/a1/39fdb26fece6ece0d27ed0919ce8fa,true,-
-,10,siena07,bf/d4c5af,nf-bfd4c5afe99f71a93a64879ba8bdd7c1-c6d1a,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763170706362,1763170707000,1763170713000,6638,4000,-,86.8,0.0,9863168,42328064,9863168,42336256,113276517,388442030,1080,11876,0,388448256,111,503,wow://input/data/work/bf/d4c5afe99f71a93a64879ba8bdd7c1,true,-
-,11,siena07,bd/8032b6,nf-bd8032b684706058e9c2b19e93a2559f-c6d1a,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763170706333,1763170707000,1763170714000,7667,4000,-,86.4,0.0,9723904,42328064,9723904,42336256,114386363,435495668,1088,13312,0,435499008,108,561,wow://input/data/work/bd/8032b684706058e9c2b19e93a2559f,true,-
-,89,siena07,fb/2d6ba6,nf-fb2d6ba60fdc3cf3001f0c87ed10cb4b-03a3f,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763170715937,1763170717000,1763170720000,4063,0,-,36.2,0.0,2891776,11575296,2891776,11579392,53436,2600,149,59,0,180224,2,1,wow://input/data/work/fb/2d6ba60fdc3cf3001f0c87ed10cb4b,true,-
-,90,siena07,4d/7b7a92,nf-4d7b7a926863c5ca6979f78767359567-1e867,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763170716042,1763170717000,1763170723000,6958,5000,-,94.6,0.1,130379776,6882418688,130379776,7033200640,53571886,119126,7682,35,123744256,147456,2311,145,wow://input/data/work/4d/7b7a926863c5ca6979f78767359567,true,-
-,92,siena15,3a/cba491,nf-3acba4914d82b88ffcbdc6f676bfaa08-00b60,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763170722245,1763170723000,1763170725000,2755,0,-,12.3,0.0,3321856,5640192,3321856,5644288,89245,3414,223,48,0,16384,3,0,wow://input/data/work/3a/cba4914d82b88ffcbdc6f676bfaa08,true,-
-,91,siena11,24/9ea847,nf-249ea847bdc986c45a26fbfcaf26c0eb-5b0f6,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763170722369,1763170724000,1763170726000,3631,0,-,15.1,0.0,3289088,5640192,3289088,5644288,89369,3417,216,48,0,16384,1,1,wow://input/data/work/24/9ea847bdc986c45a26fbfcaf26c0eb,true,-
-,95,siena15,08/c7f784,nf-08c7f784f46a3f0da9ba8b5c320014ef-a65ad,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,5_1-180915260,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (5_1-180915260),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763170722702,1763170724000,1763170726000,3298,1000,-,10.6,0.0,3268608,5640192,3268608,5644288,89245,3383,214,48,0,16384,1,0,wow://input/data/work/08/c7f784f46a3f0da9ba8b5c320014ef,true,-
