cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,13,siena07,4e/26a75b,nf-4e26a75b41348da3ca82e324cf8ee206-f6e35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763138566942,1763138567000,1763138570000,3058,0,-,84.7,0.0,7606272,42192896,7606272,42201088,11011499,33652573,509,1059,0,33701888,4,2,wow://input/data/work/4e/26a75b41348da3ca82e324cf8ee206,true,-
-,2,siena07,7b/7eb476,nf-7b7eb476903b16b6bdd979cf188daa03-f6e35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763138567133,1763138568000,1763138570000,2867,0,-,78.6,0.0,9752576,42328064,9752576,42336256,9302282,37200252,494,1169,0,37253120,4,9,wow://input/data/work/7b/7eb476903b16b6bdd979cf188daa03,true,-
-,15,siena07,76/316899,nf-763168998c63ea7ced335bfe5fc822b3-f6e35,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763138567456,1763138568000,1763138570000,2544,0,-,40.5,0.0,0,0,0,0,54360,2605,149,18,0,12288,0,0,wow://input/data/work/76/3168998c63ea7ced335bfe5fc822b3,true,-
-,8,siena07,b9/690904,nf-b9690904033d8063ba8e0b632aa57361-f6e35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763138566525,1763138567000,1763138573000,6475,4000,-,87.2,0.0,10055680,42328064,10055680,42336256,114386362,435495668,1088,13312,2523136,435499008,183,129,wow://input/data/work/b9/690904033d8063ba8e0b632aa57361,true,-
-,5,siena07,28/6cdbd5,nf-286cdbd5ab96cd4f96a0c966cb1ec6ca-f6e35,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1763138566733,1763138567000,1763138573000,6267,4000,-,88.3,0.0,9732096,42328064,9732096,42336256,113276512,388442030,1080,11876,0,388448256,163,169,wow://input/data/work/28/6cdbd5ab96cd4f96a0c966cb1ec6ca,true,-
-,89,siena07,4d/c271b2,nf-4dc271b2700613d320444a842c7bb316-ac93d,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1763138576046,1763138577000,1763138579000,2954,0,-,110.8,0.0,2981888,11575296,2981888,11579392,53433,2601,149,59,0,180224,2,0,wow://input/data/work/4d/c271b2700613d320444a842c7bb316,true,-
-,90,siena07,cf/134ef8,nf-cf134ef876ed0cf0d556780c7f151a4d-07b47,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1763138575883,1763138577000,1763138582000,6117,4000,-,93.4,0.1,129265664,6863839232,129265664,7033200640,53571883,119126,7682,35,123719680,147456,2250,124,wow://input/data/work/cf/134ef876ed0cf0d556780c7f151a4d,true,-
-,91,siena07,c0/6723dc,nf-c06723dc53cdcc203f2cd6d389dd6fb6-5d1ca,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763138583962,1763138585000,1763138586000,2038,0,-,63.7,0.0,3309568,5640192,3309568,5644288,89377,3417,230,48,1810432,16384,1,1,wow://input/data/work/c0/6723dc53cdcc203f2cd6d389dd6fb6,true,-
-,99,siena07,e2/008871,nf-e20088719bc92c229adf62b2b600f5d4-109c8,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,8_1-146364022,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (8_1-146364022),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763138585128,1763138586000,1763138587000,1872,0,-,45.9,0.0,3309568,5640192,3309568,5644288,89375,3368,224,48,0,16384,1,1,wow://input/data/work/e2/0088719bc92c229adf62b2b600f5d4,true,-
-,92,siena11,e6/dd62a4,nf-e6dd62a44c3782960ae812abd783f288-cc22f,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763138584161,1763138586000,1763138588000,3839,1000,-,34.2,0.0,3231744,5640192,3231744,5644288,89369,3415,218,48,1810432,16384,1,1,wow://input/data/work/e6/dd62a44c3782960ae812abd783f288,true,-
-,93,siena15,ab/db3e95,nf-abdb3e95496298474ea3840cc83c3aa4-6f025,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1763138584337,1763138586000,1763138588000,3663,0,-,11.7,0.0,3198976,5640192,3198976,5644288,89239,3389,225,48,1810432,16384,1,0,wow://input/data/work/ab/db3e95496298474ea3840cc83c3aa4,true,-
