cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena15,82/9fe50f,nf-829fe50fe998a7195e661bcbe969a0f1-82703,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758286925799,1758286934000,1758286937000,11201,0,-,42.9,0.0,2883584,11575296,2883584,11579392,689988,9280,249,19,5029888,20480,2,0,/input/data/work/82/9fe50fe998a7195e661bcbe969a0f1,true,-
-,2,siena14,2d/686c2f,nf-2d686c2fb0a99e9f330a853e9cc87d57-82703,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758286925695,1758286935000,1758286953000,27305,15000,-,80.6,0.0,4870144,12410880,4870144,12414976,3147402941,5953,48263,21,0,16384,12,1431,/input/data/work/2d/686c2fb0a99e9f330a853e9cc87d57,true,-
-,1,siena13,ea/659cbd,nf-ea659cbda6eac09bb36d6e6be9b4d8df-82703,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758286925579,1758286931000,1758286955000,29421,19000,-,94.2,1.4,2854813696,2875842560,2854813696,2875846656,916296120,25693126,112012,3155,208896,25702400,24,669,/input/data/work/ea/659cbda6eac09bb36d6e6be9b4d8df,true,-
-,214,siena09,69/d5a1b9,nf-69d5a1b9626b32841192d11fb9a80a87-abe61,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758286955794,1758286956000,1758286958000,2206,0,-,78.3,0.0,2924544,11575296,2924544,11579392,101934,26547,197,24,7098368,20480,5,5,/input/data/work/69/d5a1b9626b32841192d11fb9a80a87,true,-
-,52,siena07,6d/905c1f,nf-6d905c1f1770956729aeafd06f10b2c5-1c701,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286946778,1758286947000,1758286999000,52222,50000,-,100.0,0.2,402305024,3676913664,402305024,3678220288,610681690,1723939,1158999,5470,0,2117632,3,6,/input/data/work/6d/905c1f1770956729aeafd06f10b2c5,true,-
-,42,siena13,aa/34b4f6,nf-aa34b4f6c6e31ee8276461cb7579c375-75ddd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286946082,1758286946000,1758287004000,57918,56000,-,104.3,0.2,401154048,3676913664,401248256,3678220288,670678555,1758079,1276180,5530,4194304,2236416,10,12,/input/data/work/aa/34b4f6c6e31ee8276461cb7579c375,true,-
-,54,siena13,24/df8a09,nf-24df8a09eee536ff0cfb295315435a76-bbd27,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286946799,1758286947000,1758287001000,54201,51000,-,101.9,0.2,483627008,3756994560,492339200,3783856128,633528091,1726388,1203624,5492,28098560,2158592,11,10,/input/data/work/24/df8a09eee536ff0cfb295315435a76,true,-
-,6,siena15,41/7f598d,nf-417f598d1ba3cb30af36f4f9e18f664d-e9aab,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286941277,1758286944000,1758287009000,67723,63000,-,103.6,0.2,401993728,3745075200,401993728,3812188160,770943732,1748419,1472012,5460,24764416,2187264,97,9,/input/data/work/41/7f598d1ba3cb30af36f4f9e18f664d,true,-
-,30,siena07,6c/ab8a47,nf-6cab8a471022d3a72a6912a4387a910c-13857,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286945275,1758286945000,1758287010000,64725,63000,-,102.5,0.2,449388544,3684638720,449388544,3744026624,762636954,1749782,1455789,5511,57344,2220032,3,2,/input/data/work/6c/ab8a471022d3a72a6912a4387a910c,true,-
-,36,siena15,94/0a455d,nf-940a455d51124cff4a0e2c29242ca888-af698,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286945677,1758286946000,1758287009000,63323,60000,-,102.4,0.2,400625664,3608752128,400625664,3675865088,730886244,1745723,1393772,5501,5931008,2170880,11,8,/input/data/work/94/0a455d51124cff4a0e2c29242ca888,true,-
-,39,siena14,d4/ded381,nf-d4ded381c73e7b391d12c609b1cff0c6-4f4cc,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286945885,1758286946000,1758287010000,64115,62000,-,104.0,0.2,475365376,3825156096,476082176,3888074752,741637963,1748845,1414772,5512,23904256,2220032,11,11,/input/data/work/d4/ded381c73e7b391d12c609b1cff0c6,true,-
-,48,siena09,1e/e5f7f7,nf-1ee5f7f7661e819fab9a568796b1de6d-9e084,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758286946503,1758286947000,1758287009000,62497,60000,-,103.8,0.2,401580032,3676913664,401580032,3678277632,732359532,1758312,1396647,5521,15138816,2220032,11,10,/input/data/work/1e/e5f7f7661e819fab9a568796b1de6d,true,-
