cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena13,c0/a3e072,nf-c0a3e072e500e7780bc319cff1dad9bc-1f35a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758223926796,1758223935000,1758223939000,12204,1000,-,16.8,0.0,2854912,11575296,2854912,11579392,690074,9283,249,19,5029888,20480,2,0,/input/data/work/c0/a3e072e500e7780bc319cff1dad9bc,true,-
-,3,siena14,e2/f4475f,nf-e2f4475fa226af37a194e15fde9a8789-1f35a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758223926907,1758223937000,1758223952000,25093,14000,-,83.7,0.0,4866048,12410880,4866048,12414976,3147402937,5953,48263,21,0,16384,16,1637,/input/data/work/e2/f4475fa226af37a194e15fde9a8789,true,-
-,2,siena15,98/7a8a15,nf-987a8a15e91c07150563a10ba3a1e02f-1f35a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758223927004,1758223934000,1758223956000,28996,19000,-,94.0,1.4,2855063552,2875985920,2855063552,2875990016,916296030,25693123,112012,3155,2453504,25702400,46,640,/input/data/work/98/7a8a15e91c07150563a10ba3a1e02f,true,-
-,214,siena09,4b/e41ea6,nf-4be41ea6c89aa1af615bf1c1364a506e-5ccaf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758223956705,1758223957000,1758223959000,2295,0,-,79.1,0.0,2916352,11575296,2916352,11579392,101955,26565,197,24,8974336,20480,4,5,/input/data/work/4b/e41ea6c89aa1af615bf1c1364a506e,true,-
-,53,siena07,f2/37d772,nf-f237d7727037583d81a959ac11f9559c-e607e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223947968,1758223948000,1758223999000,51032,49000,-,104.6,0.2,402878464,3608752128,402878464,3675865088,610681946,1723940,1159000,5449,18518016,2117632,3,7,/input/data/work/f2/37d7727037583d81a959ac11f9559c,true,-
-,54,siena13,cf/1627ae,nf-cf1627aeae97aead2a593f8fe0e5cde7-5b608,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223948108,1758223948000,1758224002000,53892,52000,-,102.0,0.2,482357248,3897929728,482357248,3897933824,633528092,1726388,1203625,5450,23904256,2138112,12,12,/input/data/work/cf/1627aeae97aead2a593f8fe0e5cde7,true,-
-,7,siena13,bb/b630a5,nf-bbb630a5323b81fd83e10b497a5530fb-a513f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223942271,1758223946000,1758224010000,67729,62000,-,103.4,0.2,419651584,3682541568,420421632,3744026624,770943538,1748404,1472010,5481,35487744,2191360,125,10,/input/data/work/bb/b630a5323b81fd83e10b497a5530fb,true,-
-,35,siena09,fb/da1f02,nf-fbda1f02e3d2df2103bfdf4e945f87fa-b3ca3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223947068,1758223947000,1758224010000,62932,61000,-,103.8,0.2,403324928,3745075200,403324928,3812372480,730886304,1745727,1393773,5501,0,2248704,11,22,/input/data/work/fb/da1f02e3d2df2103bfdf4e945f87fa,true,-
-,43,siena09,57/54b98a,nf-5754b98a16cdc0bcf441d1468c0b3066-9df95,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223947411,1758223948000,1758224006000,58589,56000,-,103.0,0.2,462991360,3823058944,463699968,3823546368,670678275,1758079,1276179,5488,19705856,2203648,11,7,/input/data/work/57/54b98a16cdc0bcf441d1468c0b3066,true,-
-,49,siena09,9f/81e0dd,nf-9f81e0ddd4e821b6083a99b503f7af84-183aa,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758223947690,1758223948000,1758224011000,63310,61000,-,102.6,0.2,400576512,3676913664,400576512,3744026624,732359780,1758312,1396648,5521,0,2260992,16,14,/input/data/work/9f/81e0ddd4e821b6083a99b503f7af84,true,-
