cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena13,54/949175,nf-54949175da69d035e30fc9edbee1231c-96f4e,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1766332200266,1766332203000,1766332207000,6734,1000,-,7.5,0.0,2904064,11575296,2904064,11579392,689694,9271,249,19,4202496,20480,3,2,/input/data/work/54/949175da69d035e30fc9edbee1231c,true,-
-,2,siena14,57/4fc287,nf-574fc287917ed581acbc0f5839ac2583-96f4e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1766332200445,1766332207000,1766332222000,21555,14000,-,80.4,0.0,6451200,12410880,6451200,12414976,3147402572,5954,48263,21,8429568,16384,47,582,/input/data/work/57/4fc287917ed581acbc0f5839ac2583,true,-
-,1,siena15,54/21f156,nf-5421f1568a01cebff0e6ef1b8f682a37-96f4e,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1766332200546,1766332204000,1766332227000,26454,20000,-,92.5,1.4,2852982784,2873958400,2852982784,2873962496,916295742,25693115,112012,3155,2211840,25702400,48,281,/input/data/work/54/21f1568a01cebff0e6ef1b8f682a37,true,-
-,214,siena13,48/6a855c,nf-486a855c60f87675d84d67123db743dc-411d8,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1766332226351,1766332226000,1766332229000,2649,0,-,82.8,0.0,2899968,11575296,2899968,11579392,101561,26536,197,24,8404992,20480,5,5,/input/data/work/48/6a855c60f87675d84d67123db743dc,true,-
-,6,siena13,8e/149c67,nf-8e149c6773377740fc9371d6f93cde9e-baa1d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332211541,1766332213000,1766332276000,64459,61000,-,105.8,0.5,1039712256,4832825344,1039712256,4899938304,770942649,1748394,1472007,5460,4866048,2187264,52,1,/input/data/work/8e/149c6773377740fc9371d6f93cde9e,true,-
-,10,siena11,e3/ad934f,nf-e3ad934f3942ecf4cc13228f6a25c2aa-5b876,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332212331,1766332217000,1766332284000,71669,65000,-,105.2,0.5,1040728064,4696502272,1040728064,4763615232,807658243,1747922,1543716,5489,0,2179072,6,1,/input/data/work/e3/ad934f3942ecf4cc13228f6a25c2aa,true,-
-,13,siena11,46/14fb59,nf-4614fb59327af09d85b061878f31ead4-4a30e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332213635,1766332217000,1766332285000,71365,66000,-,104.9,0.5,1039081472,4832825344,1039081472,4834189312,821979873,1746345,1571690,5464,4198400,2179072,11,11,/input/data/work/46/14fb59327af09d85b061878f31ead4,true,-
-,20,siena11,4a/1270e7,nf-4a1270e7ab0036a3f99cc5b94364e41d-6be44,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332214138,1766332217000,1766332285000,70862,65000,-,104.0,0.5,1037996032,4764663808,1037996032,4765970432,827166782,1751193,1581818,5491,4194304,2191360,10,7,/input/data/work/4a/1270e7ab0036a3f99cc5b94364e41d,true,-
-,4,siena12,6a/8cc1d8,nf-6a8cc1d816f69a520ac80e41cab63ed9-baa1d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332211841,1766332218000,1766332287000,75159,67000,-,104.1,0.6,1142841344,4912906240,1146400768,4917379072,836338551,1751056,1599732,5511,3190784,2199552,29,2,/input/data/work/6a/8cc1d816f69a520ac80e41cab63ed9,true,-
-,11,siena07,81/2f2b32,nf-812f2b3296a6235d324d890e3aaa9b4e-9fa42,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332212940,1766332213000,1766332290000,77060,75000,-,103.7,0.5,1038204928,4764663808,1038204928,4766027776,942085053,1753529,1806272,5492,22024192,2236416,85,1,/input/data/work/81/2f2b3296a6235d324d890e3aaa9b4e,true,-
-,16,siena07,75/e5385d,nf-75e5385dbf8835ad5195005edd2dd19a-99adf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332213835,1766332214000,1766332287000,73165,70000,-,104.2,0.5,1042239488,4764663808,1042239488,4766027776,886089982,1754302,1696906,5503,593920,2199552,3,1,/input/data/work/75/e5385dbf8835ad5195005edd2dd19a,true,-
-,22,siena15,6a/026809,nf-6a02680989f3863570deeae50a6bc254-16bda,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332214737,1766332215000,1766332286000,71263,69000,-,104.3,0.5,1039888384,4832825344,1039888384,4899938304,873361540,1762710,1672042,5490,5406720,2240512,36,10,/input/data/work/6a/02680989f3863570deeae50a6bc254,true,-
-,23,siena07,bd/4e7352,nf-bd4e73521b52b897462fed9e196eefc9-7c59c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332215141,1766332215000,1766332288000,72859,71000,-,104.4,0.5,1039294464,4832825344,1039294464,4899938304,898048826,1753564,1720263,5518,0,2199552,3,0,/input/data/work/bd/4e73521b52b897462fed9e196eefc9,true,-
-,17,siena13,f0/ddb6dc,nf-f0ddb6dc72c12dc0251ffcf64690c9b6-9b9ad,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332214029,1766332214000,1766332294000,79971,78000,-,103.9,0.5,1074085888,4840550400,1074622464,4905566208,1006889252,1751381,1932842,5517,0,2248704,11,5,/input/data/work/f0/ddb6dc72c12dc0251ffcf64690c9b6,true,-
-,21,siena14,3e/298c33,nf-3e298c33e979a209cd66e31cbaf79739-5f4c7,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332214630,1766332215000,1766332292000,77370,75000,-,103.8,0.5,1038778368,4832825344,1038778368,4899938304,955616037,1768095,1832698,5541,7389184,2285568,35,10,/input/data/work/3e/298c33e979a209cd66e31cbaf79739,true,-
-,12,siena13,38/b87b11,nf-38b87b119ceff8a14c15aa8eeb4ee020-faf5c,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332213136,1766332213000,1766332297000,83864,82000,-,103.7,0.5,1100296192,4981067776,1100464128,5046083584,1042604556,1756180,2002538,5502,0,2347008,11,8,/input/data/work/38/b87b119ceff8a14c15aa8eeb4ee020,true,-
-,9,siena09,81/a6135f,nf-81a6135f1ff33b961010b5608fb4ddf3-762fb,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332212129,1766332213000,1766332312000,99871,97000,-,103.8,0.5,1099341824,4912226304,1099341824,4912230400,1241571818,1747014,2391148,5505,3235840,2277376,35,2,/input/data/work/81/a6135f1ff33b961010b5608fb4ddf3,true,-
-,7,siena15,05/901506,nf-05901506175f29949ee437b8c2e770f4-710bd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1766332212742,1766332213000,1766332347000,134258,132000,-,411.0,1.2,2328924160,3404500992,2376708096,3405914112,15628053755,14824483785,2101793,444437,6922240,654610432,801933,2692,/input/data/work/05/901506175f29949ee437b8c2e770f4,true,-
-,14,siena09,83/7d9439,nf-837d9439d6e5dec296a573ef30c4b543-4a30e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1766332213451,1766332214000,1766332354000,140549,138000,-,411.1,1.2,2341265408,3540754432,2377445376,3607867392,16369866482,15529519524,2204831,465272,6451200,686272512,805552,2699,/input/data/work/83/7d9439d6e5dec296a573ef30c4b543,true,-
-,5,siena14,e3/67252c,nf-e367252c98d686d4120c6f7a8f007980-710bd,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/trim-galore:0.6.7--hdfd78af_0,12,57600000,-,77309411328,1,1766332212537,1766332213000,1766332357000,144463,143000,-,413.2,1.2,2384080896,3404476416,2410680320,3471777792,16935045510,16066021406,2280234,481117,6709248,711335936,856528,4344,/input/data/work/e3/67252c98d686d4120c6f7a8f007980,true,-
1.058,198,siena13,bf/f48b93,nf-bff48b93bdf4d11aa5880c757810ae6f-d493e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,RNAPII_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (RNAPII_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766332225032,1766332279000,1766332388000,162968,107000,-,103.1,0.6,1140338688,4912906240,1149571072,4917088256,1365526890,1748846,2633248,5487,0,2338816,5,2,/input/data/work/bf/f48b93bdf4d11aa5880c757810ae6f,true,-
