task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
1,siena13,cf/21ce94,nf-cf21ce9441eb22f6b6d12371de921707-47cf5,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1759853170568,1759853172000,1759853174000,3432,1000,-,65.8,0.0,2899968,11575296,2899968,11579392,689921,9274,247,18,9228288,20480,4,2,/input/data/work/cf/21ce9441eb22f6b6d12371de921707,true,-
2,siena14,30/a3fad4,nf-30a3fad4dc40ad6f19af2f6206664c48-f0c8c,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1759853170609,1759853172000,1759853191000,20391,18000,-,99.0,1.4,2856775680,2877743104,2856775680,2877747200,916296171,25693123,112010,3154,2322432,25702400,49,299,/input/data/work/30/a3fad4dc40ad6f19af2f6206664c48,true,-
3,siena09,e2/83a68f,nf-e283a68f1e2741226ccfe2633c0053f6-e0d89,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1759853170698,1759853181000,1759853193000,22302,12000,-,90.6,0.0,4943872,12410880,4943872,12414976,3147402997,5965,48261,20,6152192,16384,42,687,/input/data/work/e2/83a68f1e2741226ccfe2633c0053f6,true,-
214,siena09,ea/f96fa0,nf-eaf96fa09756cc2762a5daca29fc9e43-20309,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1759853198185,1759853198000,1759853199000,815,0,-,70.6,0.0,2871296,11575296,2871296,11579392,102004,26562,195,23,8036352,20480,5,5,/input/data/work/ea/f96fa09756cc2762a5daca29fc9e43,true,-
6,siena13,9c/4cf0f5,nf-9c4cf0f5f23b6c6d455ae8f34450633d-ce651,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853177283,1759853183000,1759853245000,67717,61000,-,104.7,0.6,1140662272,4912906240,1148334080,4916695040,770942864,1748393,1472006,5480,0,2179072,6,2,/input/data/work/9c/4cf0f5f23b6c6d455ae8f34450633d,true,-
10,siena11,23/d348d2,nf-23d348d251139d4d6f4121d8338471ce-85cce,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853177986,1759853179000,1759853244000,66014,64000,-,104.3,0.5,1041076224,4764663808,1041076224,4765962240,807658660,1747927,1543714,5508,7598080,2179072,36,9,/input/data/work/23/d348d251139d4d6f4121d8338471ce,true,-
13,siena11,02/746adb,nf-02746adb02bcdcca35bd7f28db0e7635-3ff14,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853179082,1759853179000,1759853246000,66918,66000,-,103.7,0.5,1039249408,4832825344,1039249408,4899938304,821980289,1746351,1571687,5463,0,2195456,11,12,/input/data/work/02/746adb02bcdcca35bd7f28db0e7635,true,-
20,siena11,97/faf2bf,nf-97faf2bfd1403193a9927495f7407926-5c71a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853179685,1759853180000,1759853245000,65315,64000,-,105.3,0.5,1039859712,4764663808,1039859712,4765970432,827167199,1751200,1581815,5490,0,2203648,9,6,/input/data/work/97/faf2bfd1403193a9927495f7407926,true,-
16,siena09,ac/893ee7,nf-ac893ee7fdd415273ff7602b56ea1329-a9742,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853179274,1759853181000,1759853250000,70726,68000,-,105.0,0.5,1038323712,4832825344,1038323712,4899938304,886090312,1754309,1696905,5481,7917568,2236416,53,4,/input/data/work/ac/893ee7fdd415273ff7602b56ea1329,true,-
23,siena14,0a/0daed3,nf-0a0daed38f3320ab56408007205f5d26-ee3ca,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1759853180184,1759853180000,1759853251000,70816,70000,-,104.9,0.5,1037631488,4764663808,1037631488,4766027776,873361968,1762716,1672040,5531,4198400,2260992,12,11,/input/data/work/0a/0daed38f3320ab56408007205f5d26,true,-
