task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,siena09,d8/d152fc,nf-d8d152fc82afc94f69532dc93138688b-529c1,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758358877288,1758358886000,1758358888000,10712,0,-,23.8,0.0,2875392,11575296,2875392,11579392,690070,9280,247,18,5029888,20480,2,1,/input/data/work/d8/d152fc82afc94f69532dc93138688b,true,-
2,siena15,d8/906cd0,nf-d8906cd046b58670d403ecab0bb01f70-91109,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758358877195,1758358887000,1758358902000,24805,14000,-,80.6,0.0,4796416,12410880,4796416,12414976,3147402858,5947,48261,20,0,16384,17,1528,/input/data/work/d8/906cd046b58670d403ecab0bb01f70,true,-
1,siena11,b1/db3d52,nf-b1db3d525cdd7f4a36ab1e3e9925649d-4b482,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758358877380,1758358880000,1758358900000,22620,19000,-,96.0,1.4,2856206336,2877059072,2856206336,2877063168,916296121,25693123,112010,3154,2904064,25702400,67,696,/input/data/work/b1/db3d525cdd7f4a36ab1e3e9925649d,true,-
214,siena15,7a/1a9111,nf-7a1a9111ec9f898b9c630b5bf8254769-c94ee,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758358905704,1758358906000,1758358907000,1296,0,-,51.1,0.0,2797568,11575296,2797568,11579392,101863,26541,195,23,4194304,20480,5,6,/input/data/work/7a/1a9111ec9f898b9c630b5bf8254769,true,-
53,siena07,28/1c6c50,nf-281c6c501f1cf46cb486dd71c3473e17-ce1ec,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898982,1758358899000,1758358951000,52018,51000,-,104.4,0.2,398839808,3540590592,399257600,3541889024,633527899,1726384,1203622,5428,19324928,2121728,3,12,/input/data/work/28/1c6c501f1cf46cb486dd71c3473e17,true,-
50,siena11,11/4c7e98,nf-114c7e98e3fcca86247862187bc1bd70-37cda,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898897,1758358899000,1758358949000,50103,49000,-,104.9,0.2,402964480,3676913664,402964480,3678220288,610681880,1723935,1158999,5469,0,2158592,11,33,/input/data/work/11/4c7e98e3fcca86247862187bc1bd70,true,-
56,siena15,04/64a0f9,nf-0464a0f93a141b81490296aa814aff31-c0e8e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358899096,1758358899000,1758358948000,48904,48000,-,104.7,0.2,423354368,3752800256,423620608,3817816064,595298215,1730281,1128953,5465,4198400,2158592,11,23,/input/data/work/04/64a0f93a141b81490296aa814aff31,true,-
57,siena11,38/933149,nf-389331493aab988e142a2e644718b83b-cd08b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358899299,1758358902000,1758358952000,52701,49000,-,103.6,0.2,400547840,3608752128,400818176,3675865088,589141786,1729995,1116927,5483,4198400,2150400,12,13,/input/data/work/38/9331493aab988e142a2e644718b83b,true,-
42,siena11,6a/fa04d6,nf-6afa04d6d5dad4040fca40d693b9e59d-9b7e8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898279,1758358898000,1758358955000,56721,56000,-,103.3,0.2,402620416,3676913664,402620416,3678277632,670678298,1758075,1276178,5529,4198400,2273280,11,13,/input/data/work/6a/fa04d6d5dad4040fca40d693b9e59d,true,-
10,siena09,0c/57ca54,nf-0c57ca54f48bd8d763b564419d98a8e3-14eff,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358894288,1758358896000,1758358962000,67712,65000,-,102.9,0.2,401960960,3608752128,402841600,3673767936,807659366,1747928,1543718,5509,11173888,2224128,72,7,/input/data/work/0c/57ca54f48bd8d763b564419d98a8e3,true,-
29,siena14,10/523d57,nf-10523d5795286af4468b64dd13152b30-03744,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358897579,1758358898000,1758358960000,62421,61000,-,102.6,0.2,446447616,3752800256,447254528,3817816064,762636383,1749779,1455784,5510,12910592,2166784,13,11,/input/data/work/10/523d5795286af4468b64dd13152b30,true,-
34,siena07,86/55533d,nf-8655533d45bffbe79ea9d3f63c4dd30d-9307a,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358897980,1758358898000,1758358960000,62020,61000,-,103.1,0.2,401809408,3608752128,401809408,3675865088,730886394,1745725,1393772,5479,0,2215936,3,0,/input/data/work/86/55533d45bffbe79ea9d3f63c4dd30d,true,-
43,siena09,e4/acd6dc,nf-e4acd6dc0177546cdc10d33e5132eee9-149a5,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898502,1758358899000,1758358962000,63498,62000,-,104.0,0.2,437108736,3889123328,438075392,3956236288,780321234,1754321,1490322,5520,8392704,2232320,11,55,/input/data/work/e4/acd6dc0177546cdc10d33e5132eee9,true,-
47,siena07,6f/02e758,nf-6f02e758528b76222aebb986f326cd86-afdf8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898780,1758358899000,1758358960000,61220,60000,-,103.6,0.2,401006592,3745075200,401006592,3746660352,732359871,1758309,1396647,5478,0,2228224,3,7,/input/data/work/6f/02e758528b76222aebb986f326cd86,true,-
49,siena09,7a/c768c7,nf-7ac768c732406b9bde698f21e4d5646c-c5360,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358898797,1758358899000,1758358959000,60203,59000,-,104.3,0.2,404348928,3608752128,404381696,3610116096,751355602,1751366,1433751,5488,9101312,2174976,11,19,/input/data/work/7a/c768c732406b9bde698f21e4d5646c,true,-
54,siena14,aa/525ba8,nf-aa525ba85ab7782a11b67eb66a692f91-6c4b9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358899172,1758358899000,1758358961000,61828,61000,-,102.7,0.2,402038784,3608752128,402038784,3675865088,772893850,1735537,1475818,5469,11010048,2158592,11,20,/input/data/work/aa/525ba85ab7782a11b67eb66a692f91,true,-
5,siena15,91/4ecdd3,nf-914ecdd38490fc363960fe48dfb5e0ce-3bd0e,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358893875,1758358894000,1758358963000,69125,67000,-,102.8,0.2,443654144,3820961792,443654144,3888074752,836339618,1751061,1599732,5489,0,2293760,10,6,/input/data/work/91/4ecdd38490fc363960fe48dfb5e0ce,true,-
7,siena13,8a/d19999,nf-8ad199992fbe44f1c4c2533f9bddd1b5-4a993,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358894173,1758358903000,1758358965000,70827,61000,-,103.7,0.2,471941120,3825156096,473018368,3892269056,770943538,1748401,1472009,5501,245760,2162688,6,0,/input/data/work/8a/d199992fbe44f1c4c2533f9bddd1b5,true,-
13,siena12,a6/fc56a5,nf-a6fc56a5360130533c137313dfb51f59-ef853,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758358895272,1758358896000,1758358964000,68728,66000,-,102.6,0.2,489345024,3756994560,493715456,3761618944,821980762,1746352,1571689,5484,23900160,2179072,10,6,/input/data/work/a6/fc56a5360130533c137313dfb51f59,true,-
