memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena09,2d/2e311e,nf-2d2e311eee601ed3f376a554dd3b192a-f38e3,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758398266683,1758398271000,1758398272000,5317,0,-,64.9,0.0,2883584,11575296,2883584,11579392,690070,9280,247,18,0,20480,4,0,/input/data/work/2d/2e311eee601ed3f376a554dd3b192a,true,-
-,1,siena13,32/c1e69c,nf-32c1e69c47ecd3f9f624e9cfb3a66011-f38e3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758398266778,1758398270000,1758398283000,16222,13000,-,88.3,0.0,4849664,12410880,4849664,12414976,3147402937,5950,48261,20,0,16384,22,1790,/input/data/work/32/c1e69c47ecd3f9f624e9cfb3a66011,true,-
-,2,siena07,d9/652c58,nf-d9652c58c57612ec6c9ec52bdbb084e1-f38e3,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758398266577,1758398267000,1758398290000,23423,22000,-,84.9,1.4,2888273920,2909483008,2888273920,2909487104,916296125,25693123,112010,3154,2330624,25702400,764,23769,/input/data/work/d9/652c58c57612ec6c9ec52bdbb084e1,true,-
-,214,siena07,27/f18f84,nf-27f18f840dbbc73aa6f7dfbc046749b2-2089a,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758398292895,1758398293000,1758398297000,4105,3000,-,1.2,0.0,10534912,53891072,10534912,53895168,101941,26543,195,23,757760,20480,14,4,/input/data/work/27/f18f840dbbc73aa6f7dfbc046749b2,true,-
-,44,siena07,47/d765d7,nf-47d765d704f7b9202e3d8bb4b11b6d3f-e99ae,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398282185,1758398282000,1758398339000,56815,55000,-,104.2,0.2,403095552,3745075200,403193856,3812188160,670678365,1758075,1276177,5529,19734528,2211840,3,3,/input/data/work/47/d765d704f7b9202e3d8bb4b11b6d3f,true,-
-,30,siena09,61/122e4a,nf-61122e4a73dd97013b9590465a555d20-078ef,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398281408,1758398282000,1758398345000,63592,62000,-,103.1,0.2,435781632,3752800256,436551680,3817816064,762636611,1749779,1455786,5510,0,2195456,11,10,/input/data/work/61/122e4a73dd97013b9590465a555d20,true,-
-,36,siena12,f2/d8cc13,nf-f2d8cc135cc24a396e25f29cd820d7e5-29c98,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398281694,1758398282000,1758398343000,61306,60000,-,103.4,0.2,400728064,3608752128,401125376,3675865088,730886333,1745725,1393771,5500,23298048,2170880,11,9,/input/data/work/f2/d8cc135cc24a396e25f29cd820d7e5,true,-
-,40,siena15,c1/7ca890,nf-c17ca89068ee23815e03ab866191bd19-5d6c3,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398281977,1758398282000,1758398343000,61023,60000,-,104.0,0.2,401375232,3745075200,401375232,3812188160,741637630,1748839,1414769,5490,19169280,2170880,13,11,/input/data/work/c1/7ca89068ee23815e03ab866191bd19,true,-
-,45,siena15,b4/0005bd,nf-b40005bd769a14b5cf5f52b30f415ba0-104e2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398282400,1758398283000,1758398346000,63600,62000,-,102.7,0.2,441917440,3752800256,441917440,3816382464,780320929,1754318,1490322,5499,4198400,2228224,12,12,/input/data/work/b4/0005bd769a14b5cf5f52b30f415ba0,true,-
-,49,siena12,6a/6b482a,nf-6a6b482a404ea619cb038a77649f066a-b5060,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758398282702,1758398283000,1758398345000,62298,61000,-,104.0,0.2,401551360,3745075200,401666048,3812188160,732359808,1758309,1396647,5499,4268032,2211840,11,12,/input/data/work/6a/6b482a404ea619cb038a77649f066a,true,-
