cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,1d/470be3,nf-1d470be326fc802379a1a53a32810135-34a96,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758487201009,1758487201000,1758487205000,3991,2000,-,3.3,0.0,3125248,23150592,3125248,23154688,690081,9282,249,19,5029888,20480,2,0,wow://input/data/work/1d/470be326fc802379a1a53a32810135,true,-
-,3,siena07,99/79dcf2,nf-9979dcf2502e4213a6d51e393ed0959d-34a96,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758487201224,1758487201000,1758487214000,12776,11000,-,92.5,0.0,4866048,12410880,4866048,12414976,3147402942,5953,48263,21,0,16384,1,123,wow://input/data/work/99/79dcf2502e4213a6d51e393ed0959d,true,-
-,214,siena07,06/e3c8e3,nf-06e3c8e3ceed613533043548f50c3d74-aed16,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758487223606,1758487224000,1758487226000,2394,0,-,73.8,0.0,2961408,11575296,2961408,11579392,101949,26547,197,24,593920,20480,1,0,wow://input/data/work/06/e3c8e3ceed613533043548f50c3d74,true,-
-,1,siena07,ac/feffa6,nf-acfeffa6f4b6dcd024c04195366d1a50-34a96,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758487201187,1758487202000,1758487225000,23813,21000,-,87.3,1.4,2913558528,2934894592,2913558528,2934898688,916296130,25693126,112012,3155,348160,25702400,192,9392,wow://input/data/work/ac/feffa6f4b6dcd024c04195366d1a50,true,-
-,47,siena11,2e/e58831,nf-2ee58831e7a5141f60396ab83a0310fe-2b859,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487214993,1758487216000,1758487266000,51007,48000,-,104.3,0.2,403038208,3745075200,403038208,3812188160,610682113,1723939,1158999,5470,23904256,2117632,11,15,wow://input/data/work/2e/e58831e7a5141f60396ab83a0310fe,true,-
-,48,siena12,e8/6b5192,nf-e86b51922c849da60c4f00d6b03a1f76-74af1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487215285,1758487216000,1758487269000,53715,51000,-,103.7,0.2,494874624,3688833024,496283648,3751751680,633528580,1726388,1203624,5471,0,2138112,11,9,wow://input/data/work/e8/6b51922c849da60c4f00d6b03a1f76,true,-
-,52,siena12,6c/030ed6,nf-6c030ed644caf2841c9ea27af8daa53c-80af9,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487215587,1758487216000,1758487267000,51413,49000,-,103.6,0.2,401506304,3745075200,403464192,3746439168,595298783,1730288,1128955,5445,23904256,2113536,11,19,wow://input/data/work/6c/030ed644caf2841c9ea27af8daa53c,true,-
-,38,siena15,16/f4ceff,nf-16f4ceffe5b893cf08c7469f1b2fd770-5c956,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487214575,1758487215000,1758487274000,59425,56000,-,103.8,0.2,401969152,3608752128,401969152,3675865088,670678727,1758077,1276179,5509,19705856,2162688,11,12,wow://input/data/work/16/f4ceffe5b893cf08c7469f1b2fd770,true,-
-,6,siena07,ea/12076b,nf-ea12076be12bbb4a42b76c1c625c60e4-c8d4d,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487210578,1758487211000,1758487275000,64422,62000,-,102.9,0.2,425537536,3752800256,425537536,3819978752,770944089,1748405,1472011,5481,2060288,2240512,25,1,wow://input/data/work/ea/12076be12bbb4a42b76c1c625c60e4,true,-
-,10,siena07,66/9124a7,nf-669124a754f0d394b955a7e6d8f6106e-7f09b,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758487211270,1758487211000,1758487279000,67730,66000,-,103.8,0.2,401903616,3813236736,401903616,3814535168,807659938,1747933,1543720,5510,0,2277376,3,2,wow://input/data/work/66/9124a754f0d394b955a7e6d8f6106e,true,-
