cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena07,7e/222b2a,nf-7e222b2ac10878126a77331e6a79abea-c10a9,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1758476624405,1758476625000,1758476627000,2595,0,-,36.5,0.0,9539584,32706560,9539584,32710656,690082,9283,249,19,5029888,20480,38,1,wow://input/data/work/7e/222b2ac10878126a77331e6a79abea,true,-
-,2,siena07,f8/de843e,nf-f8de843ec4aa86b48084ab6757798729-c10a9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1758476624573,1758476625000,1758476636000,11427,11000,-,93.6,0.0,4755456,12410880,4755456,12414976,3147402943,5953,48263,21,0,16384,1,226,wow://input/data/work/f8/de843ec4aa86b48084ab6757798729,true,-
-,1,siena07,37/dd9a83,nf-37dd9a8366bebbe8a5e91d2698f1e8b9-c10a9,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1758476624290,1758476625000,1758476646000,21710,19000,-,96.8,1.4,2855837696,2876923904,2855837696,2876928000,916296131,25693126,112012,3155,208896,25702400,11,229,wow://input/data/work/37/dd9a8366bebbe8a5e91d2698f1e8b9,true,-
-,214,siena07,b1/0090b2,nf-b10090b2d5c940aeb94aaa3c2f98fa27-bef53,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1758476643172,1758476644000,1758476646000,2828,0,-,75.0,0.0,2912256,11575296,2912256,11579392,101947,26547,197,24,393216,20480,1,0,wow://input/data/work/b1/0090b2d5c940aeb94aaa3c2f98fa27,true,-
-,50,siena12,36/d2f50b,nf-36d2f50bd71d277de6e6dc15fa6fcf2a-14544,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476634391,1758476635000,1758476685000,50609,48000,-,103.1,0.2,401850368,3608752128,401850368,3676233728,610682371,1723939,1159000,5449,4194304,2117632,11,15,wow://input/data/work/36/d2f50bd71d277de6e6dc15fa6fcf2a,true,-
-,53,siena12,d1/897e61,nf-d1897e61488fe93edd76ce1c6504c8f9-47694,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476634480,1758476635000,1758476686000,51520,49000,-,104.7,0.2,403841024,3676913664,404160512,3678220288,633528834,1726388,1203625,5471,0,2121728,11,12,wow://input/data/work/d1/897e61488fe93edd76ce1c6504c8f9,true,-
-,41,siena11,b2/803c4a,nf-b2803c4ab92f951c3b9fcdd8e97ce70a-93997,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Daro_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Daro_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476633603,1758476634000,1758476690000,56397,54000,-,104.0,0.2,401596416,3608752128,401694720,3675865088,670678530,1758079,1276178,5509,2052096,2162688,33,2,wow://input/data/work/b2/803c4ab92f951c3b9fcdd8e97ce70a,true,-
-,6,siena07,5d/098cd3,nf-5d098cd3bbc952cc23519cdc56388093-80261,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476628777,1758476629000,1758476693000,64223,62000,-,102.1,0.2,404041728,3608752128,404041728,3675865088,770944343,1748405,1472012,5502,26042368,2232320,82,1,wow://input/data/work/5d/098cd3bbc952cc23519cdc56388093,true,-
-,28,siena14,52/e48007,nf-52e48007c7a65cf14a41d313d61ab0af-c0d6f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476632706,1758476633000,1758476696000,63294,60000,-,103.3,0.2,401186816,3608752128,401735680,3675865088,762636864,1749782,1455785,5490,1990656,2166784,35,15,wow://input/data/work/52/e48007c7a65cf14a41d313d61ab0af,true,-
-,34,siena15,9e/7bece6,nf-9e7bece6d984ef787f7a9e1b963d31c1-57de0,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,BRD4_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (BRD4_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1758476633010,1758476633000,1758476695000,61990,60000,-,103.2,0.2,400142336,3608752128,400142336,3610050560,730886755,1745727,1393772,5501,2060288,2170880,35,5,wow://input/data/work/9e/7bece6d984ef787f7a9e1b963d31c1,true,-
