cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena13,7c/636a8f,nf-7c636a8f982021741c653f019051be67-fb4ec,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1758606933176,1758606935000,1758606990000,56824,47436,-,932.1,0.0,32026624,37064704,33873920,38948864,8176974762,42821835,2714637,40821,4931584,41123840,6264,1537,/input/data/work/7c/636a8f982021741c653f019051be67,true,-
-,1,siena14,00/361d1e,nf-00361d1ed3d5b6e0b8d793f0b874aff9-fb4ec,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1758606933282,1758606943000,1758607603000,669718,659368,-,194.7,0.0,357011456,8012017664,358862848,8162672640,8258967782,62122063,2866671,52136,794624,66809856,9845,2266,/input/data/work/00/361d1ed3d5b6e0b8d793f0b874aff9,true,-
-,19,siena15,7d/b18cbe,nf-7db18cbe04974da5c20dbacea09ae406-788e4,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607606272,1758607606000,1758607648000,41728,40881,-,160.4,1.5,3114520576,3488428032,3114520576,3488477184,580800378,5525,58721,29,0,28672,143,240,/input/data/work/7d/b18cbe04974da5c20dbacea09ae406,true,-
-,24,siena13,ed/12e97b,nf-ed12e97b99ea520763cb4f37b27a4fed-31bb7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607606773,1758607609000,1758607652000,45227,41910,-,160.6,1.5,3131727872,3506991104,3131727872,3507040256,563345364,5736,58838,34,0,28672,87,157,/input/data/work/ed/12e97b99ea520763cb4f37b27a4fed,true,-
-,34,siena12,be/59cddf,nf-be59cddf1ea02937a2654bb1cda29d7e-c1162,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607607783,1758607613000,1758607656000,48217,42250,-,161.2,1.6,3211984896,3635367936,3211984896,3635417088,539202161,5722,56857,34,0,28672,108,225,/input/data/work/be/59cddf1ea02937a2654bb1cda29d7e,true,-
-,36,siena09,92/468a73,nf-92468a73e46c116c3b724e924ccfdf84-9a668,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607607888,1758607608000,1758607652000,44112,44154,-,157.6,1.5,2986692608,3411783680,3224907776,3650097152,523852564,5722,56009,34,0,28672,134,213,/input/data/work/92/468a73e46c116c3b724e924ccfdf84,true,-
-,35,siena11,d3/90abd0,nf-d390abd0aabd875981ac7860d68e16dc-2529a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607607992,1758607611000,1758607655000,47008,43725,-,155.6,1.5,3047960576,3563237376,3250171904,3654217728,557587166,5722,56665,34,8396800,28672,136,294,/input/data/work/d3/90abd0aabd875981ac7860d68e16dc,true,-
-,17,siena07,52/0f85f8,nf-520f85f842107151416192b2ce97a0a6-c385e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607605884,1758607606000,1758607704000,98116,98207,-,132.6,1.5,3057573888,3573153792,3280330752,3573202944,552404220,5723,58685,34,0,28672,2686,1852,/input/data/work/52/0f85f842107151416192b2ce97a0a6,true,-
-,8,siena14,d3/bfe127,nf-d3bfe127fb8e840e98dd8e4d87e13fa9-28688,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607604887,1758607605000,1758607726000,121113,120932,-,134.5,1.6,3220844544,3717922816,3280941056,3717971968,603579870,5723,59170,34,1290240,28672,159,319,/input/data/work/d3/bfe127fb8e840e98dd8e4d87e13fa9,true,-
-,384,siena12,2a/f657d4,nf-2af657d481de9fbca93a48493b6e9f2c-fe2f5,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607633983,1758607658000,1758607751000,117017,92664,-,174.1,1.6,3207049216,3617804288,3251654656,3617853440,601772502,5723,59382,34,0,28672,100,551,/input/data/work/2a/f657d481de9fbca93a48493b6e9f2c,true,-
-,408,siena15,fc/075866,nf-fc0758660322a1be1934c077ddb0260f-96ba2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607635120,1758607650000,1758607745000,109880,93237,-,162.5,1.5,3128184832,3649912832,3160010752,3649961984,406200746,5526,34525,29,0,28672,95,316,/input/data/work/fc/0758660322a1be1934c077ddb0260f,true,-
-,4,siena13,47/23b074,nf-4723b074faf1148c15cf4b937c84bf97-4d583,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607604071,1758607609000,1758607760000,155929,151646,-,132.0,1.6,3275468800,3625824256,3275468800,3625873408,592937719,5719,59068,34,1347584,28672,146,694,/input/data/work/47/23b074faf1148c15cf4b937c84bf97,true,-
-,66,siena09,b9/c8c621,nf-b9c8c621c01f1b113bbbb46ec493d46d-da125,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1758607611583,1758607655000,1758607752000,140417,96789,-,170.5,1.7,3360575488,3749441536,3360575488,3749490688,600157323,5724,59195,34,0,28672,116,507,/input/data/work/b9/c8c621c01f1b113bbbb46ec493d46d,true,-
