cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena14,8d/c82020,nf-8dc820204cb3725abe4a6e8fe43dbb30-8c431,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,10,14400000,-,6442450944,1,1766446942957,1766446952000,1766447009000,66043,47873,-,932.5,0.0,67379200,168587264,67387392,168636416,8176897063,42747869,2714031,40780,1241088,41086976,5989,1396,/input/data/work/8d/c820204cb3725abe4a6e8fe43dbb30,true,-
-,1,siena13,4f/c858e8,nf-4fc858e80c39b27f5de48f7ad86ee43c-8c431,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,2,14400000,-,21474836480,1,1766446942861,1766446945000,1766447559000,616139,613069,-,193.9,0.0,276848640,6021447680,278695936,6060695552,8256676131,61136236,2858993,51651,3633152,64888832,10580,2207,/input/data/work/4f/c858e80c39b27f5de48f7ad86ee43c,true,-
-,19,siena12,6f/4f274f,nf-6f4f274fe7e22872c9d6c711a6536acc-2a268,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447566273,1766447572000,1766447614000,47727,42004,-,158.0,1.5,3115175936,3488432128,3115175936,3488481280,580800116,5517,58721,29,0,28672,133,190,/input/data/work/6f/4f274fe7e22872c9d6c711a6536acc,true,-
-,24,siena07,00/cbb580,nf-00cbb5802bebd9b082f36ecb02b1896f-5f0cf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860513_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860513_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447566572,1766447567000,1766447609000,42428,41268,-,162.3,1.5,3131432960,3506991104,3131432960,3507040256,563319986,5518,58758,29,163840,28672,59,168,/input/data/work/00/cbb5802bebd9b082f36ecb02b1896f,true,-
-,34,siena12,d6/f80be9,nf-d6f80be99ccf02deaf1a09a8d6f1a7bb-46f22,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850107_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850107_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447568960,1766447571000,1766447615000,46040,42237,-,161.0,1.6,3211907072,3635372032,3211907072,3635421184,539176799,5517,56777,29,4415488,28672,133,230,/input/data/work/d6/f80be99ccf02deaf1a09a8d6f1a7bb,true,-
-,35,siena09,58/91ea3e,nf-5891ea3e7d5c19a6a494bd1b40059ee7-46f22,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19850413_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19850413_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447569059,1766447572000,1766447615000,45941,42906,-,153.6,1.6,3248242688,3654172672,3248242688,3654221824,557561805,5517,56585,29,0,28672,140,404,/input/data/work/58/91ea3e7d5c19a6a494bd1b40059ee7,true,-
-,36,siena11,94/df416a,nf-94df416ab5e24e7eff731b1c718c0d1a-77e47,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203030_19860619_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203030_19860619_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447569162,1766447572000,1766447618000,48838,44260,-,158.3,1.5,2986749952,3411783680,3224965120,3650097152,523827204,5517,55929,29,4194304,28672,137,221,/input/data/work/94/df416ab5e24e7eff731b1c718c0d1a,true,-
-,17,siena13,69/caeb1d,nf-69caeb1de30793e14a180036af510e47-345f6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447565955,1766447569000,1766447668000,102045,98141,-,130.4,1.5,3061297152,3573157888,3280809984,3573207040,552378854,5518,58605,29,0,28672,153,157,/input/data/work/69/caeb1de30793e14a180036af510e47,true,-
-,8,siena11,c2/124694,nf-c2124694a9462e50277c3b772a617313-3cd46,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447564864,1766447572000,1766447694000,129136,121189,-,135.3,1.6,3221364736,3717922816,3281461248,3717971968,603554508,5518,59090,29,573440,28672,170,354,/input/data/work/c2/124694a9462e50277c3b772a617313,true,-
-,66,siena09,b1/53e4d4,nf-b153e4d47cadc5b379483485c87fbfb8-5dbd9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447572270,1766447617000,1766447716000,143730,97546,-,169.6,1.7,3359690752,3749445632,3359690752,3749494784,600131959,5518,59115,29,0,28672,108,251,/input/data/work/b1/53e4d47cadc5b379483485c87fbfb8,true,-
-,384,siena11,35/f431d1,nf-35f431d140a967e7f38ff75a15e4d412-47098,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,4,28800000,-,6442450944,1,1766447591768,1766447620000,1766447714000,122232,93511,-,174.7,1.6,3155976192,3617808384,3251052544,3617857536,601747143,5518,59302,29,0,28672,100,343,/input/data/work/35/f431d140a967e7f38ff75a15e4d412,true,-
