cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena09,a9/22912a,nf-a922912ab5ab9826b5f05ce790cd8c3b-f9bc1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1767866721757,1767866728000,1767867321000,599243,583784,-,95.8,0.0,38785024,45510656,40636416,47497216,8175502037,42419275,2711458,40620,4497408,44707840,6212,2220,/input/data/work/a9/22912ab5ab9826b5f05ce790cd8c3b,true,-
-,-,2,siena07,80/eb2219,nf-80eb22197e63dae5c4da6b385ce15582-f9bc1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1767866721658,1767866722000,1767868019000,1297342,1296834,-,97.8,0.0,120061952,2040303616,121913344,2042339328,8263149644,63337862,2876356,52723,4575232,68943872,10359,2690,/input/data/work/80/eb22197e63dae5c4da6b385ce15582,true,-
-,-,19,siena15,1d/9efbe0,nf-1d9efbe00cea371038b9652ee70baefb-ab639,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868024778,1767868025000,1767868067000,42222,41577,-,159.3,1.5,3115065344,3488428032,3115065344,3488477184,580800389,5543,58721,29,0,28672,160,217,/input/data/work/1d/9efbe00cea371038b9652ee70baefb,true,-
1.593,3249537024,470,siena14,de/0a677a,nf-de0a677ac2cd36d076cee961df0a9e75-bbbac,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_204030_19861016_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_204030_19861016_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868054129,1767868070000,1767868112000,57871,41098,-,160.0,1.5,3082854400,3447697408,3082854400,3447746560,547927083,5524,54832,29,0,28672,106,421,/input/data/work/de/0a677ac2cd36d076cee961df0a9e75,true,-
1.593,3249537024,624,siena11,b1/216976,nf-b1216976d0fb3ebe081a8c946d511428-a2fb0,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_199033_19850807_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_199033_19850807_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868059294,1767868070000,1767868108000,48706,38000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/b1/216976d0fb3ebe081a8c946d511428,true,RETRY
1.593,3249537024,705,siena13,b9/c78a95,nf-b9c78a95e0de6d11bef8347748140034-0e477,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202030_19850508_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202030_19850508_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868061972,1767868070000,1767868115000,53028,45000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/b9/c78a95e0de6d11bef8347748140034,true,RETRY
1.593,3249537024,777,siena15,69/f87f2d,nf-69f87f2dd59c7c915ef22ad349ca5504-b1685,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201034_19860909_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201034_19860909_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868064331,1767868070000,1767868108000,43669,38000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/69/f87f2dd59c7c915ef22ad349ca5504,true,RETRY
1.593,3249537024,892,siena11,9f/d2a53f,nf-9fd2a53f51d69dd4966c937e94c73dc3-0d992,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860707_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860707_20200918_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868066906,1767868069000,1767868109000,42094,40000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/9f/d2a53f51d69dd4966c937e94c73dc3,true,RETRY
1.593,3249537024,896,siena12,8c/d6788e,nf-8cd6788eeb46f95c1eeb06340e42c4af-4a47e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860621_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860621_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868067088,1767868070000,1767868110000,42912,40000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/8c/d6788eeb46f95c1eeb06340e42c4af,true,RETRY
1.593,3249537024,909,siena15,f4/0c5608,nf-f40c5608532a71671b8c345ce2241d2d-fb905,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201032_19860925_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201032_19860925_20200917_02_T1),FAILED,-,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767868067874,1767868070000,1767868109000,41126,39000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,/input/data/work/f4/0c5608532a71671b8c345ce2241d2d,true,RETRY
