task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,siena07,22/0c33ad,nf-220c33ad9bb773b707b085d261709d7d-11141,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1766531267293,1766531268000,1766531780000,512707,506904,-,97.8,0.0,97812480,2015047680,99663872,2070966272,8165676919,38812881,2683423,38863,4775936,38051840,4466,2078,wow://input/data/work/22/0c33ad9bb773b707b085d261709d7d,true,-,-,-,196,629
1,siena07,4a/cb5013,nf-4acb5013ed54b9971255eaf931372069-11141,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1766531267463,1766531268000,1766532499000,1231537,1231046,-,98.6,0.0,195338240,4026654720,197189632,4102926336,8256060323,61317035,2860257,51738,8192,65662976,9304,3350,wow://input/data/work/4a/cb5013ed54b9971255eaf931372069,true,-,-,-,6,159
19,siena15,82/07552c,nf-8207552c5f69b0784e2a924f72cf88bd-5b754,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532503880,1766532504000,1766532547000,43120,42388,-,157.8,1.5,3114250240,3488428032,3114250240,3488477184,580800147,5515,58719,28,888832,28672,201,208,wow://input/data/work/82/07552c5f69b0784e2a924f72cf88bd,true,-,-,-,81,21
17,siena13,b8/d3e461,nf-b8d3e461e5b932f6692c59d587b58acf-82caf,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532503680,1766532504000,1766532602000,98320,98207,-,130.8,1.4,2860994560,3376263168,3280666624,3573202944,552378897,5516,58603,28,307200,28672,191,245,wow://input/data/work/b8/d3e461e5b932f6692c59d587b58acf,true,-,-,-,5,18
8,siena09,c5/86265b,nf-c586265b7f4ea1fdb878df5000dc09d1-d323d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532502766,1766532503000,1766532624000,121234,120362,-,135.4,1.6,3220697088,3717926912,3280793600,3717976064,603554546,5516,59088,28,409600,28672,170,342,wow://input/data/work/c5/86265b7f4ea1fdb878df5000dc09d1,true,-,-,-,5,104
408,siena15,da/deaad2,nf-dadeaad2a64ba309ee3331d747d3f963-7a7b1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532532689,1766532549000,1766532642000,109311,92297,-,163.3,1.5,3128225792,3649912832,3160051712,3649961984,406200512,5516,34523,28,0,28672,95,307,wow://input/data/work/da/deaad2a64ba309ee3331d747d3f963,true,-,-,-,5,16
4,siena07,89/d3f311,nf-89d3f3113c30a4e37c743d259ee44805-fec13,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532502179,1766532502000,1766532657000,154821,154743,-,133.5,1.6,3275939840,3625820160,3275939840,3625869312,592912408,5516,58986,28,0,28672,11329,6280,wow://input/data/work/89/d3f3113c30a4e37c743d259ee44805,true,-,-,-,8,190
66,siena09,9f/144312,nf-9f144312325034978679ccf94e774edf-ce8b9,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532508778,1766532627000,1766532723000,214222,96377,-,170.4,1.7,3360153600,3749445632,3360153600,3749494784,600131998,5516,59113,28,0,28672,107,386,wow://input/data/work/9f/144312325034978679ccf94e774edf,true,-,-,-,84,17
23,siena12,c6/0edbe7,nf-c60edbe79b4f66df6d53ba536e232d55-83898,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850219_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850219_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532504267,1766532505000,1766532749000,244733,244144,-,126.5,1.6,3204898816,3655909376,3278970880,3655958528,583362034,5516,58825,28,0,28672,174,788,wow://input/data/work/c6/0edbe79b4f66df6d53ba536e232d55,true,-,-,-,8,85
384,siena07,5c/2fbf46,nf-5c2fbf4635f155af1092e4998b1588fe-4d1ea,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1766532531491,1766532660000,1766532754000,222509,93716,-,173.6,1.6,3253919744,3728867328,3348996096,3728916480,601747189,5516,59300,28,0,28672,2981,11542,wow://input/data/work/5c/2fbf4635f155af1092e4998b1588fe,true,-,-,-,6,17
