task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,siena07,ce/f8f3cc,nf-cef8f3cc427256d2e2d82c0952652498-13ab3,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1760093257593,1760093258000,1760093784000,526407,520655,-,98.1,0.0,38760448,45506560,40611840,47493120,8165866526,38903079,2684096,38907,188416,38313984,4627,2232,wow://input/data/work/ce/f8f3cc427256d2e2d82c0952652498,true,-,-,-,6,90
1,siena07,74/bbf14f,nf-74bbf14feaba42a644c6484e78ffb25e-13ab3,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1760093257492,1760093258000,1760094548000,1290508,1289879,-,98.7,0.0,195477504,4026654720,197324800,4065804288,8255418833,61357943,2860390,51758,4521984,65744896,12690,2938,wow://input/data/work/74/bbf14feaba42a644c6484e78ffb25e,true,-,-,-,128,523
19,siena11,71/03c893,nf-7103c89329f798febbaa9d80fc82a9f4-4e826,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554683,1760094555000,1760094597000,42317,41564,-,160.6,1.5,3115319296,3488428032,3115319296,3488477184,580800473,5541,58719,28,4214784,28672,145,228,wow://input/data/work/71/03c89329f798febbaa9d80fc82a9f4,true,-,-,-,7,92
17,siena15,8f/39498e,nf-8f39498e848483f4540c21e7a867a485-73209,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554384,1760094555000,1760094652000,97616,97440,-,131.0,1.5,3057254400,3573157888,3280011264,3573207040,552379179,5524,58603,28,0,28672,175,177,wow://input/data/work/8f/39498e848483f4540c21e7a867a485,true,-,-,-,5,102
8,siena09,6d/21e2df,nf-6d21e2df69fa07a84d4f6502127649c2-52b44,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553386,1760094554000,1760094675000,121614,120418,-,134.8,1.6,3220832256,3717926912,3280928768,3717976064,603554860,5542,59088,28,4194304,28672,159,317,wow://input/data/work/6d/21e2df69fa07a84d4f6502127649c2,true,-,-,-,6,102
408,siena11,93/0e7a5b,nf-930e7a5b0f927d3f77d79d4890aebfb7-cb822,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094584826,1760094599000,1760094692000,107174,92557,-,164.0,1.5,3127586816,3649908736,3159412736,3649957888,406200816,5524,34523,28,0,28672,91,349,wow://input/data/work/93/0e7a5b0f927d3f77d79d4890aebfb7,true,-,-,-,10,18
4,siena07,35/e62e7d,nf-35e62e7de52e5829c63145a6137d6a6e-df0a1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094552983,1760094553000,1760094708000,155017,154415,-,132.9,1.6,3207405568,3625824256,3276070912,3625873408,592912704,5524,58986,28,0,28672,9637,6095,wow://input/data/work/35/e62e7de52e5829c63145a6137d6a6e,true,-,-,-,8,199
66,siena09,ea/b9f969,nf-eab9f9690f0f098b7bf397a851808eba-fc2a1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094560282,1760094677000,1760094773000,212718,95805,-,171.3,1.7,3360366592,3749441536,3360366592,3749490688,600132288,5524,59113,28,0,28672,105,532,wow://input/data/work/ea/b9f9690f0f098b7bf397a851808eba,true,-,-,-,7,105
23,siena12,50/794706,nf-50794706246fd448a7e93f8242bdda80-97f39,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850219_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850219_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094555091,1760094555000,1760094798000,242909,242936,-,126.1,1.6,3279536128,3655913472,3279536128,3655962624,583362356,5542,58825,28,4657152,28672,181,602,wow://input/data/work/50/794706246fd448a7e93f8242bdda80,true,-,-,-,7,15
384,siena07,0a/30c60b,nf-0a30c60bf008b1bde76a20ea93fa5bde-053a6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094583878,1760094710000,1760094804000,220122,93165,-,175.1,1.6,3278442496,3728863232,3348729856,3728912384,601747484,5524,59300,28,0,28672,2402,3620,wow://input/data/work/0a/30c60bf008b1bde76a20ea93fa5bde,true,-,-,-,5,73
5,siena07,c2/05bbe7,nf-c205bbe75586787db754a6f3c1c1be75-c30d7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553168,1760094553000,1760094810000,256832,256639,-,185.7,2.2,4493524992,7234523136,4493524992,7234572288,592852163,406674250,61896,13699,28672,408215552,10539,4213,wow://input/data/work/c2/05bbe75586787db754a6f3c1c1be75,true,-,-,-,9,175
6,siena09,be/ae519d,nf-beae519d61fe9b863c5cbb43d637929b-c5c91,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860716_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860716_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553277,1760094554000,1760094812000,258723,257807,-,186.1,2.2,4496875520,7240118272,4496875520,7240167424,590616249,403648005,61910,13606,6979584,405196800,1945,884,wow://input/data/work/be/ae519d61fe9b863c5cbb43d637929b,true,-,-,-,6,102
11,siena13,0b/b6b22f,nf-0bb6b22fd55e2e7f79df649a4b58762f-963d5,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850830_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850830_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553791,1760094555000,1760094809000,255209,253954,-,185.8,2.2,4497215488,7240908800,4497215488,7240957952,582357447,393298054,61983,13319,5308416,394878976,1691,953,wow://input/data/work/0b/b6b22fd55e2e7f79df649a4b58762f,true,-,-,-,6,17
13,siena13,bb/7902ca,nf-bb7902cab103ead1d2905b2c8b7c63a1-912f1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19841030_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19841030_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553992,1760094554000,1760094816000,262008,261273,-,185.4,2.2,4504760320,7243194368,4504760320,7243243520,571909259,388814841,61742,13103,1454080,390275072,513,764,wow://input/data/work/bb/7902cab103ead1d2905b2c8b7c63a1,true,-,-,-,6,17
15,siena14,01/054e10,nf-01054e10099404a7945bfec61e01ea9a-2695e,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840710_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840710_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554168,1760094554000,1760094809000,254832,254073,-,185.7,2.2,4449746944,7181094912,4449746944,7181144064,579840369,382950502,61884,12963,2441216,384462848,1393,727,wow://input/data/work/01/054e10099404a7945bfec61e01ea9a,true,-,-,-,6,93
20,siena11,83/2f400d,nf-832f400dfb5bdc096251a997573101b3-31fca,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860817_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860817_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554785,1760094555000,1760094809000,254215,254144,-,187.5,2.2,4499722240,7242366976,4499722240,7242416128,584011293,401048063,61962,13548,712704,402620416,1267,735,wow://input/data/work/83/2f400dfb5bdc096251a997573101b3,true,-,-,-,6,95
22,siena12,4b/d83112,nf-4bd83112e90fb474c1d0791d5c8d69be-e6559,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860902_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860902_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554989,1760094555000,1760094816000,261011,260390,-,184.7,2.2,4438544384,7168540672,4438544384,7168589824,586253926,403529253,61852,13603,3063808,405049344,657,861,wow://input/data/work/4b/d83112e90fb474c1d0791d5c8d69be,true,-,-,-,5,99
14,siena15,07/787069,nf-0778706901153c5699f4b3fd74e6a274-f1310,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19851017_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19851017_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554273,1760094554000,1760094833000,278727,278122,-,180.8,2.2,4452245504,7185317888,4452245504,7185367040,578972149,354205222,61646,11932,3018752,355545088,1882,923,wow://input/data/work/07/78706901153c5699f4b3fd74e6a274,true,-,-,-,6,98
7,siena14,b5/560f27,nf-b5560f27519001621f9c8cefa9ccbd9e-24553,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19861223_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19861223_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553488,1760094554000,1760094863000,309512,308390,-,175.3,2.2,4467023872,7188160512,4467023872,7188209664,561057296,287393651,61228,9705,368640,288522240,1687,891,wow://input/data/work/b5/560f27519001621f9c8cefa9ccbd9e,true,-,-,-,80,20
18,siena11,3a/82dbe4,nf-3a82dbe4b56d4b9655262cd764e471b8-d5388,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860529_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860529_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554583,1760094555000,1760094862000,307417,307191,-,167.1,2.2,4489990144,7230607360,4489990144,7230656512,555558122,203804246,60260,6926,5873664,204636160,427,1258,wow://input/data/work/3a/82dbe4b56d4b9655262cd764e471b8,true,-,-,-,5,92
21,siena12,9b/7f68e1,nf-9b7f68e10419b2c27738fa220036c26a-48b91,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850323_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850323_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554884,1760094555000,1760094884000,329116,329007,-,167.1,2.2,4500496384,7242485760,4500496384,7242534912,556720180,290903361,61362,9912,0,292143104,1432,592,wow://input/data/work/9b/7f68e10419b2c27738fa220036c26a,true,-,-,-,81,16
294,siena15,1b/45cb03,nf-1b45cb03ee148fa65f60cee3171f6ea9-84125,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203031_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203031_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094579389,1760094655000,1760094908000,328611,252667,-,186.4,2.2,4459749376,7259721728,4459749376,7259770880,513970553,162682869,49013,5535,0,163364864,368,693,wow://input/data/work/1b/45cb03ee148fa65f60cee3171f6ea9,true,-,-,-,6,14
760,siena09,26/e164a7,nf-26e164a7845b4b90e8f523fd4b94aec6-c7905,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_201034_19840412_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_201034_19840412_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094598084,1760094776000,1760094917000,318916,141019,-,132.5,1.7,3393044480,3749462016,3393044480,3749511168,610135788,5524,60219,28,0,28672,108,325,wow://input/data/work/26/e164a7845b4b90e8f523fd4b94aec6,true,-,-,-,8,75
3,siena07,70/c0898a,nf-70c0898adb78afcec66087c86b6657f6-ffa2a,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19851118_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19851118_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094552770,1760094553000,1760094913000,360230,360287,-,164.6,2.2,4498112512,7240990720,4498112512,7241039872,576542889,271548900,61191,9160,618496,272592896,11595,5987,wow://input/data/work/70/c0898adb78afcec66087c86b6657f6,true,-,-,-,13,273
12,siena09,02/484be6,nf-02484be663709052104abeed5134c9e6-415e7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860310_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860310_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553894,1760094554000,1760094934000,380106,379453,-,157.4,2.2,4447170560,7178817536,4447170560,7178866688,581456039,192624213,60777,6520,237568,193392640,899,1114,wow://input/data/work/02/484be663709052104abeed5134c9e6,true,-,-,-,6,19
16,siena15,ff/b88477,nf-ffb884778058290e67f077acbec6dd59-75b94,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850307_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850307_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094554485,1760094555000,1760094947000,392515,392002,-,153.7,2.2,4500865024,7243329536,4500865024,7243378688,559061132,242317655,60947,8151,28672,243212288,411,1541,wow://input/data/work/ff/b884778058290e67f077acbec6dd59,true,-,-,-,6,94
10,siena13,ea/b57cf3,nf-eab57cf343272291ca541c44d0aad85c-9342d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850102_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850102_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553694,1760094554000,1760094954000,400306,399775,-,153.8,2.2,4498538496,7241506816,4498538496,7241555968,567643310,267989529,61060,9021,290816,268988416,1376,997,wow://input/data/work/ea/b57cf343272291ca541c44d0aad85c,true,-,-,-,5,19
301,siena12,4c/7a6dfb,nf-4c7a6dfbcd5463995b547931aeb04b1f-98820,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_205031_19850918_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_205031_19850918_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094579707,1760094801000,1760094967000,387293,165091,-,184.0,2.3,4581834752,5937496064,4581834752,5937545216,334940192,34766299,26408,1253,0,34988032,90,298,wow://input/data/work/4c/7a6dfbcd5463995b547931aeb04b1f,true,-,-,-,6,15
671,siena11,e7/964a4f,nf-e7964a4f206b4f5e88e3abe2d6eea498-80f7d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203032_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203032_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094594599,1760094695000,1760094967000,372401,272367,-,182.5,2.2,4438622208,7250317312,4438622208,7250366464,526847011,236123338,50984,7910,0,236961792,370,1123,wow://input/data/work/e7/964a4f206b4f5e88e3abe2d6eea498,true,-,-,-,3,12
9,siena14,ae/af0f53,nf-aeaf0f531e0e71b41169b94a84921ae3-d5f77,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860222_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860222_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094553668,1760094555000,1760094982000,428332,427403,-,148.3,2.2,4485275648,7224274944,4485275648,7224324096,547965222,145565763,60172,4966,0,146194432,403,920,wow://input/data/work/ae/af0f531e0e71b41169b94a84921ae3,true,-,-,-,83,96
360,siena13,c9/eeac42,nf-c9eeac421869bae5ea3f2a68c09b57a5-2c74d,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19860427_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19860427_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094582583,1760094818000,1760094987000,404417,169194,-,125.7,1.7,3348942848,3673587712,3348942848,3673636864,594148252,5519,59174,28,0,28672,102,280,wow://input/data/work/c9/eeac421869bae5ea3f2a68c09b57a5,true,-,-,-,6,83
589,siena07,e0/004212,nf-e00042124c81250c7086697d85e56621-1604f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_198030_19850410_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_198030_19850410_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094591903,1760094807000,1760094982000,390097,175147,-,125.3,1.6,3262648320,3646357504,3262648320,3646406656,367724481,5524,30949,28,0,28672,1238,10047,wow://input/data/work/e0/0042124c81250c7086697d85e56621,true,-,-,-,4,14
686,siena14,a2/c9bffd,nf-a2c9bffd395e6c9b7cb99f7f21c11ddc-29866,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203032_19840410_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203032_19840410_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094595413,1760094866000,1760094995000,399587,128370,-,147.0,1.6,3153518592,3440705536,3153518592,3440754688,506258359,5524,48821,28,0,28672,107,418,wow://input/data/work/a2/c9bffd395e6c9b7cb99f7f21c11ddc,true,-,-,-,5,16
363,siena15,1a/94d8cc,nf-1a94d8cc9a46633d3948841fbc807183-bdb27,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094582673,1760094835000,1760095029000,446327,193649,-,125.0,1.6,3261566976,3653197824,3349966848,3653246976,594956857,5524,59162,28,0,28672,97,402,wow://input/data/work/1a/94d8cc9a46633d3948841fbc807183,true,-,-,-,20,68
484,siena12,1a/34755a,nf-1a34755a7f2ffb9e4b8b79a19792877f-52642,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202032_19840606_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202032_19840606_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094587981,1760094887000,1760095019000,431019,131524,-,132.2,1.6,3285491712,3753140224,3401629696,3753189376,604636226,5524,61106,28,0,28672,106,410,wow://input/data/work/1a/34755a7f2ffb9e4b8b79a19792877f,true,-,-,-,5,71
1200,siena11,22/77ca75,nf-2277ca7542a806feaae485b22583b172-dabf6,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_202031_19850812_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_202031_19850812_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094619118,1760094812000,1760095041000,421882,229526,-,181.2,2.4,4768784384,7571087360,4768784384,7571136512,624236301,274868066,63360,9277,0,275914752,470,676,wow://input/data/work/22/77ca7542a806feaae485b22583b172,true,-,-,-,4,14
76,siena13,8b/055d8b,nf-8b055d8b44a6e7420a607d435bd13c4d-a50a2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1760094561486,1760094811000,1760095046000,484514,234459,-,182.1,2.3,4592418816,7337283584,4592418816,7337332736,604090152,179277408,60867,6061,0,179982336,462,720,wow://input/data/work/8b/055d8b44a6e7420a607d435bd13c4d,true,-,-,-,6,92
