cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena07,5a/f49c4e,nf-5af49c4ee78efc91cd8fdeb4fecb60ea-888bc,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_ANALYSIS_MASK (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1767829099960,1767829100000,1767829613000,513040,506791,-,97.4,0.0,38633472,45510656,40419328,47497216,8165613273,38862180,2683761,38888,1589248,37818368,4430,1956,wow://input/data/work/5a/f49c4ee78efc91cd8fdeb4fecb60ea,true,-
-,2,siena07,fd/838a7d,nf-fd838a7d7e18fcd0ef3ceea2ca25b2aa-888bc,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST,aoi,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_GENERATE_TILE_ALLOW_LIST (aoi),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,1,14400000,-,6442450944,1,1767829099780,1767829100000,1767830330000,1230220,1229902,-,98.0,0.0,117272576,2036076544,119123968,2075181056,8258139154,61924954,2865091,52035,3911680,66576384,8972,2595,wow://input/data/work/fd/838a7d7e18fcd0ef3ceea2ca25b2aa,true,-
-,19,siena11,50/5469b8,nf-505469b88e7ff33a4fe0317a8330368c-8eb5b,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850408_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850408_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830336978,1767830337000,1767830380000,43022,42083,-,157.7,1.5,3115646976,3488428032,3115646976,3488477184,580800262,5521,58721,29,1921024,28672,188,502,wow://input/data/work/50/5469b88e7ff33a4fe0317a8330368c,true,-
-,17,siena15,89/31324c,nf-8931324c8753fd96f524ec17d8044e3e-0be7f,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840507_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840507_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830336785,1767830337000,1767830436000,99215,98552,-,130.4,1.4,2861170688,3376267264,3280842752,3573207040,552379100,5526,58605,29,274432,28672,173,187,wow://input/data/work/89/31324c8753fd96f524ec17d8044e3e,true,-
-,8,siena09,fb/c64d7e,nf-fbc64d7e969580e0a57dd818a5d8339a-b0bcb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830335680,1767830336000,1767830457000,121320,120381,-,135.4,1.6,3220938752,3717926912,3281035264,3717976064,603554729,5525,59090,29,139264,28672,165,390,wow://input/data/work/fb/c64d7e969580e0a57dd818a5d8339a,true,-
-,408,siena11,e6/3cadf2,nf-e63cadf2a0ac553947f937ac12a1cece-74751,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_203033_19840731_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_203033_19840731_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830365456,1767830383000,1767830476000,110544,92652,-,163.7,1.5,3128778752,3649912832,3160604672,3649961984,406200627,5522,34525,29,0,28672,89,302,wow://input/data/work/e6/3cadf2a0ac553947f937ac12a1cece,true,-
-,4,siena07,c6/0e659d,nf-c60e659d81ee84bbbe11adb4be3248fd-38b12,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19860427_20200917_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19860427_20200917_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830335274,1767830335000,1767830491000,155726,155086,-,133.6,1.6,3276046336,3625824256,3276046336,3625873408,592912597,5525,58988,29,0,28672,7011,5068,wow://input/data/work/c6/0e659d81ee84bbbe11adb4be3248fd,true,-
1.304,66,siena09,6d/d97598,nf-6dd975989d92362a2062988d9e8a930c-677f2,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200033_19840523_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200033_19840523_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830342268,1767830460000,1767830557000,214732,95604,-,171.0,1.7,3359866880,3749441536,3359866880,3749490688,600132182,5525,59115,29,0,28672,106,620,wow://input/data/work/6d/d975989d92362a2062988d9e8a930c,true,-
1.636,384,siena07,08/ecf58e,nf-08ecf58e91ded71dcdad0916f938639b-16ab3,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200031_19840608_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200031_19840608_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830364285,1767830493000,1767830586000,221715,92371,-,173.4,1.7,3348975616,3728871424,3348975616,3728920576,601747376,5525,59302,29,0,28672,2007,6929,wow://input/data/work/08/ecf58e91ded71dcdad0916f938639b,true,-
-,5,siena07,9f/67ad59,nf-9f67ad59a69d6eaf7c40edc5100592a2-e10f7,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS,LT05_L1TP_200032_19850814_20200918_02_T1,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_200032_19850814_20200918_02_T1),COMPLETED,0,-,quay.io/nf-core/force:3.8.01,6,28800000,-,38654705664,1,1767830335373,1767830335000,1767830589000,253627,252628,-,185.5,2.2,4492775424,7234519040,4492775424,7234568192,592852057,406674251,61898,13700,1011712,408223744,6905,3876,wow://input/data/work/9f/67ad59a69d6eaf7c40edc5100592a2,true,-
