cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,1,siena14,53/d40d28,nf-53d40d288c5d80e400c4a03f231d2a8c-3a2ad,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1766598787658,1766598795000,1766598796000,8342,0,-,64.2,0.0,3198976,5640192,3198976,5644288,712440,4914,281,19,167936,16384,3,3,/input/data/work/53/d40d288c5d80e400c4a03f231d2a8c,true,-
-,2,siena15,16/db4ff9,nf-16db4ff9bce35b80ce3b62a52713bc2d-32539,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1766598787858,1766598793000,1766598808000,20142,14000,-,80.8,0.6,1174786048,1186750464,1174786048,1186754560,4064228053,838279371,496318,104482,233472,838287360,234,1318,/input/data/work/16/db4ff9bce35b80ce3b62a52713bc2d,true,-
-,3,siena13,8c/ed63c2,nf-8ced63c22f1b0cf24585b53eb21f7b70-3a2ad,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1766598787465,1766598792000,1766598805000,17535,12000,-,88.3,0.0,4820992,12550144,4820992,12554240,3147402743,5953,48263,21,8192000,16384,45,732,/input/data/work/8c/ed63c22f1b0cf24585b53eb21f7b70,true,-
-,11,siena12,d1/0d3b09,nf-d10d3b097c44e602ab47a29b2f193fdf-924f7,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598802960,1766598806000,1766598880000,77040,71000,-,202.0,0.6,1199001600,5049229312,1200861184,5050368000,1740145389,3670765,3365680,11315,24514560,4259840,93,7,/input/data/work/d1/0d3b097c44e602ab47a29b2f193fdf,true,-
-,14,siena13,ed/a6b43e,nf-eda6b43e2e503866ff41ebec9e2d2da7-4ec95,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598802986,1766598803000,1766598895000,92014,90000,-,200.8,0.5,1093746688,4900986880,1094115328,4902629376,2183675462,3676836,4231882,11195,19636224,4354048,12,37,/input/data/work/ed/a6b43e2e503866ff41ebec9e2d2da7,true,-
-,8,siena15,bf/70f2b7,nf-bf70f2b7469f2b6272b3322b62d9ad2d-c2a4f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598802578,1766598803000,1766598909000,106422,104000,-,200.0,0.5,1092055040,4832825344,1092296704,4897841152,2508590480,3693312,4866296,11270,50995200,4423680,126,3,/input/data/work/bf/70f2b7469f2b6272b3322b62d9ad2d,true,-
-,6,siena14,91/a4fce1,nf-91a4fce1fc71b8c51946578a3d9c5593-78d03,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598801465,1766598805000,1766598911000,109535,104000,-,201.6,0.5,1097895936,4834922496,1098010624,4899938304,2508431981,3693312,4866148,11354,50995200,4390912,127,7,/input/data/work/91/a4fce1fc71b8c51946578a3d9c5593,true,-
-,4,siena12,26/50365c,nf-2650365cfc3048eba8292d0b707732c2-78d03,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598801757,1766598806000,1766598912000,110243,104000,-,200.1,0.6,1128136704,4976873472,1129381888,4976877568,2508431966,3693311,4866147,11270,0,4423680,11,4,/input/data/work/26/50365cfc3048eba8292d0b707732c2,true,-
-,10,siena13,92/85709b,nf-9285709b1571c6200ad5ba91bf855724-3ccce,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598802364,1766598802000,1766598911000,108636,107000,-,199.7,0.6,1221636096,5049229312,1225732096,5053116416,2589104028,3695788,5023747,11313,35553280,4448256,126,11,/input/data/work/92/85709b1571c6200ad5ba91bf855724,true,-
-,18,siena09,1d/699d6a,nf-1d699d6a56bc2ae08156f3b1e5ad41de-afbd0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1766598803195,1766598803000,1766598914000,110805,109000,-,201.5,0.5,1094225920,4832825344,1094434816,4897841152,2677429799,3684422,5196250,11214,55193600,4407296,125,11,/input/data/work/1d/699d6a56bc2ae08156f3b1e5ad41de,true,-
