task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
3,siena11,01/44586c,nf-0144586c31e14f80f4c9210f15789497-47781,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1758869681685,1758869687000,1758869687000,5315,0,-,53.8,0.0,3190784,5640192,3190784,5644288,712675,4919,279,18,5648384,16384,3,4,/input/data/work/01/44586c31e14f80f4c9210f15789497,true,-
1,siena15,81/fe2c38,nf-81fe2c38dd5cfa2f3c9e0f8175ff32c9-11d02,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1758869681496,1758869682000,1758869696000,14504,14000,-,82.1,0.0,4812800,12550144,4812800,12554240,3147402952,5957,48261,20,9609216,16384,49,1622,/input/data/work/81/fe2c38dd5cfa2f3c9e0f8175ff32c9,true,-
2,siena14,8a/1ad50f,nf-8a1ad50f89b856adaeea190a14566682-3aac9,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1758869681313,1758869687000,1758869704000,22687,16000,-,82.0,0.3,682270720,693813248,682270720,693817344,4064228317,838279376,496316,104481,6762496,838287360,215,2741,/input/data/work/8a/1ad50f89b856adaeea190a14566682,true,-
47,siena15,ba/f23c09,nf-baf23c09654745aa5de81b226430fef5-b836f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869693898,1758869694000,1758869759000,65102,64000,-,193.0,0.2,499191808,3889123328,499671040,3950608384,1417785006,3669192,2736069,11184,33009664,4263936,13,11,/input/data/work/ba/f23c09654745aa5de81b226430fef5,true,-
11,siena14,60/b5baa3,nf-60b5baa346a1eaceedff2062ecaf81c5-23655,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869692068,1758869692000,1758869769000,76932,76000,-,193.5,0.2,463228928,3745075200,463450112,3812188160,1740179946,3670770,3365693,11314,32890880,4317184,13,5,/input/data/work/60/b5baa346a1eaceedff2062ecaf81c5,true,-
14,siena15,66/16fb3e,nf-6616fb3ef8321ffb3ce2b0dcf923e78b-c6e61,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869692186,1758869692000,1758869789000,96814,96000,-,194.5,0.2,467214336,3745075200,467537920,3745083392,2183677462,3676839,4231887,11236,0,4403200,12,8,/input/data/work/66/16fb3ef8321ffb3ce2b0dcf923e78b,true,-
46,siena07,e6/4f6053,nf-e64f60537bcfa4255e58989b728ed068-5f1fc,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869693720,1758869694000,1758869795000,101280,99000,-,196.2,0.2,463478784,3608752128,463478784,3675865088,2401470988,3695702,4657269,11266,25133056,4390912,97,28,/input/data/work/e6/4f60537bcfa4255e58989b728ed068,true,-
31,siena12,4a/c72e36,nf-4ac72e3687e539ef487342b762696ed6-583a1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869693215,1758869701000,1758869799000,105785,97000,-,195.9,0.3,522342400,3820961792,522342400,3852017664,2257105098,3675339,4375170,11284,28606464,4341760,7,6,/input/data/work/4a/c72e3687e539ef487342b762696ed6,true,-
82,siena14,cd/727048,nf-cd727048c3b97a7b27215f80fe565b85-edb25,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1758869734205,1758869734000,1758869797000,62795,60000,-,95.3,0.6,1189531648,1522278400,1190928384,1522282496,4568154799,1562136173,522502,3509959,61808640,1562165248,184,4513,/input/data/work/cd/727048c3b97a7b27215f80fe565b85,true,-
5,siena14,ca/4dc9b7,nf-ca4dc9b7cbcc59f1063b4afb051d4694-4574f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758869690583,1758869691000,1758869800000,109417,108000,-,195.8,0.2,506810368,3889123328,507346944,3950608384,2508434011,3693316,4866153,11353,35659776,5255168,126,8,/input/data/work/ca/4dc9b7cbcc59f1063b4afb051d4694,true,-
