cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena07,25/d1c790,nf-25d1c7902d6cba360d1254392bd5210c-ac1aa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1758954343580,1758954344000,1758954357000,13420,13000,-,86.6,0.0,4911104,12550144,4911104,12554240,3147402989,5961,48263,21,9650176,16384,40,1713,/input/data/work/25/d1c7902d6cba360d1254392bd5210c,true,-
-,-,2,siena09,ac/8146af,nf-ac8146af858239c88b44005cbe91d0f1-ac1aa,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1758954343785,1758954352000,1758954359000,15215,5000,-,1.6,0.0,3174400,5640192,3174400,5644288,712676,4921,281,19,8192,16384,2,2,/input/data/work/ac/8146af858239c88b44005cbe91d0f1,true,-
-,-,1,siena13,93/205cfb,nf-93205cfbd0c1809f03ef961432ce6767-ac1aa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1758954343971,1758954346000,1758954364000,20029,16000,-,77.7,0.3,568139776,577986560,568139776,577990656,4064228325,838279379,496318,104482,245760,838287360,122,2287,/input/data/work/93/205cfbd0c1809f03ef961432ce6767,true,-
-,-,82,siena11,9c/949240,nf-9c9492409e08cfbc875abb307b472303-fbec7,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1758954367091,1758954369000,1758954434000,66909,61000,-,94.2,0.6,1189597184,1522290688,1190948864,1522294784,4568154796,1562136176,522504,3509960,64720896,1562161152,129,4189,/input/data/work/9c/9492409e08cfbc875abb307b472303,true,-
-,-,13,siena12,a8/1b08fc,nf-a81b08fcef22fed3e0aba1e92a2dee75-900cd,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954363494,1758954364000,1758954440000,76506,74000,-,195.0,0.2,464760832,3745075200,464932864,3745955840,1740178931,3670773,3365690,11315,33062912,4280320,13,9,/input/data/work/a8/1b08fcef22fed3e0aba1e92a2dee75,true,-
-,-,16,siena07,da/026aa7,nf-da026aa77caee8a2b96d4a2a44e2f1f5-f69af,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954363518,1758954364000,1758954458000,94482,92000,-,195.4,0.3,523776000,3957284864,523776000,4024397824,2183677817,3676843,4231889,11321,60506112,4366336,119,2,/input/data/work/da/026aa77caee8a2b96d4a2a44e2f1f5,true,-
-,-,32,siena15,8e/073585,nf-8e0735859e7122757afce4a136be6fd9-53d02,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954364490,1758954366000,1758954464000,99510,96000,-,194.7,0.2,458506240,3608752128,458506240,3675865088,2256974480,3675359,4375052,11243,28413952,4345856,12,11,/input/data/work/8e/0735859e7122757afce4a136be6fd9,true,-
-,-,6,siena12,63/466a3c,nf-63466a3c5b28077e902c1b7a34dae91a-4ec33,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954362677,1758954363000,1758954472000,109323,107000,-,194.9,0.3,556326912,3825156096,558055424,3852017664,2508434277,3693320,4866157,11354,35659776,4448256,127,5,/input/data/work/63/466a3c5b28077e902c1b7a34dae91a,true,-
-,-,8,siena13,73/6512d2,nf-736512d2dbd61fde910db521b9849526-233fe,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954363196,1758954363000,1758954473000,109804,108000,-,194.1,0.3,542232576,3893317632,544096256,3960430592,2508433763,3693320,4866154,11354,60366848,4431872,127,9,/input/data/work/73/6512d2dbd61fde910db521b9849526,true,-
-,-,21,siena12,0a/eb68f4,nf-0aeb68f401f54da1c8798a5541b47efe-e66c8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758954363873,1758954364000,1758954473000,109127,107000,-,193.8,0.3,550375424,3893317632,550375424,3897933824,2518976224,3693331,4886778,11265,4194304,4427776,11,9,/input/data/work/0a/eb68f401f54da1c8798a5541b47efe,true,-
