cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,3,siena07,96/269924,nf-962699242b08f3807550ae4eddbc5acf-e954f,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1768047178957,1768047179000,1768047192000,13043,13000,-,87.1,0.0,4935680,12550144,4935680,12554240,3147402926,5960,48263,21,8192000,16384,45,1599,/input/data/work/96/2699242b08f3807550ae4eddbc5acf,true,-
-,-,2,siena09,86/4eb0d5,nf-864eb0d5b320d4da27c6a51a7cc82844-e954f,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768047179157,1768047185000,1768047195000,15843,5000,-,1.2,0.0,3223552,5640192,3223552,5644288,712618,4919,281,19,32768,16384,2,2,/input/data/work/86/4eb0d5b320d4da27c6a51a7cc82844,true,-
-,-,1,siena13,4b/03940d,nf-4b03940db527c9658d1f2c47f225fc64-e954f,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768047179277,1768047181000,1768047198000,18723,15000,-,77.6,0.5,915599360,927612928,915599360,927617024,4064228256,838279377,496318,104482,233472,838287360,218,925,/input/data/work/4b/03940db527c9658d1f2c47f225fc64,true,-
-,-,12,siena09,80/99b225,nf-8099b2251bfb1b7a7102717598598897-9f444,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047199263,1768047206000,1768047282000,82737,74000,-,200.2,0.5,1093066752,4832825344,1093656576,4899938304,1740178080,3670771,3365688,11315,11636736,4288512,6,3,/input/data/work/80/99b2251bfb1b7a7102717598598897,true,-
-,-,14,siena12,14/088669,nf-1408866982aa55ec429cae20674b684c-c6984,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047199673,1768047205000,1768047297000,97327,90000,-,200.5,0.5,1093324800,4764663808,1093668864,4766306304,2183675567,3676840,4231882,11279,50995200,4333568,122,2,/input/data/work/14/08866982aa55ec429cae20674b684c,true,-
-,-,8,siena07,ca/6c9d5d,nf-ca6c9d5db3617086ca65c8c147e35f0b-e49c2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047199066,1768047199000,1768047305000,105934,104000,-,201.3,0.5,1094270976,4832825344,1094696960,4899938304,2508432230,3693319,4866149,11354,25653248,4390912,88,1,/input/data/work/ca/6c9d5db3617086ca65c8c147e35f0b,true,-
-,-,6,siena14,f1/879f85,nf-f1879f8538491f128615d4536e194915-3cea1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047198159,1768047205000,1768047310000,111841,103000,-,199.2,0.6,1201573888,4981067776,1202384896,5048180736,2508432172,3693318,4866148,11354,50204672,4390912,122,2,/input/data/work/f1/879f8538491f128615d4536e194915,true,-
-,-,4,siena11,c0/d4c015,nf-c0d4c01586b430a12d0d5f567402757f-91f51,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047198573,1768047200000,1768047306000,107427,104000,-,201.9,0.5,1093468160,4764663808,1093808128,4764672000,2508432582,3693315,4866150,11312,50995200,4399104,130,4,/input/data/work/c0/d4c01586b430a12d0d5f567402757f,true,-
-,-,19,siena14,49/b816c5,nf-49b816c5212f5fa7ec7bd83cc56f8b90-2d027,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047199988,1768047205000,1768047310000,110012,103000,-,200.3,0.6,1131962368,5045035008,1132478464,5045039104,2518975141,3693325,4886774,11265,737280,4374528,7,3,/input/data/work/49/b816c5212f5fa7ec7bd83cc56f8b90,true,-
-,-,10,siena14,00/509818,nf-00509818a1e9e6385ec8c362c373ce14-da2ac,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768047199562,1768047205000,1768047315000,115438,106000,-,199.7,0.6,1198215168,5049229312,1201696768,5053853696,2589104216,3695794,5023747,11313,0,4423680,7,3,/input/data/work/00/509818a1e9e6385ec8c362c373ce14,true,-
