cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,1,siena07,57/8a46d7,nf-578a46d739fc253dd0db71b8f9ccc7e8-9eb6b,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1760238559273,1760238559000,1760238560000,727,0,-,53.9,0.0,10395648,15978496,10395648,15982592,712717,4922,281,19,5353472,16384,46,3,wow://input/data/work/57/8a46d739fc253dd0db71b8f9ccc7e8,true,-
-,-,2,siena07,c3/30b296,nf-c330b2969cb7040b9afb5637fe2de6d1-9eb6b,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1760238559077,1760238559000,1760238573000,13923,13000,-,89.0,0.6,1174630400,1186750464,1174630400,1186754560,4064228353,838279379,496318,104482,393216,838287360,564,29812,wow://input/data/work/c3/30b2969cb7040b9afb5637fe2de6d1,true,-
-,-,3,siena07,76/3ef276,nf-763ef2764cee4d8be4895fbe23616782-9eb6b,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1760238558970,1760238559000,1760238572000,13030,12000,-,92.6,0.0,4853760,12550144,4853760,12554240,3147403017,5961,48263,21,8192000,16384,26,284,wow://input/data/work/76/3ef2764cee4d8be4895fbe23616782,true,-
-,-,13,siena15,c6/29dc6c,nf-c629dc6cd157f2283d55eec2dbbe3986-732c0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238567979,1760238568000,1760238642000,74021,72000,-,201.8,0.6,1171558400,4912906240,1172905984,4939767808,1740269583,3670773,3365794,11231,50995200,4259840,126,9,wow://input/data/work/c6/29dc6cd157f2283d55eec2dbbe3986,true,-
-,-,16,siena11,fc/eadda3,nf-fceadda357d3a5c16fd412f2ae9e5c48-69142,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238568190,1760238568000,1760238659000,90810,89000,-,201.8,0.5,1093267456,4900986880,1093681152,4900995072,2183676206,3676843,4231882,11279,50995200,4345856,129,3,wow://input/data/work/fc/eadda357d3a5c16fd412f2ae9e5c48,true,-
-,-,6,siena07,19/2856f1,nf-192856f1f6ad59e13eb03dfd8ef92bfd-f1e01,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238566674,1760238567000,1760238672000,105326,103000,-,200.3,0.6,1139851264,4976873472,1140424704,5043986432,2508432795,3693319,4866147,11354,35790848,4444160,119,2,wow://input/data/work/19/2856f1f6ad59e13eb03dfd8ef92bfd,true,-
-,-,4,siena09,6d/9b7868,nf-6d9b786840058c3dc332e6a556ab6d21-a649b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238566869,1760238567000,1760238672000,105131,102000,-,201.9,0.5,1093054464,4832825344,1093410816,4899938304,2508431680,3693318,4866144,11312,50995200,4390912,125,9,wow://input/data/work/6d/9b786840058c3dc332e6a556ab6d21,true,-
-,-,7,siena13,ba/1ef13e,nf-ba1ef13e718142f5e068953f78d109b0-17ae2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238567574,1760238568000,1760238672000,104426,102000,-,201.1,0.6,1141641216,4976873472,1142226944,5038358528,2508433052,3693316,4866151,11354,50995200,4390912,127,7,wow://input/data/work/ba/1ef13e718142f5e068953f78d109b0,true,-
-,-,12,siena14,c3/e970c3,nf-c3e970c3b307d8527a57bc5d768a588e-b7bbe,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238567786,1760238568000,1760238675000,107214,105000,-,200.9,0.5,1092620288,4832825344,1092931584,4899938304,2589104776,3695797,5023746,11271,55226368,4386816,126,9,wow://input/data/work/c3/e970c3b307d8527a57bc5d768a588e,true,-
-,-,18,siena12,c9/eacaeb,nf-c9eacaeb4f1803115bf75a6eeeb39d9b-15721,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1760238568383,1760238568000,1760238691000,122617,121000,-,199.0,0.5,1091436544,4900986880,1091878912,4900995072,2978871509,3686634,5784998,11297,50995200,4435968,127,2,wow://input/data/work/c9/eacaeb4f1803115bf75a6eeeb39d9b,true,-
