task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,siena07,b3/e55635,nf-b3e556359a0af17ef9ebb5d166ae6667-03e8e,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1073741824,1,1758890211700,1758890212000,1758890212000,300,0,-,60.0,0.0,12546048,17530880,12546048,20443136,712682,4919,279,18,8192,16384,2,3,wow://input/data/work/b3/e556359a0af17ef9ebb5d166ae6667,true,-,-,-,7,123
3,siena07,b7/70f43c,nf-b770f43c1df1daad63f2eeee5332f53a-03e8e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,1712324608,1,1758890211490,1758890212000,1758890226000,14510,14000,-,85.0,0.6,1174740992,1186750464,1174740992,1186754560,4064228319,838279376,496316,104481,266240,838287360,186,2378,wow://input/data/work/b7/70f43c1df1daad63f2eeee5332f53a,true,-,-,-,196,412
1,siena07,45/7c8ea3,nf-457c8ea3b4d1b295de9ed556c14eade1-03e8e,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,1073741824,1,1758890211799,1758890212000,1758890225000,13201,13000,-,84.9,0.0,4902912,12550144,4902912,12554240,3147402982,5958,48261,20,8192000,16384,30,304,wow://input/data/work/45/7c8ea3b4d1b295de9ed556c14eade1,true,-,-,-,66,31
82,siena07,ce/3578c0,nf-ce3578c0c29e7ddf436f133badee129d-645de,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,rsem/genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),COMPLETED,0,-,quay.io/biocontainers/mulled-v2-cf0123ef83b3c38c13e3b0696a3f285d3f20f15b:64aad4a4e144878400649e71f42105311be7ed87-0,1,57600000,-,1729101824,1,1758890227894,1758890228000,1758890288000,60106,60000,-,94.2,0.6,1189224448,1522274304,1190580224,1522278400,4568154776,1562136155,522502,3509959,627806208,1562173440,229,36158,wow://input/data/work/ce/3578c0c29e7ddf436f133badee129d,true,-,-,-,3,20
13,siena09,73/c61fab,nf-73c61fab598a3359fdafb3fc9837c100-573e0,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890219912,1758890220000,1758890296000,76088,75000,-,193.2,0.2,485957632,3821264896,487002112,3852017664,1740180910,3670770,3365694,11230,430080,4292608,12,8,wow://input/data/work/73/c61fab598a3359fdafb3fc9837c100,true,-,-,-,4,39
16,siena13,5a/f7d748,nf-5af7d748ec28c33fa5df4c4dca8b52de-49e1a,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890220079,1758890220000,1758890315000,94921,94000,-,194.1,0.3,521789440,3961479168,523137024,4024397824,2183677461,3676840,4231885,11236,180224,4362240,12,3,wow://input/data/work/5a/f7d748ec28c33fa5df4c4dca8b52de,true,-,-,-,4,82
33,siena15,67/991bb3,nf-67991bb3ec7eb316a63f1a2dd1bd981c-c4b3f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221189,1758890222000,1758890319000,97811,96000,-,194.4,0.3,562233344,3961479168,566013952,3968372736,2256974162,3675338,4375047,11326,0,4345856,12,6,wow://input/data/work/67/991bb3ec7eb316a63f1a2dd1bd981c,true,-,-,-,12,66
6,siena07,c5/5849a9,nf-c55849a9d3cbb2d18c89e4b658def8a1-8cdc2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890219083,1758890219000,1758890328000,108917,108000,-,195.3,0.3,528875520,3825156096,528875520,3852017664,2508433529,3693317,4866149,11353,16437248,4501504,96,3,wow://input/data/work/c5/5849a9d3cbb2d18c89e4b658def8a1,true,-,-,-,5,109
5,siena07,87/7a1607,nf-877a1607804c37a6fae5b5fb930b995c-f2a62,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890219279,1758890219000,1758890328000,108721,108000,-,195.9,0.3,511840256,3820961792,512331776,3852017664,2508434552,3693316,4866153,11353,0,4509696,4,0,wow://input/data/work/87/7a1607804c37a6fae5b5fb930b995c,true,-,-,-,6,104
7,siena07,75/edb64b,nf-75edb64b20003f3b4dade85f8ae450a6-ce2f3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890219768,1758890220000,1758890327000,107232,106000,-,196.3,0.3,572301312,3893317632,573394944,3956236288,2508434552,3693317,4866153,11311,1142784,4493312,4,3,wow://input/data/work/75/edb64b20003f3b4dade85f8ae450a6,true,-,-,-,6,92
12,siena07,9c/7ccc7b,nf-9c7ccc7b52fbafafa62802af2d470179-caa08,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890219796,1758890220000,1758890331000,111204,110000,-,196.3,0.2,460935168,3676913664,460935168,3676921856,2589237215,3695793,5023872,11270,0,4583424,4,2,wow://input/data/work/9c/7ccc7b52fbafafa62802af2d470179,true,-,-,-,5,22
21,siena14,8e/ee5203,nf-8eee5203f386d1702d61b9f1e1bc8fb7-9bcf4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890220581,1758890221000,1758890329000,108419,107000,-,193.6,0.3,583434240,3893317632,583524352,3958333440,2518976442,3693328,4886774,11306,28581888,4395008,12,8,wow://input/data/work/8e/ee5203f386d1702d61b9f1e1bc8fb7,true,-,-,-,4,76
37,siena15,1e/7dc019,nf-1e7dc0190051e016485cb3ac9217801d-c2f4f,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221434,1758890222000,1758890331000,109566,108000,-,196.7,0.3,517795840,3889123328,517861376,3921825792,2560115296,3690879,4966986,11219,0,4419584,12,9,wow://input/data/work/1e/7dc0190051e016485cb3ac9217801d,true,-,-,-,6,25
41,siena12,67/b755c9,nf-67b755c9d090f63b6eb08616741c093b-e2e77,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221680,1758890223000,1758890330000,108320,106000,-,194.1,0.3,558870528,3893317632,558870528,3960430592,2508434101,3694700,4866181,11269,27336704,4390912,12,13,wow://input/data/work/67/b755c9d090f63b6eb08616741c093b,true,-,-,-,6,68
43,siena12,18/65cb47,nf-1865cb47dc18cfd8b5bbdd66beeea84d-7a251,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221705,1758890222000,1758890331000,109295,108000,-,194.6,0.3,538660864,3893317632,538660864,3894743040,2544433258,3679550,4936380,11209,35659776,4374528,125,9,wow://input/data/work/18/65cb47dc18cfd8b5bbdd66beeea84d,true,-,-,-,5,19
45,siena12,e6/08f791,nf-e608f791f1b69a2542db4ce231992f2c-d91b6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_100_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_100_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221809,1758890222000,1758890330000,108191,107000,-,194.5,0.3,566276096,3893317632,566276096,3897942016,2508130874,3695800,4865455,11322,9719808,4395008,11,12,wow://input/data/work/e6/08f791f1b69a2542db4ce231992f2c,true,-,-,-,5,19
19,siena13,ff/a45246,nf-ffa452461ed8b75b90b4b6a80c700eb9-a7d70,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890220309,1758890221000,1758890335000,114691,113000,-,195.6,0.3,525750272,3889123328,525750272,3950608384,2677431815,3684427,5196254,11297,0,4448256,12,12,wow://input/data/work/ff/a452461ed8b75b90b4b6a80c700eb9,true,-,-,-,7,31
29,siena14,73/d8f55a,nf-73d8f55a07ae97018a806676601d960d-d244b,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221001,1758890221000,1758890333000,111999,110000,-,195.4,0.2,463249408,3881398272,463732736,3881406464,2627196213,3685678,5098142,11222,0,4452352,12,8,wow://input/data/work/73/d8f55a07ae97018a806676601d960d,true,-,-,-,7,76
32,siena15,26/4093d5,nf-264093d52cdc438c0763955bc7f6ec17-31e10,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221077,1758890221000,1758890340000,118923,117000,-,196.0,0.3,549535744,4027543552,549535744,4027547648,2792758936,3701610,5421498,11330,5251072,4579328,13,11,wow://input/data/work/26/4093d52cdc438c0763955bc7f6ec17,true,-,-,-,4,70
36,siena15,0c/d68811,nf-0cd6881147a424715dfe449646a258d1-f0e57,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221314,1758890222000,1758890337000,115686,114000,-,195.1,0.2,490835968,3889123328,490835968,3956236288,2711662777,3696010,5263116,11321,0,4464640,12,8,wow://input/data/work/0c/d6881147a424715dfe449646a258d1,true,-,-,-,7,27
47,siena12,c8/84958e,nf-c884958e33f51bad5e73fc1100656606-d91b6,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNb_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNb_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221886,1758890222000,1758890340000,118114,117000,-,194.8,0.3,563802112,3893317632,569536512,3893739520,2761690981,3683684,5360821,11294,4198400,4505600,12,11,wow://input/data/work/c8/84958e33f51bad5e73fc1100656606,true,-,-,-,4,72
17,siena13,0a/c95ffd,nf-0ac95ffdbed508ca9aec0dbba696321f-48487,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890220269,1758890220000,1758890346000,125731,124000,-,195.8,0.2,470106112,3815333888,470106112,3815337984,2978873011,3686631,5785002,11296,0,4505600,12,10,wow://input/data/work/0a/c95ffdbed508ca9aec0dbba696321f,true,-,-,-,4,75
39,siena11,ed/49fb8f,nf-ed49fb8f3cd507f5facbaf5f4ab65f5f-36b1d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_rhIFNa2b_1000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_rhIFNa2b_1000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890221580,1758890222000,1758890345000,123420,122000,-,196.0,0.2,456585216,3676913664,456937472,3676921856,2938871042,3692534,5706875,11273,180224,4440064,17,10,wow://input/data/work/ed/49fb8f3cd507f5facbaf5f4ab65f5f,true,-,-,-,10,69
24,siena13,78/28d250,nf-7828d250882bd7f2daa61ce6f5214dbd-124b8,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_1000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_1000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1073741824,1,1758890220498,1758890221000,1758890351000,130502,129000,-,194.9,0.2,504750080,3889123328,504750080,3956236288,3094682118,3668436,6011185,11271,0,4542464,12,9,wow://input/data/work/78/28d250882bd7f2daa61ce6f5214dbd,true,-,-,-,4,25
