cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,3,siena07,bd/a77b66,nf-bda77b66206fd7059011861fd9a01bb2-af399,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768027416659,1768027417000,1768027418000,1341,0,-,55.8,0.0,10559488,16240640,10559488,16244736,712625,4921,281,19,5353472,16384,46,2,wow://input/data/work/bd/a77b66206fd7059011861fd9a01bb2,true,-
-,2,siena07,6d/3e521c,nf-6d3e521c8d893ac69eb7d2677e59d206-af399,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768027416765,1768027417000,1768027432000,15235,14000,-,85.3,0.6,1174859776,1186750464,1174859776,1186754560,4064228259,838279378,496318,104482,520192,838287360,499,13181,wow://input/data/work/6d/3e521c8d893ac69eb7d2677e59d206,true,-
-,1,siena07,7b/8ee66f,nf-7b8ee66fbfab82ffdf4d815ab06da20d-af399,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1768027416956,1768027417000,1768027429000,12044,11000,-,90.7,0.0,4845568,12550144,4845568,12554240,3147402924,5960,48263,21,8192000,16384,26,89,wow://input/data/work/7b/8ee66fbfab82ffdf4d815ab06da20d,true,-
-,11,siena13,aa/d2997a,nf-aad2997a983f8ee3f8fa90a27cd1cc96-a01ba,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027425478,1768027426000,1768027499000,73522,71000,-,202.5,0.6,1199517696,4912906240,1199517696,4977922048,1740145813,3670771,3365679,11315,50995200,4259840,127,9,wow://input/data/work/aa/d2997a983f8ee3f8fa90a27cd1cc96,true,-
-,14,siena14,71/430d9a,nf-71430d9a5d89de80dd17b22e657c4fbc-61dca,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027425592,1768027426000,1768027518000,92408,90000,-,199.5,0.5,1092055040,4900986880,1092505600,4900995072,2183676133,3676842,4231882,11279,55189504,4345856,126,6,wow://input/data/work/71/430d9a5d89de80dd17b22e657c4fbc,true,-
-,4,siena07,8f/63ba86,nf-8f63ba865ce7bc088091a718fa39be48-dd072,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027424355,1768027425000,1768027530000,105645,103000,-,199.7,0.5,1093074944,4696502272,1093427200,4697432064,2508432706,3693318,4866149,11270,4296704,4440064,4,1,wow://input/data/work/8f/63ba865ce7bc088091a718fa39be48,true,-
-,6,siena07,e3/f8769b,nf-e3f8769beb454748d7c13e8b7d82eaf7-dd072,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027424571,1768027425000,1768027529000,104429,102000,-,200.6,0.6,1164009472,4981067776,1164144640,5043986432,2508432708,3693319,4866149,11270,36208640,4444160,99,1,wow://input/data/work/e3/f8769beb454748d7c13e8b7d82eaf7,true,-
-,8,siena07,c7/ee4eca,nf-c7ee4ecafdfe14e4113ea460fd7a91d5-fa81d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027425161,1768027425000,1768027532000,106839,105000,-,201.1,0.5,1093226496,4764663808,1093636096,4764672000,2508432706,3693319,4866149,11312,0,4468736,4,32,wow://input/data/work/c7/ee4ecafdfe14e4113ea460fd7a91d5,true,-
-,19,siena12,d8/913785,nf-d8913785587d2844e7b4b93b996f8f82-e0a04,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027425884,1768027426000,1768027532000,106116,104000,-,200.5,0.6,1151320064,4908711936,1151320064,4939767808,2518975534,3693323,4886773,11307,50995200,4390912,127,8,wow://input/data/work/d8/913785587d2844e7b4b93b996f8f82,true,-
-,10,siena09,33/55441d,nf-3355441df698f107971fd3107adf8758-55f12,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768027425362,1768027425000,1768027535000,109638,107000,-,201.4,0.6,1145671680,4978970624,1145683968,5043986432,2589104669,3695794,5023746,11271,55193600,4382720,126,6,wow://input/data/work/33/55441df698f107971fd3107adf8758,true,-
