cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena07,f9/8509dc,nf-f98509dc8010ec40fc525d3d3da77edd-97627,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK,input.csv,NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (input.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768016888168,1768016888000,1768016889000,832,0,-,64.9,0.0,12701696,17928192,12701696,20443136,712622,4921,281,19,8192,16384,2,2,wow://input/data/work/f9/8509dc8010ec40fc525d3d3da77edd,true,-
-,3,siena07,ac/d8bfaf,nf-acd8bfafe063d5cb6145c83036118985-97627,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (genome.fa),COMPLETED,0,-,quay.io/biocontainers/python:3.9--1,1,14400000,-,6442450944,1,1768016888275,1768016888000,1768016903000,14725,15000,-,81.8,0.4,797601792,807702528,797601792,807706624,4064228256,838279378,496318,104482,0,838287360,6245,26463,wow://input/data/work/ac/d8bfafe063d5cb6145c83036118985,true,-
-,1,siena07,11/bebd93,nf-11bebd9300c140f7a9a6e3f761a56bd7-97627,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1768016888055,1768016888000,1768016900000,11945,12000,-,88.2,0.0,4755456,12550144,4755456,12554240,3147402920,5960,48263,21,8192000,16384,3868,6172,wow://input/data/work/11/bebd9300c140f7a9a6e3f761a56bd7,true,-
-,11,siena13,dd/53a59e,nf-dd53a59e2449780deb5820995a40a20e-f6af3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016897589,1768016898000,1768016972000,74411,72000,-,200.8,0.6,1142460416,4910809088,1142460416,4939767808,1740145811,3670771,3365679,11315,55193600,4284416,127,11,wow://input/data/work/dd/53a59e2449780deb5820995a40a20e,true,-
-,14,siena14,bf/967e90,nf-bf967e90f60a4febfe5ad38d0ae00b9a-f6af3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016897758,1768016898000,1768016991000,93242,90000,-,200.6,0.5,1094664192,4696502272,1094995968,4761518080,2183676130,3676842,4231883,11279,54792192,4333568,125,10,wow://input/data/work/bf/967e90f60a4febfe5ad38d0ae00b9a,true,-
-,7,siena07,14/d5adf2,nf-14d5adf2002cd7843802dedfe2f05160-bf83d,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP2,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP2),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016895973,1768016896000,1768017002000,106027,104000,-,199.9,0.5,1101291520,4834922496,1101291520,4899938304,2508432706,3693319,4866149,11312,19775488,4444160,88,4,wow://input/data/work/14/d5adf2002cd7843802dedfe2f05160,true,-
-,5,siena07,a6/f014a8,nf-a6f014a863e1752ba078fd6cb12f430f-b3a38,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016896366,1768016896000,1768017002000,105634,103000,-,199.3,0.6,1151901696,4976873472,1152307200,5043986432,2508432703,3693318,4866149,11270,5730304,4444160,4,34,wow://input/data/work/a6/f014a863e1752ba078fd6cb12f430f,true,-
-,9,siena07,03/c5583a,nf-03c5583a7ea168abd64aaf7012a96f2d-0a1f4,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,CONTROL_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (CONTROL_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016897057,1768016897000,1768017003000,105943,104000,-,199.8,0.6,1148293120,5045035008,1148690432,5046267904,2508432703,3693319,4866148,11270,0,4440064,4,24,wow://input/data/work/03/c5583a7ea168abd64aaf7012a96f2d,true,-
-,10,siena09,ae/a0fd5d,nf-aea0fd5d57f8014c7280da7f9241b5d3-8af78,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_100000_REP1,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_100000_REP1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016897269,1768016897000,1768017007000,109731,108000,-,201.6,0.5,1101086720,4834922496,1101086720,4897841152,2589104414,3695794,5023746,11229,50995200,4382720,124,11,wow://input/data/work/ae/a0fd5d57f8014c7280da7f9241b5d3,true,-
-,19,siena12,da/a791fd,nf-daa791fd786ba85e597ca9f3d9074e7e-93594,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,TREATMENT_mIFNa11_10000_REP3,NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (TREATMENT_mIFNa11_10000_REP3),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1768016898470,1768016899000,1768017004000,105530,103000,-,200.6,0.5,1092321280,4764663808,1092734976,4831776768,2518976046,3693323,4886776,11265,50995200,4415488,127,10,wow://input/data/work/da/a791fd786ba85e597ca9f3d9074e7e,true,-
