cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,4,siena14,be/47e51b,nf-be47e51b38c138ae9be5ad0dacfbbfec-50517,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767448140358,1767448149000,1767448152000,11642,1000,-,88.8,0.0,2879488,11575296,2879488,11579392,11009380,33652570,507,1059,2523136,33701888,3,2,/input/data/work/be/47e51b38c138ae9be5ad0dacfbbfec,true,-
-,9,siena15,81/bb1ccb,nf-81bb1ccb5dcbab61ea440e7338d5152f-50517,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767448140585,1767448149000,1767448152000,11415,0,-,94.0,0.0,2867200,11575296,2867200,11579392,9300164,37200249,492,1169,2666496,37253120,3,2,/input/data/work/81/bb1ccb5dcbab61ea440e7338d5152f,true,-
-,6,siena11,5e/9c377c,nf-5e9c377cd10d303d60eb37350c19bebc-50517,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767448140975,1767448145000,1767448151000,10025,3000,-,92.6,0.0,9633792,42328064,9633792,42336256,113274083,388442018,1078,11876,4485120,388448256,50,153,/input/data/work/5e/9c377cd10d303d60eb37350c19bebc,true,-
-,12,siena14,c1/b39de1,nf-c1b39de1620321653cc20bf9da638b4d-50517,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767448141169,1767448149000,1767448151000,9831,0,-,77.4,0.0,2879488,11575296,2879488,11579392,52237,2602,147,18,0,12288,3,0,/input/data/work/c1/b39de1620321653cc20bf9da638b4d,true,-
-,10,siena11,8d/d3a5f6,nf-8dd3a5f647caa9d8b7e326b2da0efa46-50517,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767448141285,1767448145000,1767448151000,9715,3000,-,94.0,0.0,9617408,42328064,9617408,42336256,114383930,435495656,1086,13312,0,435499008,32,104,/input/data/work/8d/d3a5f647caa9d8b7e326b2da0efa46,true,-
-,89,siena14,bf/74ab11,nf-bf74ab114fa89615347c19c68003bd77-28dbf,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767448154874,1767448155000,1767448158000,3126,0,-,57.1,0.0,2736128,11575296,2736128,11579392,51336,2615,147,59,0,180224,3,2,/input/data/work/bf/74ab114fa89615347c19c68003bd77,true,-
-,90,siena13,88/c243d5,nf-88c243d50ebfb055a64fcae2127b90a3-cbb48,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1767448154795,1767448155000,1767448159000,4205,3000,-,100.7,0.1,111009792,3388264448,111009792,3610537984,53569746,119120,7680,35,127913984,147456,1661,120,/input/data/work/88/c243d50ebfb055a64fcae2127b90a3,true,-
-,91,siena13,43/8843ba,nf-438843baf0150e60cd655e7e2a697d8d-5f0a9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,1_1-249250621,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (1_1-249250621),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767448162274,1767448162000,1767448164000,1726,0,-,59.0,0.0,3211264,5640192,3211264,5644288,87242,3414,221,48,0,16384,3,3,/input/data/work/43/8843baf0150e60cd655e7e2a697d8d,true,-
-,92,siena14,6b/e886b7,nf-6be886b7ceced0ae150076954d427a49-0ef90,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,2_1-243199373,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (2_1-243199373),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767448162372,1767448163000,1767448164000,1628,0,-,33.3,0.0,3166208,5640192,3166208,5644288,87280,3430,223,48,4194304,16384,3,3,/input/data/work/6b/e886b7ceced0ae150076954d427a49,true,-
-,93,siena15,3e/4bcbb8,nf-3e4bcbb83af62b5a125eeecb01dd9ab1-a326e,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,3_1-198022430,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (3_1-198022430),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1767448162477,1767448163000,1767448164000,1523,0,-,44.2,0.0,3297280,5640192,3297280,5644288,87259,3389,221,48,1679360,16384,3,4,/input/data/work/3e/4bcbb83af62b5a125eeecb01dd9ab1,true,-
