task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
7,siena11,f3/c2a040,nf-f3c2a040c0f6955eb5f71077688c94fa-b81d0,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767430313355,1767430315000,1767430316000,2645,0,-,93.5,0.0,2969600,11575296,2969600,11579392,11009045,33652558,505,1058,0,33701888,5,6,/input/data/work/f3/c2a040c0f6955eb5f71077688c94fa,true,-
5,siena15,b2/e1d882,nf-b2e1d8823f9e3ea24d64f09b6af41e03-df5ed,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767430314074,1767430314000,1767430316000,1926,1000,-,89.1,0.0,2887680,11575296,2887680,11579392,9300156,37200246,490,1168,2523136,37253120,7,6,/input/data/work/b2/e1d8823f9e3ea24d64f09b6af41e03,true,-
11,siena11,56/b28ac9,nf-56b28ac94ac4b633a8b20568d2b14848-248e7,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767430313466,1767430314000,1767430320000,6534,3000,-,94.8,0.0,9637888,42328064,9637888,42336256,114383907,435495653,1084,13311,6717440,435499008,144,41,/input/data/work/56/b28ac94ac4b633a8b20568d2b14848,true,-
15,siena09,50/a38fd4,nf-50a38fd4df324cee62e8444c0776f463-8cd28,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767430313771,1767430323000,1767430324000,10229,0,-,8.9,0.0,2691072,11575296,2691072,11579392,52222,2601,145,17,24576,12288,1,1,/input/data/work/50/a38fd4df324cee62e8444c0776f463,true,-
9,siena09,5b/632ec8,nf-5b632ec884240baed242be939ff61dcf-813ff,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1767430313984,1767430323000,1767430329000,15016,3000,-,85.9,0.0,9699328,42328064,9699328,42336256,113274373,388442024,1076,11875,2523136,388448256,44,65,/input/data/work/5b/632ec884240baed242be939ff61dcf,true,-
90,siena09,60/2db90a,nf-602db90a0bd53d57f4ecf5f3ba2ed4d3-029d5,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1767430329201,1767430330000,1767430335000,5799,3000,-,84.3,0.1,143630336,3513085952,143630336,3610525696,53569737,119116,7678,34,123715584,147456,2585,324,/input/data/work/60/2db90a0bd53d57f4ecf5f3ba2ed4d3,true,-
89,siena11,06/ad9421,nf-06ad94212daca56bae357e8e4bdce7c6-fb67b,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1767430329494,1767430330000,1767430337000,7506,1000,-,10.1,0.0,2871296,11575296,2871296,11579392,51000,2600,145,58,0,180224,1,2,/input/data/work/06/ad94212daca56bae357e8e4bdce7c6,true,-
91,siena09,46/64ba3f,nf-4664ba3f59ddc526c19f76a94b8e7a20-024b3,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE,human_g1k_v37_decoy.fasta,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,1,14400000,-,1610612736,1,1767430339844,1767430340000,1767430423000,83156,81000,-,84.3,0.2,458358784,3751288832,892776448,4162146304,6484009006,129136,8504,123,77824,155648,186,13317,/input/data/work/46/64ba3f59ddc526c19f76a94b8e7a20,true,-
34,siena15,91/7a1470,nf-917a147054e2663efc2a9e5d300b73c2-b51bc,NFCORE_SAREK:SAREK:FASTQC,SRR11452401-4,NFCORE_SAREK:SAREK:FASTQC (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1610612736,1,1767430314702,1767430315000,1767430523000,208298,207000,-,191.2,0.2,462757888,3747172352,462757888,3812188160,4264344501,3609990,8295630,11152,14598144,4669440,11,9,/input/data/work/91/7a147054e2663efc2a9e5d300b73c2,true,-
33,siena07,2c/d30ff5,nf-2cd30ff5b912dbd125e63b9e51810918-9205d,NFCORE_SAREK:SAREK:FASTP,SRR11452401-4,NFCORE_SAREK:SAREK:FASTP (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1767430314774,1767430315000,1767430519000,204226,193000,-,273.4,1.0,2032992256,2330148864,2032992256,2397261824,4255300771,4375507279,1214,11734,1605632,4375535616,8,8,/input/data/work/2c/d30ff5b912dbd125e63b9e51810918,true,-
