cpu_adapted,memory_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,-,7,siena07,fa/99d391,nf-fa99d39137bee1e62898bce4f99e59e0-b4abe,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1759570618168,1759570618000,1759570620000,1832,0,-,66.7,0.0,0,0,0,0,52357,2605,147,18,0,12288,0,0,/input/data/work/fa/99d39137bee1e62898bce4f99e59e0,true,-
-,-,6,siena13,f2/ae0176,nf-f2ae0176a92e6a6a264029db987789d8-b4abe,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759570618502,1759570620000,1759570622000,3498,0,-,93.2,0.0,2854912,11575296,2854912,11579392,9300033,37200244,492,1169,2662400,37253120,5,5,/input/data/work/f2/ae0176a92e6a6a264029db987789d8,true,-
-,-,4,siena07,b2/e99314,nf-b2e9931473242bd8b179d09e57c5c841-b4abe,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759570618870,1759570619000,1759570625000,6130,3000,-,94.3,0.0,9871360,42328064,9871360,42336256,113274514,388442030,1078,11876,2514944,388448256,105,372,/input/data/work/b2/e9931473242bd8b179d09e57c5c841,true,-
-,-,3,siena09,61/07abe5,nf-6107abe57f1db49c3e4f93676440daaa-b4abe,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759570618898,1759570620000,1759570623000,4102,0,-,93.2,0.0,2879488,11575296,2879488,11579392,11009491,33652573,507,1059,6717440,33701888,6,7,/input/data/work/61/07abe57f1db49c3e4f93676440daaa,true,-
-,-,5,siena15,eb/fbf8ca,nf-ebfbf8caa07a0dab63975f92580c38f1-b4abe,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759570618681,1759570620000,1759570626000,7319,3000,-,94.8,0.0,9424896,42328064,9424896,42336256,114384345,435495668,1086,13312,0,435499008,22,47,/input/data/work/eb/fbf8caa07a0dab63975f92580c38f1,true,-
-,-,89,siena09,89/737d44,nf-89737d44673a7cc6ebe9b18496b72dc7-5c6b6,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1759570625825,1759570627000,1759570633000,7175,1000,-,5.4,0.0,2965504,11575296,2965504,11579392,51444,2614,147,59,0,180224,3,5,/input/data/work/89/737d44673a7cc6ebe9b18496b72dc7,true,-
-,-,34,siena09,d9/2da566,nf-d92da566bc02597d67c8958ed0ec906f-b2737,NFCORE_SAREK:SAREK:FASTP,SRR11452401-4,NFCORE_SAREK:SAREK:FASTP (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1759570619774,1759570620000,1759570825000,205226,193000,-,273.5,1.0,2035040256,2330148864,2035040256,2397261824,4255300890,4375507285,1214,11735,1605632,4375535616,24,20,/input/data/work/d9/2da566bc02597d67c8958ed0ec906f,true,-
-,-,111,siena09,e5/20b2cf,nf-e520b2cfedc75d6c7485176a7ee91ce5-05592,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1759570659477,1759570828000,1759570830000,170523,1000,-,3.0,0.0,4521984,36212736,4521984,36216832,88452,4302,216,48,0,16384,7,11,/input/data/work/e5/20b2cfedc75d6c7485176a7ee91ce5,true,-
-,-,116,siena09,4b/63164b,nf-4b63164b2cf7b2b51d030f7ac83a69fa-68499,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,GL000192.1_1-547496,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (GL000192.1_1-547496),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1759570659751,1759570828000,1759570831000,171249,0,-,20.3,0.0,3252224,5640192,3252224,5644288,87403,3256,213,48,0,16384,2,2,/input/data/work/4b/63164b2cf7b2b51d030f7ac83a69fa,true,-
-,-,19,siena14,61/4c29f3,nf-614c29f3f5239a3f338ef196853686ac-b4abe,NFCORE_SAREK:SAREK:FASTQC,SRR11452394-5,NFCORE_SAREK:SAREK:FASTQC (SRR11452394-5),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1610612736,1,1759570618595,1759570629000,1759570849000,230405,216000,-,190.5,0.3,531451904,3825156096,531451904,3825700864,4372633508,3591442,8507146,11217,44380160,4661248,123,3,/input/data/work/61/4c29f3f5239a3f338ef196853686ac,true,-
