cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,12,siena07,fd/f51065,nf-fdf51065c39dc2a6124a396e5caffafc-aff05,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759504660688,1759504661000,1759504666000,5312,3000,-,90.0,0.0,9740288,42328064,9740288,42336256,113274514,388442030,1078,11876,0,388448256,88,1426,wow://input/data/work/fd/f51065c39dc2a6124a396e5caffafc,true,-
-,13,siena07,6c/64f5d1,nf-6c64f5d198c7c5a1e6966508b4429b6c-aff05,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759504660576,1759504661000,1759504663000,2424,0,-,83.9,0.0,9699328,42328064,9699328,42336256,11009498,33652573,507,1059,0,33701888,4,6,wow://input/data/work/6c/64f5d198c7c5a1e6966508b4429b6c,true,-
-,5,siena07,04/20d38d,nf-0420d38d56f11ebb900e6e29547984dc-aff05,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759504660814,1759504661000,1759504664000,3186,1000,-,81.0,0.0,9658368,42328064,9658368,42336256,9300282,37200252,492,1169,0,37253120,4,6,wow://input/data/work/04/20d38d56f11ebb900e6e29547984dc,true,-
-,2,siena07,1c/41d9db,nf-1c41d9dbf0ed5eb8c65b513029e3e3e0-1c774,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1759504661012,1759504662000,1759504664000,2988,0,-,98.0,0.0,0,0,0,0,52360,2605,147,18,0,12288,0,0,wow://input/data/work/1c/41d9dbf0ed5eb8c65b513029e3e3e0,true,-
-,14,siena07,f4/7ac653,nf-f47ac653a7137d3692c5caecc7d7b02f-aff05,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1759504660371,1759504661000,1759504666000,5629,3000,-,91.2,0.0,9973760,42328064,9973760,42336256,114384362,435495668,1086,13312,2523136,435499008,122,532,wow://input/data/work/f4/7ac653a7137d3692c5caecc7d7b02f,true,-
-,89,siena07,cc/2eb9bb,nf-cc2eb9bb2766ac480c5699aac730510f-a8204,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1759504668078,1759504668000,1759504671000,2922,0,-,106.7,0.0,0,0,0,0,51434,2601,147,59,0,180224,0,0,wow://input/data/work/cc/2eb9bb2766ac480c5699aac730510f,true,-
-,90,siena07,79/48a280,nf-7948a2804a7ab27f6ff52b133dca7150-47e6a,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,localdata,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (localdata),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,1073741824,1,1759504668105,1759504669000,1759504673000,4895,3000,-,94.6,0.1,110940160,3411660800,110940160,3610542080,53569882,119126,7680,35,123715584,147456,1642,125,wow://input/data/work/79/48a2804a7ab27f6ff52b133dca7150,true,-
-,91,siena07,23/dd1c15,nf-23dd1c15d913d36a6d9538e0feba8a26-848f6,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE,human_g1k_v37_decoy.fasta,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (human_g1k_v37_decoy.fasta),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,1,14400000,-,1610612736,1,1759504675736,1759504676000,1759504744000,68264,66000,-,97.4,0.2,388567040,3653292032,889061376,4153860096,6484009150,129142,8506,124,0,155648,14,4744,wow://input/data/work/23/dd1c15d913d36a6d9538e0feba8a26,true,-
-,34,siena13,94/c9aa07,nf-94c9aa0783607b0f05e87118ec5b90da-84a86,NFCORE_SAREK:SAREK:FASTP,SRR11452401-4,NFCORE_SAREK:SAREK:FASTP (SRR11452401-4),COMPLETED,0,-,quay.io/biocontainers/fastp:0.23.2--h79da9fb_0,3,28800000,-,4294967296,1,1759504661974,1759504662000,1759504857000,195026,194000,-,272.2,1.0,2036236288,2330148864,2036236288,2397261824,4255300618,4375507277,1214,11735,1257472,4375535616,20,16,wow://input/data/work/94/c9aa0783607b0f05e87118ec5b90da,true,-
-,112,siena13,c1/02ce17,nf-c102ce17c2941f6ac9eb9063f6f6bf44-070b5,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,2,14400000,-,1073741824,1,1759504678972,1759504860000,1759504861000,182028,1000,-,11.1,0.0,3227648,5640192,3227648,5644288,88181,4295,222,48,0,16384,2,2,wow://input/data/work/c1/02ce17c2941f6ac9eb9063f6f6bf44,true,-
