cpu_adapted,task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action
-,2,siena12,9e/ed287f,nf-9eed287f07a713bdf6fa4ca8f37a8b06-9ae22,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,6442450944,1,1754586722287,1754586734000,1754586736000,13713,0,-,20.9,0.0,2891776,11575296,2891776,11579392,692032,9281,251,19,5468160,20480,2,1,/input/data/work/9e/ed287f07a713bdf6fa4ca8f37a8b06,true,-
-,1,siena13,5b/9e29da,nf-5b9e29dad5410172eb9983a3c53c31e1-9ae22,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,2,14400000,-,12884901888,1,1754586722069,1754586729000,1754586753000,30931,18000,-,97.7,1.4,2856681472,2877734912,2856681472,2877739008,916298091,25693124,112014,3155,2445312,25702400,56,271,/input/data/work/5b/9e29dad5410172eb9983a3c53c31e1,true,-
-,3,siena15,27/835824,nf-278358240afe51f0e105169332e7e482-9ae22,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,2,14400000,-,12884901888,1,1754586722185,1754586726000,1754586764000,41815,37000,-,32.8,0.0,4780032,12410880,4780032,12414976,3147404775,5948,48265,21,12435456,16384,296,745,/input/data/work/27/8358240afe51f0e105169332e7e482,true,-
-,214,siena13,f5/47164d,nf-f547164d1bbf33f7efa6202688e530b1-3eb37,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,6442450944,1,1754586776363,1754586777000,1754586779000,2637,0,-,62.3,0.0,2867200,11575296,2867200,11579392,103908,26545,199,24,8544256,20480,5,5,/input/data/work/f5/47164d1bbf33f7efa6202688e530b1,true,-
-,7,siena13,87/cb8bec,nf-87cb8beca818377fa5f91868fa3c79df-3d128,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586758259,1754586759000,1754586823000,64741,62000,-,104.9,0.6,1142497280,4913295360,1142497280,4940156928,770944996,1748400,1472010,5523,51191808,2187264,124,0,/input/data/work/87/cb8beca818377fa5f91868fa3c79df,true,-
-,4,siena12,df/280252,nf-df280252ee407cbd1268f21b27035ac6-3d128,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586758558,1754586760000,1754586828000,69442,66000,-,105.6,0.5,1040879616,4901376000,1040879616,4902739968,836340883,1751064,1599734,5469,20705280,2183168,148,16,/input/data/work/df/280252ee407cbd1268f21b27035ac6,true,-
-,10,siena14,f9/5270d9,nf-f95270d95c0ca74cba41c361dd23f79d-560f4,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586758773,1754586760000,1754586825000,66227,63000,-,105.9,0.5,1041752064,4833214464,1041752064,4900327424,807660586,1747928,1543717,5509,46391296,2183168,128,8,/input/data/work/f9/5270d95c0ca74cba41c361dd23f79d,true,-
-,13,siena12,cb/7fb0ea,nf-cb7fb0eabde12dbfa301bcb3b9757265-d08bc,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586760374,1754586760000,1754586826000,65626,63000,-,105.9,0.5,1040867328,4901376000,1040867328,4902674432,821982208,1746352,1571691,5506,30588928,2179072,125,6,/input/data/work/cb/7fb0eabde12dbfa301bcb3b9757265,true,-
-,20,siena07,79/8a3145,nf-798a31451d61f7ba89f515411f269f60-96bc2,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586761367,1754586761000,1754586829000,67633,65000,-,105.7,0.5,1040175104,4765052928,1040617472,4766416896,827169109,1751199,1581820,5470,19836928,2191360,3,0,/input/data/work/79/8a31451d61f7ba89f515411f269f60,true,-
-,16,siena14,73/d4dad2,nf-73d4dad219f976a3ff1de01a576db5e1-9bf5f,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_LAPC4_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_LAPC4_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,6,28800000,-,38654705664,1,1754586760557,1754586761000,1754586832000,71443,69000,-,104.4,0.5,1040719872,4901376000,1040719872,4902739968,886092254,1754310,1696908,5545,4194304,2220032,11,10,/input/data/work/73/d4dad219f976a3ff1de01a576db5e1,true,-
