task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,create_bash_wrapper_time,create_request_time,submit_to_scheduler_time,submit_to_k8s_time
2,siena13,b2/13bd10,nf-b213bd1031acd9a36017e2f80f1b8a06-36c1a,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK,chip_seq_data.csv,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chip_seq_data.csv),COMPLETED,0,-,quay.io/biocontainers/python:3.8.3,1,14400000,-,1073741824,1,1751149668849,1751149674000,1751149692000,23151,2000,-,3.2,0.0,2912256,11575296,2912256,11579392,692342,9281,249,18,28672,20480,2,0,/input/data/work/b2/13bd1031acd9a36017e2f80f1b8a06,true,-,-,-,6,161
1,siena12,12/e939bf,nf-12e939bfdf1ca06675f0788313cc211d-bcc14,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED,genes.gtf,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),COMPLETED,0,-,quay.io/biocontainers/perl:5.26.2,1,14400000,-,3398434816,1,1751149668680,1751149670000,1751149729000,60320,38000,-,51.9,1.4,2878758912,2899537920,2878758912,2899542016,916298072,25693121,112012,3154,0,25702400,29,925,/input/data/work/12/e939bfdf1ca06675f0788313cc211d,true,-,-,-,6,274
68,siena07,bc/ca63bd,nf-bcca63bd9f64bd114af981f311d9686c-a7baf,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702813,1751149703000,1751149763000,60187,59000,-,88.7,0.2,400916480,3813367808,401235968,3814666240,555673804,1718989,1051559,5445,0,2146304,3,7,/input/data/work/bc/ca63bd9f64bd114af981f311d9686c,true,-,-,-,4,19
69,siena07,23/9f2afe,nf-239f2afef474f529539693fbe718c425-d9d59,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_R1881_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_R1881_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702900,1751149703000,1751149767000,64100,63000,-,89.5,0.2,444911616,3889254400,444911616,3956367360,591770525,1719338,1122062,5439,0,2207744,3,2,/input/data/work/23/9f2afef474f529539693fbe718c425,true,-,-,-,3,15
55,siena14,c5/426f2f,nf-c5426f2f2bd96045c0cc66a450bcc1d7-ae2c8,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP2_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP2_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702219,1751149703000,1751149764000,61781,59000,-,99.8,0.2,401457152,3608883200,401457152,3610181632,633530561,1726383,1203626,5449,0,2154496,11,30,/input/data/work/c5/426f2f2bd96045c0cc66a450bcc1d7,true,-,-,-,4,20
3,siena14,1e/a7597f,nf-1ea7597ff59965a64d25a6e02a20bc78-bcc14,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,genome.fa,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),COMPLETED,0,-,quay.io/biocontainers/samtools:1.15.1--h1170115_0,1,14400000,-,1073741824,1,1751149668392,1751149676000,1751149767000,98608,80000,-,16.9,0.0,4878336,12410880,4878336,12414976,3147404892,5949,48263,20,0,16384,249,2807,/input/data/work/1e/a7597ff59965a64d25a6e02a20bc78,true,-,-,-,97,3066
60,siena11,6c/90cf69,nf-6c90cf69fbbfb96cc933a5e953a5c136-7b778,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Daro_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Daro_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702381,1751149705000,1751149775000,72619,66000,-,83.5,0.2,465424384,3893448704,473456640,3956367360,595300155,1730279,1128955,5465,0,2179072,6,2,/input/data/work/6c/90cf69fbbfb96cc933a5e953a5c136,true,-,-,-,3,64
54,siena11,98/42554b,nf-9842554b8ab8adf5d6ee0824acb16904-f44db,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702194,1751149705000,1751149777000,74806,71000,-,80.2,0.2,401780736,3608883200,401780736,3675996160,610683849,1723930,1159002,5448,0,2215936,11,9,/input/data/work/98/42554b8ab8adf5d6ee0824acb16904,true,-,-,-,42,18
214,siena15,60/bcf37a,nf-60bcf37a410f02cf7a301c978579172e-011b5,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS,genome.fa.sizes,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes),COMPLETED,0,-,quay.io/biocontainers/bedtools:2.30.0--hc088bd4_0,1,14400000,-,1073741824,1,1751149772534,1751149773000,1751149776000,3466,2000,-,2.7,0.0,10575872,53755904,10575872,53760000,103647,26538,197,23,1159168,20480,24,17,/input/data/work/60/bcf37a410f02cf7a301c978579172e,true,-,-,-,28,21
18,siena14,51/e2b7a1,nf-51e2b7a108586b87212c395f7aa7d73a-dd512,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,AR_VCAP_Control_REP1_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (AR_VCAP_Control_REP1_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149699185,1751149699000,1751149778000,78815,78000,-,96.7,0.2,403935232,3813367808,403935232,3814961152,827169887,1751200,1581820,5490,0,2289664,11,0,/input/data/work/51/e2b7a108586b87212c395f7aa7d73a,true,-,-,-,6,191
58,siena14,3f/f0ea10,nf-3ff0ea101ef78e6106dfcd65043c02be-48964,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC,FOXA1_VCaP_Control_REP3_T1,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_VCaP_Control_REP3_T1),COMPLETED,0,-,quay.io/biocontainers/fastqc:0.11.9--0,2,28800000,-,1680867328,1,1751149702407,1751149703000,1751149778000,75593,74000,-,96.9,0.2,403107840,3608883200,403779584,3675996160,772896057,1735535,1475821,5490,0,2265088,11,11,/input/data/work/3f/f0ea101ef78e6106dfcd65043c02be,true,-,-,-,4,21
